,attr2,attr5,attr21,attr22,attr31,attr32,attr42,attr44,attr46,attr48,attr49,attr54,attr55,attr58,attr59,attr62,attr63,attr65,attr70,attr72,attr73,attr76,attr79,attr85,attr87,attr90,attr92,attr96,attr99,attr100,attr101,attr102,attr105,attr108,attr111,attr112,attr113,attr115,attr116,attr118,attr124,attr129,attr130,attr132,attr143,attr150,attr151,attr152,attr155,attr156,attr157,attr162,attr163,attr165,attr170,attr179,attr180,attr185,attr188,attr191,attr192,attr197,attr199,attr200,attr202,attr206,attr207,attr208,attr212,attr220,attr222,attr226,attr227,attr228,attr233,attr235,attr236,attr240,attr241,attr243,attr247,attr248,attr249,attr250,attr253,attr255,attr256,attr259,attr260,attr262,attr263,attr270,attr272,attr275,attr276,attr278,attr283,attr284,attr289,attr292,attr293,attr294,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.666435,0.652746,0.255987,0.310109,0.612951,0.621101,0.741071,0.589019,0.692727,0.831285,0.842202,0.196997,0.810969,0.19772,0.190142,0.40135,0.378798,0.057354,0.293914,0.131504,0.09734,0.389289,0.127081,0.081963,0.427158,0.104982,0.40099,0.194235,0.124623,0.13275,0.136523,0.141344,0.256125,0.146722,0.321427,0.325151,0.011811,0.016968,0.035528,0.105021,0.072339,0.201934,0.357455,0.450967,0.559081,0.00036,0.00058,0.014357,0.002923,0.00398,0.008158,0.012115,0.0435,0.1759,0.072072,0.302307,0.20256,0.192111,0.020486,0.355518,0.301727,0.212997,0.255211,0.264951,0.34692,0.194579,0.372685,0.529399,0.206835,0.307893,0.438987,0.499351,0.519089,0.537507,0.485518,0.51409,0.600857,0.460268,0.589159,0.558273,0.000611,0.001762,0.001927,0.040129,0.196353,0.185948,0.41237,0.096029,0.02693,0.136652,0.136285,0.172747,0.309251,0.085062,0.072274,0.094636,0.102568,0.329816,0.354982,0.247298,0.014025,0.029709,1,0,0,0,1,0
1,0.767255,0.742231,0.209851,0.570696,0.621813,0.61389,0.619105,0.67848,0.745513,0.776127,0.702769,0.005941,0.11911,0.011133,0.048423,0.381001,0.251929,0.242238,0.323306,0.19999,0.344527,0.292891,0.297579,0.278829,0.392941,0.447431,0.384122,0.220413,0.231433,0.23225,0.232627,0.240405,0.220521,0.239492,0.355631,0.343827,0.337209,0.347126,0.313272,0.349897,0.393443,0.496811,0.551358,0.484877,0.478676,0.000293,0.001758,0.003151,0.000981,0.000401,0.002904,0.06171,0.034444,0.028389,0.08107,0.216372,0.121086,0.184301,0.20987,0.089555,0.126997,0.3594,0.340613,0.342615,0.351561,0.382504,0.434112,0.522656,0.404511,0.501689,0.559458,0.587281,0.592794,0.580828,0.629831,0.657105,0.617228,0.500693,0.594002,0.617575,0.003662,0.002397,0.013929,0.003873,0.004475,0.016475,0.159426,0.170231,0.070917,0.097577,0.167246,0.178064,0.085085,0.090761,0.138334,0.406639,0.157326,0.051859,0.303399,0.137833,0.082672,0.03632,1,0,0,0,0,1
2,0.772096,0.740569,0.872483,0.955915,0.723823,0.676656,0.461133,0.636432,0.558789,0.539102,0.438471,0.009422,0.005256,0.011574,0.009064,0.003279,0.00368,0.038005,0.031957,0.003349,0.004788,0.524229,0.063083,0.030802,0.072214,0.076778,0.01591,0.229588,0.292222,0.278628,0.26987,0.262963,0.227119,0.258635,0.200706,0.196783,0.260247,0.237661,0.236536,0.215652,0.388621,0.339067,0.453512,0.459582,0.406296,0.002476,0.003134,0.003295,0.005026,0.003064,0.003633,0.010364,0.014923,0.012962,0.000747,0.00875,0.015597,0.003948,0.004866,0.000529,0.000675,0.296934,0.248837,0.24707,0.215009,0.291286,0.250794,0.217112,0.338388,0.476673,0.607935,0.38975,0.492452,0.721473,0.615651,0.701467,0.700405,0.628198,0.631497,0.719784,0.032027,0.016284,0.023922,0.03784,0.04351,0.014701,0.013867,0.018168,0.064507,0.060296,0.058945,0.181837,0.122532,0.027821,0.353377,0.048943,0.015971,0.028559,0.00346,0.051125,0.112506,0.083924,1,0,0,0,0,0
3,0.94926,0.968649,0.360757,0.80424,0.750613,0.706845,0.624669,0.674617,0.663321,0.605012,0.512015,0.000767,0.290435,0.002292,0.002053,0.246481,0.265746,0.000503,0.278502,0.062425,0.058384,0.194386,0.034293,0.027827,0.128164,0.126332,0.029073,0.068329,0.322174,0.320727,0.318786,0.330617,0.359369,0.321763,0.396756,0.364726,0.34572,0.343601,0.35559,0.425521,0.461914,0.300995,0.451022,0.470206,0.398141,0.003221,0.001559,0.000966,0.001811,0.002163,0.00226,6.5e-05,5.6e-05,0.008323,0.002705,0.013219,0.00699,0.015973,0.002416,0.000803,0.002567,0.436281,0.44724,0.460637,0.512614,0.46558,0.470724,0.492508,0.497886,0.34531,0.719147,0.326624,0.357555,0.682434,0.397388,0.676317,0.659219,0.560029,0.606448,0.718241,0.01235,0.009885,0.004585,0.00252,0.005544,0.008305,0.003958,0.085017,0.000906,0.008393,0.093743,0.448542,0.024751,0.015197,0.209978,0.031173,0.201563,0.043669,0.007694,0.03129,0.04978,0.090959,1,0,0,0,0,0
4,0.524684,0.471209,0.510786,0.465298,0.784539,0.903786,0.734423,0.42298,0.459486,0.545844,0.559726,0.005484,0.005336,0.003346,0.00442,0.009197,0.008609,0.258819,0.011971,0.414033,0.381879,0.057879,0.40311,0.405249,0.40257,0.088377,0.300777,0.38171,0.230247,0.22904,0.229774,0.231722,0.229863,0.215933,0.223498,0.231056,0.260123,0.324314,0.246214,0.223484,0.20284,0.495995,0.371022,0.319719,0.243992,0.000214,0.000276,0.00035,0.000292,0.000248,0.000206,0.022483,0.020029,0.009103,0.039627,0.02932,0.050114,0.024693,0.053977,0.027979,0.024087,0.028538,0.004115,0.0,0.0,0.059313,0.044865,0.044664,0.273249,0.559056,0.458311,0.642792,0.584955,0.604435,0.740361,0.752382,0.683698,0.753892,0.806584,0.733875,0.001369,0.001182,0.002744,0.003992,0.006113,0.009433,0.00734,0.007811,0.381498,0.595821,0.20769,0.036629,0.090652,0.22177,0.094467,0.186763,0.413413,0.387559,0.22658,0.238796,0.16427,0.18429,1,0,0,0,0,0
5,0.886845,0.971749,0.942952,0.532192,0.30522,0.755472,0.726262,0.749084,0.802736,0.455419,0.527031,3.6e-05,0.0,0.318959,0.000546,0.722164,0.0,0.40017,0.043779,0.272976,0.651517,0.890532,0.365801,0.376004,0.929269,0.110394,0.54439,0.222042,0.217853,0.243491,0.273059,0.293656,0.331838,0.295905,0.34644,0.344012,0.184225,0.21834,0.245226,0.431639,0.320178,0.361927,0.345405,0.396701,0.346358,0.001143,0.000521,0.000446,0.00159,0.021919,0.000554,0.006749,0.079586,0.005208,0.076666,0.003505,0.008434,0.007973,0.034862,0.002032,0.001694,0.368223,0.460682,0.478294,0.479659,0.479491,0.478194,0.490908,0.476058,0.541756,0.553487,0.60571,0.577999,0.622428,0.596954,0.640376,0.680354,0.65261,0.653885,0.680052,0.006309,0.002318,0.000419,0.000267,0.013828,0.00116,0.00029,0.000986,0.062493,0.034588,0.010149,0.04742,0.16682,0.034268,0.10169,0.068961,0.111151,0.037579,0.048032,0.07501,0.071401,0.090164,1,0,0,0,0,0
6,0.972822,0.858447,0.684712,0.862262,0.877262,0.581717,0.662065,0.7256,0.754131,0.637862,0.55254,0.010415,0.010949,0.0,9.5e-05,0.004871,0.006856,0.00023,0.270968,0.053451,0.180105,0.131564,0.063248,0.069191,0.040936,0.483355,0.04124,0.039947,0.333971,0.338807,0.31749,0.293409,0.230576,0.323676,0.276468,0.249492,0.326927,0.320075,0.302634,0.266907,0.283868,0.355665,0.437791,0.338025,0.395117,0.001151,0.001064,0.000552,0.000707,0.00028,0.000846,0.000675,0.000245,0.001386,0.001001,0.091675,0.056267,0.000678,0.04929,0.000612,0.000702,0.500391,0.499016,0.478909,0.345008,0.487464,0.49357,0.477445,0.496556,0.540023,0.438685,0.625514,0.609456,0.535639,0.626353,0.641517,0.604021,0.621522,0.630412,0.640443,0.001071,0.002229,0.005844,0.015752,0.001458,0.001723,0.001335,0.01195,0.001192,0.002507,0.005374,0.023639,0.028581,0.006708,0.024723,0.068861,0.007641,0.031668,0.005356,0.007633,0.02978,0.038599,1,0,0,0,0,0
7,0.903021,0.938324,0.951708,0.630596,0.837846,0.815628,0.804327,0.814521,0.509969,0.584213,0.71181,0.000103,0.00012,0.055124,0.000262,0.0,0.0,0.024876,5.4e-05,0.200976,0.1527,0.137302,0.170249,0.12195,0.135618,0.469226,0.047599,1.0,0.069472,0.080158,0.086523,0.106454,0.114403,0.143951,0.172469,0.172071,0.411214,0.307407,0.229218,0.214081,0.25286,0.355,0.385281,0.301331,0.318882,0.000679,0.001582,0.001511,0.110056,0.07013,0.001845,0.00272,0.003762,0.009812,0.044363,0.025622,0.150975,0.008301,0.015241,0.008853,0.012767,0.356962,0.414699,0.425982,0.432535,0.443438,0.449041,0.45187,0.517177,0.436628,0.39788,0.582081,0.546598,0.570138,0.531725,0.538088,0.408168,0.540481,0.51806,0.506419,0.004244,0.001506,0.001545,0.000192,0.018063,0.001806,0.001447,0.000884,0.015975,0.00892,0.001262,0.061283,0.141886,0.053947,0.14701,0.085846,0.026383,0.158985,0.011505,0.054291,0.083478,0.052316,1,0,0,0,1,0
8,0.713622,0.721621,0.491489,0.773759,0.781232,0.742045,0.761025,0.660087,0.742791,0.747155,0.7148,0.003141,0.003224,0.004565,0.061788,0.134235,0.886029,0.021247,0.946666,0.012735,0.024782,0.47159,0.048348,0.051564,0.006043,0.003298,0.071782,0.000234,0.18225,0.184691,0.18559,0.186481,0.185617,0.25679,0.257874,0.244383,0.21142,0.365734,0.341845,0.331776,0.359945,0.312318,0.323299,0.309554,0.310062,0.000365,0.000192,0.000226,0.000214,0.006526,0.019475,0.000675,0.01919,0.010726,0.000987,0.000972,0.00117,0.000979,0.000273,0.001263,0.000693,0.179952,0.180936,0.177984,0.178218,0.551116,0.455459,0.472983,0.636205,0.7917,0.786959,0.618816,0.674573,0.670033,0.538122,0.61677,0.707226,0.55995,0.615372,0.689155,0.000881,0.001923,0.001147,0.001562,0.001275,0.922513,0.95385,0.514054,0.018233,0.023557,0.026709,0.021041,0.148276,0.036865,0.004924,0.030935,0.005034,0.036212,0.008899,0.001383,0.001531,0.001602,1,0,0,0,0,0
9,0.617686,0.690168,0.734391,0.438474,0.542622,0.613692,0.679017,0.337504,0.538002,0.679157,0.64553,0.013538,0.014215,0.060437,0.068803,0.10349,0.081565,0.20943,0.141032,0.05334,0.019774,0.004661,0.030394,0.07751,0.008281,0.002566,0.107044,0.010606,0.337675,0.306605,0.294012,0.28144,0.274973,0.314664,0.336907,0.338285,0.389705,0.333491,0.347257,0.375446,0.301674,0.318992,0.297647,0.336886,0.404108,0.001134,0.001248,0.000417,0.00108,0.004979,0.007722,0.020123,0.015082,0.004625,0.002206,0.000826,0.001071,0.001544,0.000603,0.002814,0.002373,0.003724,0.019715,0.021303,0.029377,0.295044,0.318684,0.385422,0.552603,0.386127,0.43466,0.360239,0.416488,0.456253,0.494733,0.535773,0.538905,0.612979,0.620382,0.61753,0.011256,0.009365,0.009089,0.005784,0.056329,1.0,1.0,0.993722,0.372429,0.312756,0.241315,0.010232,0.056322,0.035857,0.007344,0.003001,0.017026,0.02046,0.014646,0.007409,0.002724,0.002013,1,0,0,0,0,0
