,attr1,attr5,attr13,attr21,attr23,attr26,attr28,attr34,attr36,attr40,attr41,attr42,attr43,attr49,attr50,attr54,attr55,attr58,attr62,attr65,attr70,attr72,attr73,attr76,attr78,attr83,attr84,attr87,attr88,attr89,attr90,attr91,attr92,attr95,attr97,attr98,attr100,attr106,attr108,attr109,attr110,attr112,attr116,attr117,attr118,attr119,attr122,attr126,attr129,attr131,attr132,attr134,attr135,attr136,attr137,attr140,attr142,attr144,attr145,attr146,attr147,attr149,attr150,attr151,attr152,attr154,attr156,attr160,attr162,attr163,attr164,attr165,attr166,attr167,attr168,attr176,attr181,attr185,attr187,attr190,attr197,attr198,attr199,attr200,attr201,attr203,attr204,attr206,attr208,attr209,attr211,attr212,attr215,attr216,attr217,attr218,attr219,attr221,attr224,attr226,attr234,attr237,attr240,attr246,attr247,attr248,attr249,attr255,attr256,attr258,attr264,attr267,attr268,attr270,attr271,attr275,attr276,attr278,attr281,attr283,attr284,attr285,attr286,attr287,attr290,attr292,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.646467,0.652746,0.242458,0.255987,0.375018,0.508325,0.567068,0.694546,0.710196,0.645884,0.800611,0.741071,0.607308,0.842202,0.000188,0.196997,0.810969,0.19772,0.40135,0.057354,0.293914,0.131504,0.09734,0.389289,0.052807,0.181267,0.460236,0.427158,0.705878,0.46066,0.104982,0.238395,0.40099,0.542055,0.070068,0.031487,0.13275,0.137942,0.146722,0.23513,0.280034,0.325151,0.035528,0.037147,0.105021,0.264698,0.020604,0.379561,0.201934,0.447565,0.450967,0.393896,0.52561,0.546694,0.520857,0.372188,0.453909,0.390336,0.370412,0.330857,0.326674,0.000709,0.00036,0.00058,0.014357,0.028827,0.00398,0.012518,0.012115,0.0435,0.087169,0.1759,0.204866,0.211988,0.052651,0.152805,0.176875,0.192111,0.111631,0.093826,0.212997,0.236838,0.255211,0.264951,0.29548,0.479871,0.126163,0.194579,0.529399,0.501197,0.175233,0.206835,0.391528,0.380569,0.358092,0.178129,0.277878,0.329844,0.569903,0.499351,0.603675,0.596149,0.460268,0.001898,0.000611,0.001762,0.001927,0.185948,0.41237,0.083212,0.127585,0.252143,0.261571,0.172747,0.23903,0.085062,0.072274,0.094636,0.47715,0.102568,0.329816,0.061538,0.049615,0.068962,0.124074,0.247298,1,0,0,0,1,0
1,0.770156,0.742231,0.54234,0.209851,0.599071,0.653352,0.473784,0.596297,0.634007,0.582844,0.620887,0.619105,0.635261,0.702769,0.0,0.005941,0.11911,0.011133,0.381001,0.242238,0.323306,0.19999,0.344527,0.292891,0.192027,0.514324,0.226144,0.392941,0.298399,0.449538,0.447431,0.388497,0.384122,0.218179,0.060163,0.197233,0.23225,0.237174,0.239492,0.314664,0.341235,0.343827,0.313272,0.312401,0.349897,0.373025,0.446379,0.487901,0.496811,0.459431,0.484877,0.480514,0.538011,0.532003,0.48952,0.497593,0.454403,0.438059,0.405926,0.432647,0.436461,0.000246,0.000293,0.001758,0.003151,0.003566,0.000401,0.034294,0.06171,0.034444,0.01986,0.028389,0.019469,0.036388,0.076316,0.082165,0.115721,0.184301,0.104708,0.143118,0.3594,0.34909,0.340613,0.342615,0.33812,0.330146,0.389045,0.382504,0.522656,0.549864,0.437265,0.404511,0.526537,0.53016,0.517445,0.4098,0.520744,0.507928,0.550244,0.587281,0.568729,0.642803,0.500693,0.002222,0.003662,0.002397,0.013929,0.016475,0.159426,0.138887,0.193839,0.072342,0.111906,0.178064,0.24989,0.090761,0.138334,0.406639,0.354085,0.157326,0.051859,0.114123,0.160008,0.414088,0.176387,0.137833,1,0,0,0,0,1
2,0.793984,0.740569,0.751835,0.872483,0.966291,0.716114,0.402155,0.552341,0.622198,0.662322,0.566771,0.461133,0.597636,0.438471,0.024992,0.009422,0.005256,0.011574,0.003279,0.038005,0.031957,0.003349,0.004788,0.524229,0.093208,0.303786,0.36308,0.072214,0.099314,0.178453,0.076778,0.2397,0.01591,0.094455,0.357259,0.208049,0.278628,0.29596,0.258635,0.227058,0.208608,0.196783,0.236536,0.222922,0.215652,0.224657,0.332812,0.308731,0.339067,0.468436,0.459582,0.354218,0.373477,0.417373,0.438525,0.492167,0.381111,0.417298,0.448539,0.469266,0.463621,0.002627,0.002476,0.003134,0.003295,0.00197,0.003064,0.002545,0.010364,0.014923,0.011014,0.012962,0.011205,0.011646,0.016765,0.003716,0.00849,0.003948,0.010829,0.00055,0.296934,0.263352,0.248837,0.24707,0.218901,0.202037,0.345131,0.291286,0.217112,0.204274,0.342984,0.338388,0.34323,0.344326,0.356358,0.480978,0.480028,0.53981,0.605654,0.38975,0.664643,0.727154,0.628198,0.041683,0.032027,0.016284,0.023922,0.014701,0.013867,0.010121,0.052964,0.006149,0.004046,0.181837,0.213608,0.027821,0.353377,0.048943,0.051372,0.015971,0.028559,0.047596,0.038082,0.079977,0.006049,0.051125,1,0,0,0,0,0
3,0.938563,0.968649,0.622508,0.360757,0.827367,0.753638,0.520342,0.647101,0.736683,0.773725,0.716752,0.624669,0.620717,0.512015,0.00325,0.000767,0.290435,0.002292,0.246481,0.000503,0.278502,0.062425,0.058384,0.194386,0.053407,0.143546,0.107387,0.128164,0.210717,0.131516,0.126332,0.050244,0.029073,0.06215,0.766564,0.421707,0.320727,0.323669,0.321763,0.326811,0.33417,0.364726,0.35559,0.453237,0.425521,0.38989,0.304492,0.427284,0.300995,0.453162,0.470206,0.299328,0.319266,0.363416,0.424554,0.457881,0.36954,0.418368,0.429513,0.427353,0.428903,0.003436,0.003221,0.001559,0.000966,0.00528,0.002163,0.032487,6.5e-05,5.6e-05,0.000331,0.008323,0.012827,0.021652,0.013176,0.003065,0.009091,0.015973,0.002442,0.00143,0.436281,0.443416,0.44724,0.460637,0.463779,0.526961,0.455907,0.46558,0.492508,0.683698,0.496332,0.497886,0.655193,0.629741,0.556171,0.36214,0.366613,0.549193,0.623692,0.326624,0.525374,0.641427,0.560029,0.007494,0.01235,0.009885,0.004585,0.008305,0.003958,0.068354,0.105665,0.045153,0.0399,0.448542,0.024508,0.015197,0.209978,0.031173,0.018757,0.201563,0.043669,0.027527,0.016922,0.024174,0.009735,0.03129,1,0,0,0,0,0
4,0.51213,0.471209,0.503925,0.510786,0.62658,0.574756,0.445292,0.766266,0.276264,0.74371,0.916742,0.734423,0.354766,0.559726,0.007047,0.005484,0.005336,0.003346,0.009197,0.258819,0.011971,0.414033,0.381879,0.057879,0.3855,0.080107,0.0707,0.40257,0.409871,0.478137,0.088377,0.499655,0.300777,0.381694,0.257814,0.495915,0.22904,0.217846,0.215933,0.216159,0.218038,0.231056,0.246214,0.221379,0.223484,0.224746,0.320144,0.147894,0.495995,0.367181,0.319719,0.276859,0.286859,0.279904,0.369636,0.332606,0.284616,0.267531,0.274081,0.269781,0.293731,0.000144,0.000214,0.000276,0.00035,0.000444,0.000248,0.000465,0.022483,0.020029,0.039663,0.009103,0.001493,0.002547,0.001782,0.121845,0.021184,0.024693,0.048549,0.041243,0.028538,0.016058,0.004115,0.0,0.0,0.0,0.090546,0.059313,0.044664,0.033168,0.273081,0.273249,0.141181,0.125358,0.110149,0.598542,0.618592,0.497048,0.330225,0.642792,0.770934,0.608886,0.753892,0.007056,0.001369,0.001182,0.002744,0.009433,0.00734,0.013087,0.028206,0.138157,0.094097,0.036629,0.046537,0.22177,0.094467,0.186763,0.20857,0.413413,0.387559,0.15873,0.023177,0.129994,0.218534,0.238796,1,0,0,0,0,0
5,0.824623,0.971749,0.811056,0.942952,0.687502,0.559662,0.907959,0.690685,0.768459,0.749855,0.477832,0.726262,0.635593,0.527031,0.013772,3.6e-05,0.0,0.318959,0.722164,0.40017,0.043779,0.272976,0.651517,0.890532,0.420903,0.401936,0.038538,0.929269,0.178743,0.254858,0.110394,0.138658,0.54439,0.212606,0.095768,0.492173,0.243491,0.230604,0.295905,0.313484,0.33251,0.344012,0.245226,0.334122,0.431639,0.304438,0.304547,0.32642,0.361927,0.339513,0.396701,0.344698,0.332778,0.348738,0.345679,0.340734,0.355261,0.359307,0.38332,0.580226,0.315569,0.001446,0.001143,0.000521,0.000446,0.000373,0.021919,0.002695,0.006749,0.079586,0.00863,0.005208,0.06544,0.04638,0.002335,0.002337,0.064053,0.007973,0.029937,0.002947,0.368223,0.422828,0.460682,0.478294,0.478294,0.478663,0.412015,0.479491,0.490908,0.531647,0.348352,0.476058,0.522309,0.577272,0.486167,0.411433,0.540336,0.541823,0.517479,0.60571,0.620762,0.599738,0.65261,0.020624,0.006309,0.002318,0.000419,0.00116,0.00029,0.100336,0.07807,0.262977,0.224116,0.04742,0.103418,0.034268,0.10169,0.068961,0.055912,0.111151,0.037579,0.071117,0.027187,0.086379,0.0346,0.07501,1,0,0,0,0,0
6,0.971724,0.858447,0.862783,0.684712,0.948911,0.672091,0.424645,0.404404,0.700211,0.556217,0.591437,0.662065,0.692633,0.55254,0.00037,0.010415,0.010949,0.0,0.004871,0.00023,0.270968,0.053451,0.180105,0.131564,0.023105,0.671008,0.385413,0.040936,0.273047,0.537241,0.483355,0.16201,0.04124,0.02179,0.205669,0.338231,0.338807,0.32511,0.323676,0.306907,0.288464,0.249492,0.302634,0.284506,0.266907,0.258224,0.329102,0.233848,0.355665,0.404856,0.338025,0.376818,0.389966,0.402147,0.428635,0.376454,0.393834,0.400638,0.405405,0.412476,0.417785,0.00071,0.001151,0.001064,0.000552,0.001758,0.00028,0.000447,0.000675,0.000245,0.000964,0.001386,0.00238,0.003889,0.00362,0.000447,0.017869,0.000678,0.066124,0.000695,0.500391,0.497573,0.499016,0.478909,0.417427,0.264895,0.492396,0.487464,0.477445,0.426049,0.505368,0.496556,0.480386,0.444869,0.356817,0.572207,0.540347,0.499128,0.279835,0.625514,0.647634,0.610619,0.621522,0.000786,0.001071,0.002229,0.005844,0.001723,0.001335,0.009817,0.028211,0.024184,0.016763,0.023639,0.024712,0.006708,0.024723,0.068861,0.00873,0.007641,0.031668,0.044859,0.044637,0.041734,0.006311,0.007633,1,0,0,0,0,0
7,0.879924,0.938324,0.953897,0.951708,0.692201,0.742063,0.815724,0.816615,0.787179,0.45197,0.735555,0.804327,0.811058,0.71181,0.000847,0.000103,0.00012,0.055124,0.0,0.024876,5.4e-05,0.200976,0.1527,0.137302,0.174962,0.147979,0.017771,0.135618,0.881872,0.660097,0.469226,0.027848,0.047599,0.57001,0.760678,0.150228,0.080158,0.310418,0.143951,0.161962,0.170405,0.172071,0.229218,0.213532,0.214081,0.220953,0.322119,0.187407,0.355,0.431845,0.301331,0.320837,0.346824,0.390082,0.39987,0.427099,0.312497,0.382682,0.3769,0.316934,0.403813,0.000625,0.000679,0.001582,0.001511,0.001543,0.07013,0.001641,0.00272,0.003762,0.025551,0.009812,0.000429,0.000582,0.001243,0.019419,0.054134,0.008301,0.190194,0.01492,0.356962,0.395576,0.414699,0.425982,0.434112,0.431294,0.432076,0.443438,0.45187,0.451266,0.529679,0.517177,0.463958,0.470288,0.466486,0.442174,0.461834,0.404835,0.366814,0.582081,0.589104,0.542561,0.540481,0.005994,0.004244,0.001506,0.001545,0.001806,0.001447,0.001175,0.001443,0.093378,0.063598,0.061283,0.063918,0.053947,0.14701,0.085846,0.197811,0.026383,0.158985,0.120622,0.063702,0.009123,0.051774,0.054291,1,0,0,0,1,0
8,0.693053,0.721621,0.685148,0.491489,0.836022,0.800565,0.552166,0.794549,0.707332,0.763069,0.77843,0.761025,0.675901,0.7148,0.003691,0.003141,0.003224,0.004565,0.134235,0.021247,0.946666,0.012735,0.024782,0.47159,0.083856,0.086509,0.144755,0.006043,0.017182,0.015913,0.003298,0.003562,0.071782,0.00782,0.000687,0.00263,0.184691,0.19976,0.25679,0.236344,0.228834,0.244383,0.341845,0.352695,0.331776,0.265316,0.362647,0.320535,0.312318,0.327085,0.309554,0.274774,0.290796,0.30941,0.32035,0.297037,0.297572,0.29561,0.297209,0.289767,0.290953,0.000384,0.000365,0.000192,0.000226,0.001918,0.006526,0.026843,0.000675,0.01919,0.004096,0.010726,0.005291,0.013055,0.013703,0.002341,0.001259,0.000979,0.000967,0.000793,0.179952,0.177492,0.180936,0.177984,0.18306,0.230173,0.191459,0.551116,0.472983,0.533514,0.246422,0.636205,0.768876,0.647175,0.570921,0.601337,0.781703,0.788234,0.611469,0.618816,0.592347,0.704006,0.55995,0.00151,0.000881,0.001923,0.001147,0.922513,0.95385,0.961738,0.026183,0.245131,0.036113,0.021041,0.038742,0.036865,0.004924,0.030935,0.041477,0.005034,0.036212,0.008382,0.002519,0.001543,0.015161,0.001383,1,0,0,0,0,0
9,0.563258,0.690168,0.793005,0.734391,0.53971,0.716394,0.70527,0.677802,0.170871,0.622453,0.68874,0.679017,0.078646,0.64553,0.023414,0.013538,0.014215,0.060437,0.10349,0.20943,0.141032,0.05334,0.019774,0.004661,0.070482,0.004373,0.000969,0.008281,0.01084,0.011849,0.002566,0.002143,0.107044,0.026907,0.004297,0.003384,0.306605,0.296639,0.314664,0.317092,0.336097,0.338285,0.347257,0.354582,0.375446,0.37107,0.293663,0.336241,0.318992,0.301996,0.336886,0.272085,0.350658,0.355672,0.353827,0.335096,0.391008,0.401125,0.37225,0.346591,0.350055,0.002555,0.001134,0.001248,0.000417,0.001553,0.004979,0.012133,0.020123,0.015082,0.00774,0.004625,0.004992,0.011751,0.008225,0.005034,0.001496,0.001544,0.001695,0.013474,0.003724,0.014638,0.019715,0.021303,0.026615,0.028136,0.136384,0.295044,0.385422,0.43362,0.437086,0.552603,0.631016,0.624005,0.637223,0.170446,0.319679,0.418143,0.573895,0.360239,0.528773,0.610608,0.612979,0.012438,0.011256,0.009365,0.009089,1.0,1.0,1.0,0.126664,0.019035,0.076218,0.010232,0.032971,0.035857,0.007344,0.003001,0.092649,0.017026,0.02046,0.029595,0.015294,0.002416,0.007865,0.007409,1,0,0,0,0,0
