,attr2,attr6,attr8,attr9,attr14,attr21,attr22,attr23,attr29,attr30,attr31,attr33,attr34,attr38,attr40,attr41,attr43,attr50,attr52,attr61,attr64,attr65,attr66,attr70,attr74,attr77,attr78,attr80,attr81,attr82,attr91,attr94,attr97,attr104,attr109,attr113,attr114,attr115,attr116,attr117,attr123,attr124,attr129,attr130,attr131,attr133,attr136,attr139,attr156,attr158,attr163,attr164,attr168,attr169,attr170,attr172,attr177,attr180,attr181,attr187,attr192,attr198,attr201,attr211,attr212,attr218,attr219,attr221,attr222,attr226,attr227,attr229,attr231,attr233,attr234,attr238,attr240,attr241,attr243,attr245,attr247,attr248,attr249,attr254,attr259,attr261,attr263,attr266,attr272,attr275,attr276,attr279,attr281,attr285,attr286,attr287,attr289,attr292,attr294,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.666435,0.407864,0.535193,0.555689,0.170217,0.255987,0.310109,0.375018,0.546262,0.5683102121005573,0.612951,0.6549468675717819,0.694546,0.5924530838765868,0.645884,0.800611,0.607308,0.000188,0.000205,0.298569,0.021573,0.057354,0.102771,0.293914,0.094081,0.309297,0.052807,0.118791,0.22216,0.236605,0.238395,0.3263,0.070068,0.21585,0.23513,0.011811,0.003649,0.016968,0.035528,0.037147,0.024198,0.072339,0.201934,0.357455,0.447565,0.477202,0.546694,0.352682,0.00398,0.04401,0.0435,0.087169,0.052651,0.079962,0.072072,0.034319,0.237036,0.20256,0.176875,0.111631,0.301727,0.236838,0.29548,0.175233,0.206835,0.178129,0.277878,0.329844,0.438987,0.499351,0.519089,0.546453,0.530216,0.485518,0.603675,0.583031,0.460268,0.589159,0.558273,0.602612,0.000611,0.001762,0.001927,0.190142,0.096029,0.069331,0.136285,0.5456295591056102,0.309251,0.085062,0.072274,0.258751,0.47715,0.061538,0.049615,0.068962,0.354982,0.247298,0.029709,1,0,0,0,1,0
1,0.767255,0.688086,0.757351,0.760633,0.439594,0.209851,0.570696,0.599071,0.636677,0.6547943145824145,0.621813,0.5980604960095562,0.596297,0.5970104924750581,0.582844,0.620887,0.635261,0.0,0.0,0.220949,0.224343,0.242238,0.288524,0.323306,0.285809,0.387634,0.192027,0.408266,0.407936,0.366136,0.388497,0.255651,0.060163,0.242332,0.314664,0.337209,0.282881,0.347126,0.313272,0.312401,0.462894,0.393443,0.496811,0.551358,0.459431,0.449931,0.532003,0.51799,0.000401,0.014107,0.034444,0.01986,0.076316,0.082108,0.08107,0.285257,0.084646,0.121086,0.115721,0.104708,0.126997,0.34909,0.33812,0.437265,0.404511,0.4098,0.520744,0.507928,0.559458,0.587281,0.592794,0.536769,0.634069,0.629831,0.568729,0.555567,0.500693,0.594002,0.617575,0.656938,0.003662,0.002397,0.013929,0.003633,0.170231,0.088278,0.167246,0.19049085828694637,0.085085,0.090761,0.138334,0.126982,0.354085,0.114123,0.160008,0.414088,0.303399,0.137833,0.03632,1,0,0,0,0,1
2,0.772096,0.734361,0.849128,0.839607,0.754508,0.872483,0.955915,0.966291,0.75462,0.7770097429934646,0.723823,0.6346559319520104,0.552341,0.6503217377954865,0.662322,0.566771,0.597636,0.024992,0.009638,0.003488,0.029472,0.038005,0.027915,0.031957,0.291597,0.32588,0.093208,0.137146,0.232278,0.19659,0.2397,0.030036,0.357259,0.241228,0.227058,0.260247,0.250027,0.237661,0.236536,0.222922,0.360144,0.388621,0.339067,0.453512,0.468436,0.45011,0.417373,0.477997,0.003064,0.003006,0.014923,0.011014,0.016765,0.000808,0.000747,0.015498,0.002502,0.015597,0.00849,0.010829,0.000675,0.263352,0.218901,0.342984,0.338388,0.480978,0.480028,0.53981,0.607935,0.38975,0.492452,0.726449,0.627013,0.615651,0.664643,0.698761,0.628198,0.631497,0.719784,0.671654,0.032027,0.016284,0.023922,0.013787,0.018168,0.082237,0.058945,0.07549088828928657,0.122532,0.027821,0.353377,0.080248,0.051372,0.047596,0.038082,0.079977,0.00346,0.051125,0.083924,1,0,0,0,0,0
3,0.94926,0.869619,0.95346,0.959631,0.530428,0.360757,0.80424,0.827367,0.782931,0.776178781925344,0.750613,0.6142707970064657,0.647101,0.646173713324751,0.773725,0.716752,0.620717,0.00325,0.003583,0.205989,0.0009,0.000503,0.00676,0.278502,0.047922,0.359016,0.053407,0.046915,0.116559,0.243134,0.050244,0.067705,0.766564,0.354252,0.326811,0.34572,0.345864,0.343601,0.35559,0.453237,0.390267,0.461914,0.300995,0.451022,0.453162,0.45465,0.363416,0.439362,0.002163,0.001752,5.6e-05,0.000331,0.013176,0.004393,0.002705,0.035269,0.002216,0.00699,0.009091,0.002442,0.002567,0.443416,0.463779,0.496332,0.497886,0.36214,0.366613,0.549193,0.719147,0.326624,0.357555,0.685096,0.693281,0.397388,0.525374,0.689379,0.560029,0.606448,0.718241,0.610921,0.01235,0.009885,0.004585,0.006821,0.085017,0.000563,0.093743,0.02589601988955138,0.024751,0.015197,0.209978,0.032565,0.018757,0.027527,0.016922,0.024174,0.007694,0.03129,0.090959,1,0,0,0,0,0
4,0.524684,0.417654,0.562266,0.588592,0.447526,0.510786,0.465298,0.62658,0.450048,0.7440309129545729,0.784539,0.8360120013949517,0.766266,0.6124818009690765,0.74371,0.916742,0.354766,0.007047,0.001822,0.006791,0.293329,0.258819,0.229681,0.011971,0.300269,0.036676,0.3855,0.389298,0.044535,0.150744,0.499655,0.300245,0.257814,0.239348,0.216159,0.260123,0.263457,0.324314,0.246214,0.221379,0.266619,0.20284,0.495995,0.371022,0.367181,0.280926,0.279904,0.372373,0.000248,0.000438,0.020029,0.039663,0.001782,0.023029,0.039627,0.018709,0.026583,0.050114,0.021184,0.048549,0.024087,0.016058,0.0,0.273081,0.273249,0.598542,0.618592,0.497048,0.458311,0.642792,0.584955,0.62349,0.531412,0.740361,0.770934,0.565586,0.753892,0.806584,0.733875,0.702474,0.001369,0.001182,0.002744,0.010916,0.007811,0.439771,0.20769,0.010511819921953911,0.090652,0.22177,0.094467,0.0746,0.20857,0.15873,0.023177,0.129994,0.22658,0.238796,0.18429,1,0,0,0,0,0
5,0.886845,0.978218,0.867018,0.824065,0.986031,0.942952,0.532192,0.687502,0.745676,0.7427829678040175,0.30522,0.6762589639677558,0.690685,0.6244753511622797,0.749855,0.477832,0.635593,0.013772,0.0014,0.277242,0.359073,0.40017,0.245735,0.043779,0.704225,0.176417,0.420903,0.587337,0.345937,0.6988,0.138658,0.190472,0.095768,0.32701,0.313484,0.184225,0.302586,0.21834,0.245226,0.334122,0.301598,0.320178,0.361927,0.345405,0.339513,0.305802,0.348738,0.556433,0.021919,0.000752,0.079586,0.00863,0.002335,0.019811,0.076666,0.00974,0.001175,0.008434,0.064053,0.029937,0.001694,0.422828,0.478294,0.348352,0.476058,0.411433,0.540336,0.541823,0.553487,0.60571,0.577999,0.618782,0.448504,0.596954,0.620762,0.480587,0.65261,0.653885,0.680052,0.380122,0.006309,0.002318,0.000419,0.091772,0.000986,0.200693,0.010149,0.011021859705056992,0.16682,0.034268,0.10169,0.120678,0.055912,0.071117,0.027187,0.086379,0.048032,0.07501,0.090164,1,0,0,0,0,0
6,0.972822,0.780253,0.975738,0.979945,0.794935,0.684712,0.862262,0.948911,0.727681,0.823304999799527,0.877262,0.5101504784123205,0.404404,0.7650606701256949,0.556217,0.591437,0.692633,0.00037,0.001515,0.003541,0.002149,0.00023,0.098424,0.270968,0.293057,0.108251,0.023105,0.019219,0.616026,0.506569,0.16201,0.044825,0.205669,0.256626,0.306907,0.326927,0.340521,0.320075,0.302634,0.284506,0.317366,0.283868,0.355665,0.437791,0.404856,0.297757,0.402147,0.44192,0.00028,0.000328,0.000245,0.000964,0.00362,0.004851,0.001001,0.018394,0.002887,0.056267,0.017869,0.066124,0.000702,0.497573,0.417427,0.505368,0.496556,0.572207,0.540347,0.499128,0.438685,0.625514,0.609456,0.480721,0.410293,0.626353,0.647634,0.585436,0.621522,0.630412,0.640443,0.594058,0.001071,0.002229,0.005844,0.001451,0.01195,0.002015,0.005374,0.14757851112386766,0.028581,0.006708,0.024723,0.103651,0.00873,0.044859,0.044637,0.041734,0.005356,0.007633,0.038599,1,0,0,0,0,0
7,0.903021,0.937413,0.776896,0.873859,0.94937,0.951708,0.630596,0.692201,0.748273,0.7959775069163226,0.837846,0.46850335309514934,0.816615,0.8455297360375429,0.45197,0.735555,0.811058,0.000847,0.000399,0.0,0.052469,0.024876,0.055302,5.4e-05,0.209324,0.101333,0.174962,0.058136,0.134294,1.0,0.027848,0.104078,0.760678,0.120178,0.161962,0.411214,0.379143,0.307407,0.229218,0.213532,0.301001,0.25286,0.355,0.385281,0.431845,0.290302,0.390082,0.387572,0.07013,0.001925,0.003762,0.025551,0.001243,0.026101,0.044363,0.034806,0.040092,0.150975,0.054134,0.190194,0.012767,0.395576,0.434112,0.529679,0.517177,0.442174,0.461834,0.404835,0.39788,0.582081,0.546598,0.471574,0.481526,0.531725,0.589104,0.606638,0.540481,0.51806,0.506419,0.582674,0.004244,0.001506,0.001545,0.007166,0.000884,0.010448,0.001262,0.0016261268378933555,0.141886,0.053947,0.14701,0.126833,0.197811,0.120622,0.063702,0.009123,0.011505,0.054291,0.052316,1,0,0,0,1,0
8,0.713622,0.708818,0.756848,0.775224,0.495086,0.491489,0.773759,0.836022,0.775461,0.7304799326410328,0.781232,0.7175703789217985,0.794549,0.6527228559760551,0.763069,0.77843,0.675901,0.003691,0.003076,0.026063,0.00315,0.021247,0.04499,0.946666,0.014787,0.661244,0.083856,0.025221,0.139037,0.110691,0.003562,0.028274,0.000687,0.185631,0.236344,0.21142,0.319609,0.365734,0.341845,0.352695,0.355432,0.359945,0.312318,0.323299,0.327085,0.309266,0.30941,0.297421,0.006526,0.013484,0.01919,0.004096,0.013703,0.013199,0.000987,0.000481,0.000908,0.00117,0.001259,0.000967,0.000693,0.177492,0.18306,0.246422,0.636205,0.601337,0.781703,0.788234,0.786959,0.618816,0.674573,0.67455,0.674875,0.538122,0.592347,0.682691,0.55995,0.615372,0.689155,0.68457,0.000881,0.001923,0.001147,0.199063,0.514054,0.722206,0.026709,0.2584901622326541,0.148276,0.036865,0.004924,0.057696,0.041477,0.008382,0.002519,0.001543,0.008899,0.001383,0.001602,1,0,0,0,0,0
9,0.617686,0.691312,0.706657,0.774726,0.733002,0.734391,0.438474,0.53971,0.311235,0.4521691191211259,0.542622,0.6567997883521532,0.677802,0.4614341087215877,0.622453,0.68874,0.078646,0.023414,0.015091,0.082635,0.047857,0.20943,0.13122,0.141032,0.010869,0.00629,0.070482,0.017807,0.012015,0.005708,0.002143,0.007563,0.004297,0.278368,0.317092,0.389705,0.352503,0.333491,0.347257,0.354582,0.294362,0.301674,0.318992,0.297647,0.301996,0.334623,0.355672,0.344177,0.004979,0.00793,0.015082,0.00774,0.008225,0.001465,0.002206,0.000623,0.001014,0.001071,0.001496,0.001695,0.002373,0.014638,0.026615,0.437086,0.552603,0.170446,0.319679,0.418143,0.43466,0.360239,0.416488,0.446849,0.586286,0.494733,0.528773,0.598956,0.612979,0.620382,0.61753,0.599179,0.011256,0.009365,0.009089,0.831258,0.993722,0.402235,0.241315,0.05829654713067619,0.056322,0.035857,0.007344,0.071594,0.092649,0.029595,0.015294,0.002416,0.014646,0.007409,0.002013,1,0,0,0,0,0
