,attr1,attr3,attr13,attr14,attr23,attr26,attr27,attr28,attr29,attr30,attr35,attr36,attr39,attr42,attr48,attr50,attr53,attr54,attr56,attr58,attr59,attr62,attr63,attr64,attr65,attr66,attr74,attr78,attr81,attr82,attr84,attr86,attr89,attr96,attr98,attr100,attr104,attr107,attr110,attr113,attr116,attr117,attr118,attr119,attr120,attr122,attr124,attr125,attr132,attr135,attr139,attr144,attr146,attr147,attr148,attr152,attr154,attr156,attr160,attr163,attr164,attr167,attr173,attr176,attr187,attr188,attr190,attr192,attr193,attr194,attr196,attr198,attr204,attr206,attr211,attr212,attr213,attr215,attr218,attr219,attr222,attr223,attr225,attr228,attr230,attr231,attr234,attr235,attr238,attr239,attr241,attr242,attr243,attr244,attr245,attr248,attr252,attr254,attr256,attr257,attr258,attr261,attr268,attr271,attr275,attr277,attr285,attr286,attr287,attr291,attr294,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.646467,0.685047,0.242458,0.170217,0.375018,0.508325,0.467347,0.567068,0.546262,0.5683102121005573,0.574777,0.7133891297447376,0.508313,0.741071,0.8462095986921331,0.000188,0.000122,0.196997,0.501902,0.19772,0.190142,0.40135,0.378798,0.021573,0.057354,0.102771,0.094081,0.052807,0.22216,0.236605,0.460236,0.427434,0.46066,0.194235,0.031487,0.13275,0.21585,0.13679,0.280034,0.011811,0.035528,0.037147,0.105021,0.264698,0.108224,0.020604,0.072339,0.29201,0.450967,0.52561,0.352682,0.390336,0.330857,0.326674,0.000404,0.014357,0.028827,0.00398,0.012518,0.0435,0.087169,0.21198327189963143,0.11416211416211416,0.152805,0.111631,0.020486,0.093826,0.301727,0.106168,0.075619,0.00649,0.236838,0.126163,0.194579,0.175233,0.206835,0.229838,0.391528,0.178129,0.277878,0.438987,0.512927,0.453827,0.537507,0.597837,0.530216,0.603675,0.51409,0.583031,0.578883,0.589159,0.562813,0.558273,0.58803,0.602612,0.001762,0.15908,0.190142,0.41237,0.204738,0.083212,0.069331,0.261571,0.23902467317271217,0.085062,0.1675985027955084,0.061538,0.049615,0.068962,0.157332,0.029709,1,0,0,0,1,0
1,0.770156,0.761053,0.54234,0.439594,0.599071,0.653352,0.559962,0.473784,0.636677,0.6547943145824145,0.692224,0.6368575745034777,0.65047,0.619105,0.790061311348249,0.0,0.016047,0.005941,0.015581,0.011133,0.048423,0.381001,0.251929,0.224343,0.242238,0.288524,0.285809,0.192027,0.407936,0.366136,0.226144,0.380476,0.449538,0.220413,0.197233,0.23225,0.242332,0.234595,0.341235,0.337209,0.313272,0.312401,0.349897,0.373025,0.309561,0.446379,0.393443,0.398868,0.484877,0.538011,0.51799,0.438059,0.432647,0.436461,0.000227,0.003151,0.003566,0.000401,0.034294,0.034444,0.01986,0.03638221829330976,0.09458309458309458,0.082165,0.104708,0.20987,0.143118,0.126997,0.076152,0.021844,0.052414,0.34909,0.389045,0.382504,0.437265,0.404511,0.515007,0.526537,0.4098,0.520744,0.559458,0.573269,0.49395,0.580828,0.585659,0.634069,0.568729,0.657105,0.555567,0.526492,0.594002,0.558564,0.617575,0.638408,0.656938,0.002397,0.015733,0.003633,0.159426,0.13157,0.138887,0.088278,0.111906,0.24988474919324433,0.090761,0.10292930878792637,0.114123,0.160008,0.414088,0.251454,0.03632,1,0,0,0,0,1
2,0.793984,0.76182,0.751835,0.754508,0.966291,0.716114,0.479571,0.402155,0.75462,0.7770097429934646,0.4179,0.6249954797674392,0.680452,0.461133,0.5487808478128756,0.024992,0.007935,0.009422,0.00488,0.011574,0.009064,0.003279,0.00368,0.029472,0.038005,0.027915,0.291597,0.093208,0.232278,0.19659,0.36308,0.00811,0.178453,0.229588,0.208049,0.278628,0.241228,0.284239,0.208608,0.260247,0.236536,0.222922,0.215652,0.224657,0.336406,0.332812,0.388621,0.381667,0.459582,0.373477,0.477997,0.417298,0.469266,0.463621,0.002093,0.003295,0.00197,0.003064,0.002545,0.014923,0.011014,0.011640069840419043,0.023008023008023012,0.003716,0.010829,0.004866,0.00055,0.000675,0.001083,0.009633,0.018549,0.263352,0.345131,0.291286,0.342984,0.338388,0.337974,0.34323,0.480978,0.480028,0.607935,0.624508,0.370314,0.721473,0.6979,0.627013,0.664643,0.701467,0.698761,0.601505,0.631497,0.627427,0.719784,0.726349,0.671654,0.016284,0.020369,0.013787,0.013867,0.00913,0.010121,0.082237,0.004046,0.2136024952174665,0.027821,0.07373022119066358,0.047596,0.038082,0.079977,0.017166,0.083924,1,0,0,0,0,0
3,0.938563,0.955621,0.622508,0.530428,0.827367,0.753638,0.696435,0.520342,0.782931,0.776178781925344,0.645833,0.7399952185984467,0.705878,0.624669,0.6158741727854163,0.00325,0.001482,0.000767,0.598068,0.002292,0.002053,0.246481,0.265746,0.0009,0.000503,0.00676,0.047922,0.053407,0.116559,0.243134,0.107387,0.078168,0.131516,0.068329,0.421707,0.320727,0.354252,0.321872,0.33417,0.34572,0.35559,0.453237,0.425521,0.38989,0.314211,0.304492,0.461914,0.450206,0.470206,0.319266,0.439362,0.418368,0.427353,0.428903,0.00139,0.000966,0.00528,0.002163,0.032487,5.6e-05,0.000331,0.021646129876779264,0.0029450029450029448,0.003065,0.002442,0.002416,0.00143,0.002567,0.001719,0.001249,0.011834,0.443416,0.455907,0.46558,0.496332,0.497886,0.491154,0.655193,0.36214,0.366613,0.719147,0.682088,0.343979,0.682434,0.709317,0.693281,0.525374,0.676317,0.689379,0.488873,0.606448,0.662518,0.718241,0.625089,0.610921,0.009885,0.032423,0.006821,0.003958,0.030881,0.068354,0.000563,0.0399,0.024501171508200553,0.015197,0.13878541635624908,0.027527,0.016922,0.024174,0.019267,0.090959,1,0,0,0,0,0
4,0.51213,0.52002,0.503925,0.447526,0.62658,0.574756,0.519651,0.445292,0.450048,0.7440309129545729,0.657113,0.2775061173813992,0.698119,0.734423,0.555643891311053,0.007047,0.003397,0.005484,0.006313,0.003346,0.00442,0.009197,0.008609,0.293329,0.258819,0.229681,0.300269,0.3855,0.044535,0.150744,0.0707,0.303579,0.478137,0.38171,0.495915,0.22904,0.239348,0.215322,0.218038,0.260123,0.246214,0.221379,0.223484,0.224746,0.379698,0.320144,0.20284,0.165041,0.319719,0.286859,0.372373,0.267531,0.269781,0.293731,0.000626,0.00035,0.000444,0.000248,0.000465,0.020029,0.039663,0.0025410152460914764,0.011582011582011581,0.121845,0.048549,0.053977,0.041243,0.024087,0.025554,0.018212,0.030537,0.016058,0.090546,0.059313,0.273081,0.273249,0.396448,0.141181,0.598542,0.618592,0.458311,0.393485,0.722032,0.604435,0.581455,0.531412,0.770934,0.752382,0.565586,0.750022,0.806584,0.736883,0.733875,0.83094,0.702474,0.001182,0.001522,0.010916,0.00734,0.010177,0.013087,0.439771,0.094097,0.04653032571227998,0.22177,0.14349743049229147,0.15873,0.023177,0.129994,0.198151,0.18429,1,0,0,0,0,0
5,0.824623,0.933213,0.811056,0.986031,0.687502,0.559662,0.594875,0.907959,0.745676,0.7427829678040175,0.860151,0.7719140874554506,0.852566,0.726262,0.4635954326455699,0.013772,0.000493,3.6e-05,0.0,0.318959,0.000546,0.722164,0.0,0.359073,0.40017,0.245735,0.704225,0.420903,0.345937,0.6988,0.038538,0.530081,0.254858,0.222042,0.492173,0.243491,0.32701,0.295933,0.33251,0.184225,0.245226,0.334122,0.431639,0.304438,0.245075,0.304547,0.320178,0.407641,0.396701,0.332778,0.556433,0.359307,0.580226,0.315569,0.001069,0.000446,0.000373,0.021919,0.002695,0.079586,0.00863,0.046374278245669476,0.03959303959303959,0.002337,0.029937,0.034862,0.002947,0.001694,0.001473,0.0292,0.023731,0.422828,0.412015,0.479491,0.348352,0.476058,0.436158,0.522309,0.411433,0.540336,0.553487,0.550814,0.589942,0.622428,0.568896,0.448504,0.620762,0.640376,0.480587,0.639627,0.653885,0.666969,0.680052,0.634427,0.380122,0.002318,0.000117,0.091772,0.00029,0.010173,0.100336,0.200693,0.224116,0.10341172388206717,0.034268,0.06942320826962482,0.071117,0.027187,0.086379,0.039862,0.090164,1,0,0,0,0,0
6,0.971724,0.959227,0.862783,0.794935,0.948911,0.672091,0.551408,0.424645,0.727681,0.823304999799527,0.394373,0.7033592359400679,0.713859,0.662065,0.6493139501385944,0.00037,0.005545,0.010415,0.015716,0.0,9.5e-05,0.004871,0.006856,0.002149,0.00023,0.098424,0.293057,0.023105,0.616026,0.506569,0.385413,0.035004,0.537241,0.039947,0.338231,0.338807,0.256626,0.335837,0.288464,0.326927,0.302634,0.284506,0.266907,0.258224,0.351529,0.329102,0.283868,0.248196,0.338025,0.389966,0.44192,0.400638,0.412476,0.417785,0.000496,0.000552,0.001758,0.00028,0.000447,0.000245,0.000964,0.003883023298139789,0.008126008126008126,0.000447,0.066124,0.04929,0.000695,0.000702,0.000367,0.001248,0.011999,0.497573,0.492396,0.487464,0.505368,0.496556,0.507459,0.480386,0.572207,0.540347,0.438685,0.382436,0.612017,0.535639,0.440475,0.410293,0.647634,0.641517,0.585436,0.597547,0.630412,0.642959,0.640443,0.625973,0.594058,0.002229,0.022717,0.001451,0.001335,0.005198,0.009817,0.002015,0.016763,0.024705172936210554,0.006708,0.13378240134720404,0.044859,0.044637,0.041734,0.005127,0.038599,1,0,0,0,0,0
7,0.879924,0.92151,0.953897,0.94937,0.692201,0.742063,0.835853,0.815724,0.748273,0.7959775069163226,0.812649,0.7907182549089726,0.65261,0.804327,0.5947017548502945,0.000847,0.000215,0.000103,8.2e-05,0.055124,0.000262,0.0,0.0,0.052469,0.024876,0.055302,0.209324,0.174962,0.134294,1.0,0.017771,0.108364,0.660097,1.0,0.150228,0.080158,0.120178,0.194252,0.170405,0.411214,0.229218,0.213532,0.214081,0.220953,0.344163,0.322119,0.25286,0.204712,0.301331,0.346824,0.387572,0.382682,0.316934,0.403813,0.000737,0.001511,0.001543,0.07013,0.001641,0.003762,0.025551,0.0005760034560207362,0.015247015247015246,0.019419,0.190194,0.015241,0.01492,0.012767,0.020325,0.092985,0.039694,0.395576,0.432076,0.443438,0.529679,0.517177,0.47617,0.463958,0.442174,0.461834,0.39788,0.425702,0.515779,0.570138,0.490528,0.481526,0.589104,0.538088,0.606638,0.558362,0.51806,0.46114,0.506419,0.522846,0.582674,0.001506,0.000864,0.007166,0.001447,0.001078,0.001175,0.010448,0.063598,0.06391144738013166,0.053947,0.05692617077851234,0.120622,0.063702,0.009123,0.107653,0.052316,1,0,0,0,1,0
8,0.693053,0.723593,0.685148,0.495086,0.836022,0.800565,0.676447,0.552166,0.775461,0.7304799326410328,0.758152,0.7105122528437285,0.649616,0.761025,0.7605691582439484,0.003691,0.002832,0.003141,0.015131,0.004565,0.061788,0.134235,0.886029,0.00315,0.021247,0.04499,0.014787,0.083856,0.139037,0.110691,0.144755,0.056457,0.015913,0.000234,0.00263,0.184691,0.185631,0.211317,0.228834,0.21142,0.341845,0.352695,0.331776,0.265316,0.292469,0.362647,0.359945,0.302922,0.309554,0.290796,0.297421,0.29561,0.289767,0.290953,0.000301,0.000226,0.001918,0.006526,0.026843,0.01919,0.004096,0.013049078294469768,0.001591001591001591,0.002341,0.000967,0.000273,0.000793,0.000693,0.000403,0.000346,0.000227,0.177492,0.191459,0.551116,0.246422,0.636205,0.82593,0.768876,0.601337,0.781703,0.786959,0.585301,0.434201,0.670033,0.664352,0.674875,0.592347,0.61677,0.682691,0.506027,0.615372,0.685644,0.689155,0.682479,0.68457,0.001923,0.390059,0.199063,0.95385,0.987303,0.961738,0.722206,0.036113,0.03873527114689802,0.036865,0.045624136872410626,0.008382,0.002519,0.001543,0.004409,0.001602,1,0,0,0,0,0
9,0.563258,0.651829,0.793005,0.733002,0.53971,0.716394,0.719919,0.70527,0.311235,0.4521691191211259,0.682163,0.17163925731574528,0.536164,0.679017,0.6913503460533428,0.023414,0.014728,0.013538,0.016188,0.060437,0.068803,0.10349,0.081565,0.047857,0.20943,0.13122,0.010869,0.070482,0.012015,0.005708,0.000969,0.024082,0.011849,0.010606,0.003384,0.306605,0.278368,0.309451,0.336097,0.389705,0.347257,0.354582,0.375446,0.37107,0.379877,0.293663,0.301674,0.32618,0.336886,0.350658,0.344177,0.401125,0.346591,0.350055,0.006146,0.000417,0.001553,0.004979,0.012133,0.015082,0.00774,0.011745070470422822,0.0010900010900010899,0.005034,0.001695,0.000603,0.013474,0.002373,0.001436,0.002931,0.000301,0.014638,0.136384,0.295044,0.437086,0.552603,0.579979,0.631016,0.170446,0.319679,0.43466,0.475085,0.1945,0.456253,0.505558,0.586286,0.528773,0.535773,0.598956,0.47532,0.620382,0.624497,0.61753,0.618581,0.599179,0.009365,0.007761,0.831258,1.0,1.0,1.0,0.402235,0.076218,0.03296423074961524,0.035857,0.004164012492037477,0.029595,0.015294,0.002416,0.00796,0.002013,1,0,0,0,0,0
