,attr4,attr6,attr13,attr23,attr26,attr28,attr30,attr39,attr40,attr45,attr46,attr50,attr51,attr52,attr55,attr58,attr73,attr87,attr89,attr90,attr93,attr103,attr105,attr107,attr109,attr111,attr115,attr117,attr118,attr121,attr123,attr128,attr139,attr142,attr146,attr155,attr159,attr170,attr172,attr174,attr181,attr188,attr190,attr191,attr192,attr196,attr201,attr203,attr209,attr210,attr214,attr215,attr216,attr218,attr219,attr221,attr224,attr226,attr228,attr229,attr235,attr237,attr240,attr242,attr247,attr248,attr250,attr255,attr259,attr261,attr262,attr263,attr264,attr268,attr270,attr275,attr276,attr278,attr279,attr280,attr281,attr282,attr285,attr287,attr289,attr291,attr292,attr293,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.699053,0.407864,0.242458,0.375018,0.508325,0.567068,0.566969,0.508313,0.645884,0.659741,0.692727,0.000188,8.3e-05,0.000205,0.810969,0.19772,0.09734,0.427158,0.46066,0.104982,0.500703,0.170082,0.256125,0.13679,0.23513,0.321427,0.016968,0.037147,0.105021,0.080096,0.024198,0.087497,0.352682,0.453909,0.330857,0.002923,0.028383,0.072072,0.034319,0.102519,0.176875,0.020486,0.093826,0.355518,0.301727,0.00649,0.29548,0.479871,0.501197,0.495247,0.364846,0.391528,0.380569,0.178129,0.277878,0.329844,0.569903,0.499351,0.537507,0.546453,0.51409,0.596149,0.460268,0.562813,0.000611,0.001762,0.040129,0.185948,0.096029,0.069331,0.136652,0.136285,0.127585,0.261571,0.172747,0.085062,0.072274,0.094636,0.258751,0.092845,0.47715,0.224848,0.061538,0.068962,0.354982,0.157332,0.247298,0.014025,1,0,0,0,1,0
1,0.74563,0.688086,0.54234,0.599071,0.653352,0.473784,0.653249,0.65047,0.582844,0.656581,0.745513,0.0,0.0,0.0,0.11911,0.011133,0.344527,0.392941,0.449538,0.447431,0.308661,0.226447,0.220521,0.234595,0.314664,0.355631,0.347126,0.312401,0.349897,0.430432,0.462894,0.44083,0.51799,0.454403,0.432647,0.000981,0.039419,0.08107,0.285257,0.040344,0.115721,0.20987,0.143118,0.089555,0.126997,0.052414,0.33812,0.330146,0.549864,0.520889,0.472178,0.526537,0.53016,0.4098,0.520744,0.507928,0.550244,0.587281,0.580828,0.536769,0.657105,0.642803,0.500693,0.558564,0.003662,0.002397,0.003873,0.016475,0.170231,0.088278,0.097577,0.167246,0.193839,0.111906,0.178064,0.090761,0.138334,0.406639,0.126982,0.046562,0.354085,0.199359,0.114123,0.414088,0.303399,0.251454,0.137833,0.082672,1,0,0,0,0,1
2,0.762213,0.734361,0.751835,0.966291,0.716114,0.402155,0.775176,0.680452,0.662322,0.620396,0.558789,0.024992,0.020511,0.009638,0.005256,0.011574,0.004788,0.072214,0.178453,0.076778,0.024332,0.248731,0.227119,0.284239,0.227058,0.200706,0.237661,0.222922,0.215652,0.336536,0.360144,0.296632,0.477997,0.381111,0.469266,0.005026,0.002095,0.000747,0.015498,0.026026,0.00849,0.004866,0.00055,0.000529,0.000675,0.018549,0.218901,0.202037,0.204274,0.210089,0.341318,0.34323,0.344326,0.480978,0.480028,0.53981,0.605654,0.38975,0.721473,0.726449,0.701467,0.727154,0.628198,0.627427,0.032027,0.016284,0.03784,0.014701,0.018168,0.082237,0.060296,0.058945,0.052964,0.004046,0.181837,0.027821,0.353377,0.048943,0.080248,0.074113,0.051372,0.024035,0.047596,0.079977,0.00346,0.017166,0.051125,0.112506,1,0,0,0,0,0
3,0.966743,0.869619,0.622508,0.827367,0.753638,0.520342,0.774347,0.705878,0.773725,0.682563,0.663321,0.00325,0.00472,0.003583,0.290435,0.002292,0.058384,0.128164,0.131516,0.126332,0.023177,0.332167,0.359369,0.321872,0.326811,0.396756,0.343601,0.453237,0.425521,0.314438,0.390267,0.298731,0.439362,0.36954,0.427353,0.001811,0.002613,0.002705,0.035269,0.004391,0.009091,0.002416,0.00143,0.000803,0.002567,0.011834,0.463779,0.526961,0.683698,0.638922,0.50728,0.655193,0.629741,0.36214,0.366613,0.549193,0.623692,0.326624,0.682434,0.685096,0.676317,0.641427,0.560029,0.662518,0.01235,0.009885,0.00252,0.008305,0.085017,0.000563,0.008393,0.093743,0.105665,0.0399,0.448542,0.015197,0.209978,0.031173,0.032565,0.034237,0.018757,0.082271,0.027527,0.024174,0.007694,0.019267,0.03129,0.04978,1,0,0,0,0,0
4,0.504467,0.417654,0.503925,0.62658,0.574756,0.445292,0.742275,0.698119,0.74371,0.461353,0.459486,0.007047,0.001654,0.001822,0.005336,0.003346,0.381879,0.40257,0.478137,0.088377,0.380284,0.237305,0.229863,0.215322,0.216159,0.223498,0.324314,0.221379,0.223484,0.384582,0.266619,0.386255,0.372373,0.284616,0.269781,0.000292,0.000408,0.039627,0.018709,0.006539,0.021184,0.053977,0.041243,0.027979,0.024087,0.030537,0.0,0.0,0.033168,0.020241,0.182736,0.141181,0.125358,0.598542,0.618592,0.497048,0.330225,0.642792,0.604435,0.62349,0.752382,0.608886,0.753892,0.736883,0.001369,0.001182,0.003992,0.009433,0.007811,0.439771,0.595821,0.20769,0.028206,0.094097,0.036629,0.22177,0.094467,0.186763,0.0746,0.043375,0.20857,0.188324,0.15873,0.129994,0.22658,0.198151,0.238796,0.16427,1,0,0,0,0,0
5,0.95865,0.978218,0.811056,0.687502,0.559662,0.907959,0.74103,0.852566,0.749855,0.857111,0.802736,0.013772,0.028791,0.0014,0.0,0.318959,0.651517,0.929269,0.254858,0.110394,0.356693,0.309136,0.331838,0.295933,0.313484,0.34644,0.21834,0.334122,0.431639,0.350809,0.301598,0.332209,0.556433,0.355261,0.580226,0.00159,0.000886,0.076666,0.00974,0.091008,0.064053,0.034862,0.002947,0.002032,0.001694,0.023731,0.478294,0.478663,0.531647,0.482387,0.455415,0.522309,0.577272,0.411433,0.540336,0.541823,0.517479,0.60571,0.622428,0.618782,0.640376,0.599738,0.65261,0.666969,0.006309,0.002318,0.000267,0.00116,0.000986,0.200693,0.034588,0.010149,0.07807,0.224116,0.04742,0.034268,0.10169,0.068961,0.120678,0.024654,0.055912,0.084101,0.071117,0.086379,0.048032,0.039862,0.07501,0.071401,1,0,0,0,0,0
6,0.927736,0.780253,0.862783,0.948911,0.672091,0.424645,0.821362,0.713859,0.556217,0.744932,0.754131,0.00037,0.000744,0.001515,0.010949,0.0,0.180105,0.040936,0.537241,0.483355,0.043408,0.275549,0.230576,0.335837,0.306907,0.276468,0.320075,0.284506,0.266907,0.341872,0.317366,0.37308,0.44192,0.393834,0.412476,0.000707,0.000462,0.001001,0.018394,0.004303,0.017869,0.04929,0.000695,0.000612,0.000702,0.011999,0.417427,0.264895,0.426049,0.369699,0.488896,0.480386,0.444869,0.572207,0.540347,0.499128,0.279835,0.625514,0.535639,0.480721,0.641517,0.610619,0.621522,0.642959,0.001071,0.002229,0.015752,0.001723,0.01195,0.002015,0.002507,0.005374,0.028211,0.016763,0.023639,0.006708,0.024723,0.068861,0.103651,0.078377,0.00873,0.00655,0.044859,0.041734,0.005356,0.005127,0.007633,0.02978,1,0,0,0,0,0
7,0.933874,0.937413,0.953897,0.692201,0.742063,0.815724,0.794099,0.65261,0.45197,0.770778,0.509969,0.000847,0.000568,0.000399,0.00012,0.055124,0.1527,0.135618,0.660097,0.469226,0.055794,0.116337,0.114403,0.194252,0.161962,0.172469,0.307407,0.213532,0.214081,0.363868,0.301001,0.418189,0.387572,0.312497,0.316934,0.110056,0.001578,0.044363,0.034806,0.033348,0.054134,0.015241,0.01492,0.008853,0.012767,0.039694,0.434112,0.431294,0.451266,0.452932,0.459329,0.463958,0.470288,0.442174,0.461834,0.404835,0.366814,0.582081,0.570138,0.471574,0.538088,0.542561,0.540481,0.46114,0.004244,0.001506,0.000192,0.001806,0.000884,0.010448,0.00892,0.001262,0.001443,0.063598,0.061283,0.053947,0.14701,0.085846,0.126833,0.158958,0.197811,0.113462,0.120622,0.009123,0.011505,0.107653,0.054291,0.083478,1,0,0,0,1,0
8,0.726326,0.708818,0.685148,0.836022,0.800565,0.552166,0.728756,0.649616,0.763069,0.647769,0.742791,0.003691,0.003414,0.003076,0.003224,0.004565,0.024782,0.006043,0.015913,0.003298,0.046107,0.186934,0.185617,0.211317,0.236344,0.257874,0.365734,0.352695,0.331776,0.34406,0.355432,0.308683,0.297421,0.297572,0.289767,0.000214,0.007149,0.000987,0.000481,0.011244,0.001259,0.000273,0.000793,0.001263,0.000693,0.000227,0.18306,0.230173,0.533514,0.581578,0.790202,0.768876,0.647175,0.601337,0.781703,0.788234,0.611469,0.618816,0.670033,0.67455,0.61677,0.704006,0.55995,0.685644,0.000881,0.001923,0.001562,0.922513,0.514054,0.722206,0.023557,0.026709,0.026183,0.036113,0.021041,0.036865,0.004924,0.030935,0.057696,0.01263,0.041477,0.025413,0.008382,0.001543,0.008899,0.004409,0.001383,0.001531,1,0,0,0,0,0
9,0.676059,0.691312,0.793005,0.53971,0.716394,0.70527,0.451102,0.536164,0.622453,0.438487,0.538002,0.023414,0.017044,0.015091,0.014215,0.060437,0.019774,0.008281,0.011849,0.002566,0.021853,0.282305,0.274973,0.309451,0.317092,0.336907,0.333491,0.354582,0.375446,0.332565,0.294362,0.346139,0.344177,0.391008,0.346591,0.00108,0.012678,0.002206,0.000623,0.001054,0.001496,0.000603,0.013474,0.002814,0.002373,0.000301,0.026615,0.028136,0.43362,0.374642,0.605072,0.631016,0.624005,0.170446,0.319679,0.418143,0.573895,0.360239,0.456253,0.446849,0.535773,0.610608,0.612979,0.624497,0.011256,0.009365,0.005784,1.0,0.993722,0.402235,0.312756,0.241315,0.126664,0.076218,0.010232,0.035857,0.007344,0.003001,0.071594,0.001458,0.092649,0.038155,0.029595,0.002416,0.014646,0.00796,0.007409,0.002724,1,0,0,0,0,0
