,attr1,attr2,attr5,attr13,attr21,attr23,attr26,attr28,attr29,attr31,attr32,attr35,attr37,attr38,attr39,attr40,attr41,attr43,attr45,attr47,attr48,attr49,attr51,attr52,attr54,attr56,attr57,attr59,attr62,attr63,attr64,attr66,attr72,attr73,attr76,attr77,attr82,attr86,attr88,attr89,attr96,attr97,attr98,attr99,attr100,attr101,attr102,attr103,attr110,attr112,attr114,attr116,attr118,attr123,attr124,attr125,attr127,attr128,attr129,attr130,attr133,attr134,attr136,attr139,attr140,attr144,attr145,attr148,attr150,attr151,attr156,attr158,attr161,attr162,attr163,attr166,attr171,attr177,attr180,attr182,attr184,attr185,attr187,attr193,attr194,attr195,attr196,attr205,attr209,attr214,attr216,attr218,attr220,attr224,attr228,attr230,attr233,attr235,attr236,attr237,attr245,attr249,attr250,attr252,attr254,attr255,attr256,attr260,attr262,attr264,attr266,attr267,attr269,attr270,attr275,attr276,attr278,attr279,attr280,attr282,attr283,attr284,attr286,attr288,attr291,attr292,attr294,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.646467,0.666435,0.652746,0.242458,0.255987,0.375018,0.508325,0.567068,0.546262,0.612951,0.621101,0.574777,0.61451,0.59045,0.508313,0.645884,0.800611,0.607308,0.659741,0.796168,0.831285,0.842202,8.3e-05,0.000205,0.196997,0.501902,0.177714,0.190142,0.40135,0.378798,0.021573,0.102771,0.131504,0.09734,0.389289,0.309297,0.236605,0.427434,0.705878,0.46066,0.194235,0.070068,0.031487,0.124623,0.13275,0.136523,0.141344,0.170082,0.280034,0.325151,0.003649,0.035528,0.105021,0.024198,0.072339,0.29201,0.0,0.087497,0.201934,0.357455,0.477202,0.393896,0.546694,0.352682,0.372188,0.390336,0.370412,0.000404,0.00036,0.00058,0.00398,0.04401,0.011999,0.012115,0.0435,0.204866,0.042137,0.237036,0.20256,0.144418,0.255916,0.192111,0.111631,0.106168,0.075619,0.008323,0.00649,0.157363,0.501197,0.364846,0.380569,0.178129,0.307893,0.569903,0.537507,0.597837,0.485518,0.51409,0.600857,0.596149,0.602612,0.001927,0.040129,0.15908,0.190142,0.185948,0.41237,0.02693,0.136652,0.127585,0.545665,0.252143,0.203095,0.172747,0.085062,0.072274,0.094636,0.258751,0.092845,0.224848,0.102568,0.329816,0.049615,0.653879,0.157332,0.247298,0.029709,1,0,0,0,1,0
1,0.770156,0.767255,0.742231,0.54234,0.209851,0.599071,0.653352,0.473784,0.636677,0.621813,0.61389,0.692224,0.605896,0.594992,0.65047,0.582844,0.620887,0.635261,0.656581,0.733633,0.776127,0.702769,0.0,0.0,0.005941,0.015581,0.022979,0.048423,0.381001,0.251929,0.224343,0.288524,0.19999,0.344527,0.292891,0.387634,0.366136,0.380476,0.298399,0.449538,0.220413,0.060163,0.197233,0.231433,0.23225,0.232627,0.240405,0.226447,0.341235,0.343827,0.282881,0.313272,0.349897,0.462894,0.393443,0.398868,0.380027,0.44083,0.496811,0.551358,0.449931,0.480514,0.532003,0.51799,0.497593,0.438059,0.405926,0.000227,0.000293,0.001758,0.000401,0.014107,0.061298,0.06171,0.034444,0.019469,0.165834,0.084646,0.121086,0.040751,0.18088,0.184301,0.104708,0.076152,0.021844,0.045363,0.052414,0.381464,0.549864,0.472178,0.53016,0.4098,0.501689,0.550244,0.580828,0.585659,0.629831,0.657105,0.617228,0.642803,0.656938,0.013929,0.003873,0.015733,0.003633,0.016475,0.159426,0.070917,0.097577,0.193839,0.190554,0.072342,0.175488,0.178064,0.090761,0.138334,0.406639,0.126982,0.046562,0.199359,0.157326,0.051859,0.160008,0.361843,0.251454,0.137833,0.03632,1,0,0,0,0,1
2,0.793984,0.772096,0.740569,0.751835,0.872483,0.966291,0.716114,0.402155,0.75462,0.723823,0.676656,0.4179,0.652387,0.648123,0.680452,0.662322,0.566771,0.597636,0.620396,0.633658,0.539102,0.438471,0.020511,0.009638,0.009422,0.00488,0.028062,0.009064,0.003279,0.00368,0.029472,0.027915,0.003349,0.004788,0.524229,0.32588,0.19659,0.00811,0.099314,0.178453,0.229588,0.357259,0.208049,0.292222,0.278628,0.26987,0.262963,0.248731,0.208608,0.196783,0.250027,0.236536,0.215652,0.360144,0.388621,0.381667,0.290569,0.296632,0.339067,0.453512,0.45011,0.354218,0.417373,0.477997,0.492167,0.417298,0.448539,0.002093,0.002476,0.003134,0.003064,0.003006,0.005044,0.010364,0.014923,0.011205,0.00124,0.002502,0.015597,0.013186,0.002194,0.003948,0.010829,0.001083,0.009633,0.020113,0.018549,0.327988,0.204274,0.341318,0.344326,0.480978,0.476673,0.605654,0.721473,0.6979,0.615651,0.701467,0.700405,0.727154,0.671654,0.023922,0.03784,0.020369,0.013787,0.014701,0.013867,0.064507,0.060296,0.052964,0.075563,0.006149,0.006033,0.181837,0.027821,0.353377,0.048943,0.080248,0.074113,0.024035,0.015971,0.028559,0.038082,0.004901,0.017166,0.051125,0.083924,1,0,0,0,0,0
3,0.938563,0.94926,0.968649,0.622508,0.360757,0.827367,0.753638,0.520342,0.782931,0.750613,0.706845,0.645833,0.719352,0.643989,0.705878,0.773725,0.716752,0.620717,0.682563,0.638804,0.605012,0.512015,0.00472,0.003583,0.000767,0.598068,0.002419,0.002053,0.246481,0.265746,0.0009,0.00676,0.062425,0.058384,0.194386,0.359016,0.243134,0.078168,0.210717,0.131516,0.068329,0.766564,0.421707,0.322174,0.320727,0.318786,0.330617,0.332167,0.33417,0.364726,0.345864,0.35559,0.425521,0.390267,0.461914,0.450206,0.306241,0.298731,0.300995,0.451022,0.45465,0.299328,0.363416,0.439362,0.457881,0.418368,0.429513,0.00139,0.003221,0.001559,0.002163,0.001752,0.03926,6.5e-05,5.6e-05,0.012827,0.003188,0.002216,0.00699,0.004202,0.003934,0.015973,0.002442,0.001719,0.001249,0.009534,0.011834,0.45915,0.683698,0.50728,0.629741,0.36214,0.34531,0.623692,0.682434,0.709317,0.397388,0.676317,0.659219,0.641427,0.610921,0.004585,0.00252,0.032423,0.006821,0.008305,0.003958,0.000906,0.008393,0.105665,0.025972,0.045153,0.03098,0.448542,0.015197,0.209978,0.031173,0.032565,0.034237,0.082271,0.201563,0.043669,0.016922,0.036799,0.019267,0.03129,0.090959,1,0,0,0,0,0
4,0.51213,0.524684,0.471209,0.503925,0.510786,0.62658,0.574756,0.445292,0.450048,0.784539,0.903786,0.657113,0.394086,0.610411,0.698119,0.74371,0.916742,0.354766,0.461353,0.448555,0.545844,0.559726,0.001654,0.001822,0.005484,0.006313,0.002592,0.00442,0.009197,0.008609,0.293329,0.229681,0.414033,0.381879,0.057879,0.036676,0.150744,0.303579,0.409871,0.478137,0.38171,0.257814,0.495915,0.230247,0.22904,0.229774,0.231722,0.237305,0.218038,0.231056,0.263457,0.246214,0.223484,0.266619,0.20284,0.165041,0.325809,0.386255,0.495995,0.371022,0.280926,0.276859,0.279904,0.372373,0.332606,0.267531,0.274081,0.000626,0.000214,0.000276,0.000248,0.000438,0.000279,0.022483,0.020029,0.001493,0.023964,0.026583,0.050114,0.020941,0.024467,0.024693,0.048549,0.025554,0.018212,0.014309,0.030537,0.078379,0.033168,0.182736,0.125358,0.598542,0.559056,0.330225,0.604435,0.581455,0.740361,0.752382,0.683698,0.608886,0.702474,0.002744,0.003992,0.001522,0.010916,0.009433,0.00734,0.381498,0.595821,0.028206,0.010589,0.138157,0.044848,0.036629,0.22177,0.094467,0.186763,0.0746,0.043375,0.188324,0.413413,0.387559,0.023177,0.167709,0.198151,0.238796,0.18429,1,0,0,0,0,0
5,0.824623,0.886845,0.971749,0.811056,0.942952,0.687502,0.559662,0.907959,0.745676,0.30522,0.755472,0.860151,0.696348,0.622364,0.852566,0.749855,0.477832,0.635593,0.857111,0.823096,0.455419,0.527031,0.028791,0.0014,3.6e-05,0.0,0.008019,0.000546,0.722164,0.0,0.359073,0.245735,0.272976,0.651517,0.890532,0.176417,0.6988,0.530081,0.178743,0.254858,0.222042,0.095768,0.492173,0.217853,0.243491,0.273059,0.293656,0.309136,0.33251,0.344012,0.302586,0.245226,0.431639,0.301598,0.320178,0.407641,0.313477,0.332209,0.361927,0.345405,0.305802,0.344698,0.348738,0.556433,0.340734,0.359307,0.38332,0.001069,0.001143,0.000521,0.021919,0.000752,0.000166,0.006749,0.079586,0.06544,0.026254,0.001175,0.008434,0.003491,0.005606,0.007973,0.029937,0.001473,0.0292,0.03322,0.023731,0.482007,0.531647,0.455415,0.577272,0.411433,0.541756,0.517479,0.622428,0.568896,0.596954,0.640376,0.680354,0.599738,0.380122,0.000419,0.000267,0.000117,0.091772,0.00116,0.00029,0.062493,0.034588,0.07807,0.011099,0.262977,0.187486,0.04742,0.034268,0.10169,0.068961,0.120678,0.024654,0.084101,0.111151,0.037579,0.027187,0.047366,0.039862,0.07501,0.090164,1,0,0,0,0,0
6,0.971724,0.972822,0.858447,0.862783,0.684712,0.948911,0.672091,0.424645,0.727681,0.877262,0.581717,0.394373,0.747139,0.762474,0.713859,0.556217,0.591437,0.692633,0.744932,0.734175,0.637862,0.55254,0.000744,0.001515,0.010415,0.015716,0.0,9.5e-05,0.004871,0.006856,0.002149,0.098424,0.053451,0.180105,0.131564,0.108251,0.506569,0.035004,0.273047,0.537241,0.039947,0.205669,0.338231,0.333971,0.338807,0.31749,0.293409,0.275549,0.288464,0.249492,0.340521,0.302634,0.266907,0.317366,0.283868,0.248196,0.377325,0.37308,0.355665,0.437791,0.297757,0.376818,0.402147,0.44192,0.376454,0.400638,0.405405,0.000496,0.001151,0.001064,0.00028,0.000328,0.000765,0.000675,0.000245,0.00238,0.004917,0.002887,0.056267,0.003121,0.000317,0.000678,0.066124,0.000367,0.001248,0.005457,0.011999,0.485787,0.426049,0.488896,0.444869,0.572207,0.540023,0.279835,0.535639,0.440475,0.626353,0.641517,0.604021,0.610619,0.594058,0.005844,0.015752,0.022717,0.001451,0.001723,0.001335,0.001192,0.002507,0.028211,0.147645,0.024184,0.015247,0.023639,0.006708,0.024723,0.068861,0.103651,0.078377,0.00655,0.007641,0.031668,0.044637,0.007609,0.005127,0.007633,0.038599,1,0,0,0,0,0
7,0.879924,0.903021,0.938324,0.953897,0.951708,0.692201,0.742063,0.815724,0.748273,0.837846,0.815628,0.812649,0.823461,0.842671,0.65261,0.45197,0.735555,0.811058,0.770778,0.392251,0.584213,0.71181,0.000568,0.000399,0.000103,8.2e-05,0.062234,0.000262,0.0,0.0,0.052469,0.055302,0.200976,0.1527,0.137302,0.101333,1.0,0.108364,0.881872,0.660097,1.0,0.760678,0.150228,0.069472,0.080158,0.086523,0.106454,0.116337,0.170405,0.172071,0.379143,0.229218,0.214081,0.301001,0.25286,0.204712,0.376989,0.418189,0.355,0.385281,0.290302,0.320837,0.390082,0.387572,0.427099,0.382682,0.3769,0.000737,0.000679,0.001582,0.07013,0.001925,0.001643,0.00272,0.003762,0.000429,0.056972,0.040092,0.150975,0.070937,0.00812,0.008301,0.190194,0.020325,0.092985,0.057507,0.039694,0.439759,0.451266,0.459329,0.470288,0.442174,0.436628,0.366814,0.570138,0.490528,0.531725,0.538088,0.408168,0.542561,0.582674,0.001545,0.000192,0.000864,0.007166,0.001806,0.001447,0.015975,0.00892,0.001443,0.001704,0.093378,0.09863,0.061283,0.053947,0.14701,0.085846,0.126833,0.158958,0.113462,0.026383,0.158985,0.063702,0.011507,0.107653,0.054291,0.052316,1,0,0,0,1,0
8,0.693053,0.713622,0.721621,0.685148,0.491489,0.836022,0.800565,0.552166,0.775461,0.781232,0.742045,0.758152,0.66767,0.650516,0.649616,0.763069,0.77843,0.675901,0.647769,0.7614,0.747155,0.7148,0.003414,0.003076,0.003141,0.015131,0.002474,0.061788,0.134235,0.886029,0.00315,0.04499,0.012735,0.024782,0.47159,0.661244,0.110691,0.056457,0.017182,0.015913,0.000234,0.000687,0.00263,0.18225,0.184691,0.18559,0.186481,0.186934,0.228834,0.244383,0.319609,0.341845,0.331776,0.355432,0.359945,0.302922,0.28415,0.308683,0.312318,0.323299,0.309266,0.274774,0.30941,0.297421,0.297037,0.29561,0.297209,0.000301,0.000365,0.000192,0.006526,0.013484,0.026442,0.000675,0.01919,0.005291,0.001673,0.000908,0.00117,0.001376,0.001292,0.000979,0.000967,0.000403,0.000346,0.000197,0.000227,0.219728,0.533514,0.790202,0.647175,0.601337,0.7917,0.611469,0.670033,0.664352,0.538122,0.61677,0.707226,0.704006,0.68457,0.001147,0.001562,0.390059,0.199063,0.922513,0.95385,0.018233,0.023557,0.026183,0.258548,0.245131,0.038227,0.021041,0.036865,0.004924,0.030935,0.057696,0.01263,0.025413,0.005034,0.036212,0.002519,0.01888,0.004409,0.001383,0.001602,1,0,0,0,0,0
9,0.563258,0.617686,0.690168,0.793005,0.734391,0.53971,0.716394,0.70527,0.311235,0.542622,0.613692,0.682163,0.364919,0.459874,0.536164,0.622453,0.68874,0.078646,0.438487,0.632587,0.679157,0.64553,0.017044,0.015091,0.013538,0.016188,0.012208,0.068803,0.10349,0.081565,0.047857,0.13122,0.05334,0.019774,0.004661,0.00629,0.005708,0.024082,0.01084,0.011849,0.010606,0.004297,0.003384,0.337675,0.306605,0.294012,0.28144,0.282305,0.336097,0.338285,0.352503,0.347257,0.375446,0.294362,0.301674,0.32618,0.337154,0.346139,0.318992,0.297647,0.334623,0.272085,0.355672,0.344177,0.335096,0.401125,0.37225,0.006146,0.001134,0.001248,0.004979,0.00793,0.019806,0.020123,0.015082,0.004992,0.000999,0.001014,0.001071,0.000525,0.001848,0.001544,0.001695,0.001436,0.002931,0.000226,0.000301,0.263587,0.43362,0.605072,0.624005,0.170446,0.386127,0.573895,0.456253,0.505558,0.494733,0.535773,0.538905,0.610608,0.599179,0.009089,0.005784,0.007761,0.831258,1.0,1.0,0.372429,0.312756,0.126664,0.05837,0.019035,0.004935,0.010232,0.035857,0.007344,0.003001,0.071594,0.001458,0.038155,0.017026,0.02046,0.015294,0.082573,0.00796,0.007409,0.002013,1,0,0,0,0,0
