,attr1,attr8,attr22,attr28,attr34,attr36,attr38,attr41,attr44,attr49,attr50,attr51,attr57,attr59,attr63,attr70,attr73,attr77,attr78,attr82,attr84,attr85,attr89,attr92,attr93,attr96,attr99,attr102,attr104,attr106,attr111,attr114,attr115,attr126,attr129,attr133,attr135,attr137,attr141,attr145,attr148,attr152,attr154,attr156,attr157,attr159,attr160,attr166,attr167,attr169,attr177,attr182,attr183,attr188,attr191,attr192,attr195,attr204,attr215,attr216,attr217,attr219,attr220,attr227,attr236,attr238,attr244,attr246,attr247,attr250,attr251,attr254,attr256,attr259,attr262,attr264,attr267,attr270,attr274,attr275,attr278,attr280,attr282,attr287,attr288,attr291,attr293,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.646467,0.535193,0.310109,0.567068,0.694546,0.710196,0.59045,0.800611,0.589019,0.842202,0.000188,8.3e-05,0.177714,0.190142,0.378798,0.293914,0.09734,0.309297,0.052807,0.236605,0.460236,0.081963,0.46066,0.40099,0.500703,0.194235,0.124623,0.141344,0.21585,0.137942,0.321427,0.003649,0.016968,0.379561,0.201934,0.477202,0.52561,0.520857,0.409451,0.370412,0.000404,0.014357,0.028827,0.00398,0.008158,0.028383,0.012518,0.204866,0.211988,0.079962,0.237036,0.144418,0.062853,0.020486,0.355518,0.301727,0.008323,0.126163,0.391528,0.380569,0.358092,0.277878,0.307893,0.519089,0.600857,0.583031,0.58803,0.001898,0.000611,0.040129,0.084242,0.190142,0.41237,0.096029,0.136652,0.127585,0.252143,0.172747,0.048767,0.085062,0.094636,0.092845,0.224848,0.068962,0.653879,0.157332,0.014025,1,0,0,0,1,0
1,0.770156,0.757351,0.570696,0.473784,0.596297,0.634007,0.594992,0.620887,0.67848,0.702769,0.0,0.0,0.022979,0.048423,0.251929,0.323306,0.344527,0.387634,0.192027,0.366136,0.226144,0.278829,0.449538,0.384122,0.308661,0.220413,0.231433,0.240405,0.242332,0.237174,0.355631,0.282881,0.347126,0.487901,0.496811,0.449931,0.538011,0.48952,0.459808,0.405926,0.000227,0.003151,0.003566,0.000401,0.002904,0.039419,0.034294,0.019469,0.036388,0.082108,0.084646,0.040751,0.155181,0.20987,0.089555,0.126997,0.045363,0.389045,0.526537,0.53016,0.517445,0.520744,0.501689,0.592794,0.617228,0.555567,0.638408,0.002222,0.003662,0.003873,0.050018,0.003633,0.159426,0.170231,0.097577,0.193839,0.072342,0.178064,0.133331,0.090761,0.406639,0.046562,0.199359,0.414088,0.361843,0.251454,0.082672,1,0,0,0,0,1
2,0.793984,0.849128,0.955915,0.402155,0.552341,0.622198,0.648123,0.566771,0.636432,0.438471,0.024992,0.020511,0.028062,0.009064,0.00368,0.031957,0.004788,0.32588,0.093208,0.19659,0.36308,0.030802,0.178453,0.01591,0.024332,0.229588,0.292222,0.262963,0.241228,0.29596,0.200706,0.250027,0.237661,0.308731,0.339067,0.45011,0.373477,0.438525,0.374026,0.448539,0.002093,0.003295,0.00197,0.003064,0.003633,0.002095,0.002545,0.011205,0.011646,0.000808,0.002502,0.013186,0.005085,0.004866,0.000529,0.000675,0.020113,0.345131,0.34323,0.344326,0.356358,0.480028,0.476673,0.492452,0.700405,0.698761,0.726349,0.041683,0.032027,0.03784,0.022118,0.013787,0.013867,0.018168,0.060296,0.052964,0.006149,0.181837,0.025505,0.027821,0.048943,0.074113,0.024035,0.079977,0.004901,0.017166,0.112506,1,0,0,0,0,0
3,0.938563,0.95346,0.80424,0.520342,0.647101,0.736683,0.643989,0.716752,0.674617,0.512015,0.00325,0.00472,0.002419,0.002053,0.265746,0.278502,0.058384,0.359016,0.053407,0.243134,0.107387,0.027827,0.131516,0.029073,0.023177,0.068329,0.322174,0.330617,0.354252,0.323669,0.396756,0.345864,0.343601,0.427284,0.300995,0.45465,0.319266,0.424554,0.337538,0.429513,0.00139,0.000966,0.00528,0.002163,0.00226,0.002613,0.032487,0.012827,0.021652,0.004393,0.002216,0.004202,0.001924,0.002416,0.000803,0.002567,0.009534,0.455907,0.655193,0.629741,0.556171,0.366613,0.34531,0.357555,0.659219,0.689379,0.625089,0.007494,0.01235,0.00252,0.08988,0.006821,0.003958,0.085017,0.008393,0.105665,0.045153,0.448542,0.020989,0.015197,0.031173,0.034237,0.082271,0.024174,0.036799,0.019267,0.04978,1,0,0,0,0,0
4,0.51213,0.562266,0.465298,0.445292,0.766266,0.276264,0.610411,0.916742,0.42298,0.559726,0.007047,0.001654,0.002592,0.00442,0.008609,0.011971,0.381879,0.036676,0.3855,0.150744,0.0707,0.405249,0.478137,0.300777,0.380284,0.38171,0.230247,0.231722,0.239348,0.217846,0.223498,0.263457,0.324314,0.147894,0.495995,0.280926,0.286859,0.369636,0.246187,0.274081,0.000626,0.00035,0.000444,0.000248,0.000206,0.000408,0.000465,0.001493,0.002547,0.023029,0.026583,0.020941,0.032397,0.053977,0.027979,0.024087,0.014309,0.090546,0.141181,0.125358,0.110149,0.618592,0.559056,0.584955,0.683698,0.565586,0.83094,0.007056,0.001369,0.003992,0.001849,0.010916,0.00734,0.007811,0.595821,0.028206,0.138157,0.036629,0.293732,0.22177,0.186763,0.043375,0.188324,0.129994,0.167709,0.198151,0.16427,1,0,0,0,0,0
5,0.824623,0.867018,0.532192,0.907959,0.690685,0.768459,0.622364,0.477832,0.749084,0.527031,0.013772,0.028791,0.008019,0.000546,0.0,0.043779,0.651517,0.176417,0.420903,0.6988,0.038538,0.376004,0.254858,0.54439,0.356693,0.222042,0.217853,0.293656,0.32701,0.230604,0.34644,0.302586,0.21834,0.32642,0.361927,0.305802,0.332778,0.345679,0.343724,0.38332,0.001069,0.000446,0.000373,0.021919,0.000554,0.000886,0.002695,0.06544,0.04638,0.019811,0.001175,0.003491,0.002878,0.034862,0.002032,0.001694,0.03322,0.412015,0.522309,0.577272,0.486167,0.540336,0.541756,0.577999,0.680354,0.480587,0.634427,0.020624,0.006309,0.000267,0.000748,0.091772,0.00029,0.000986,0.034588,0.07807,0.262977,0.04742,0.036478,0.034268,0.068961,0.024654,0.084101,0.086379,0.047366,0.039862,0.071401,1,0,0,0,0,0
6,0.971724,0.975738,0.862262,0.424645,0.404404,0.700211,0.762474,0.591437,0.7256,0.55254,0.00037,0.000744,0.0,9.5e-05,0.006856,0.270968,0.180105,0.108251,0.023105,0.506569,0.385413,0.069191,0.537241,0.04124,0.043408,0.039947,0.333971,0.293409,0.256626,0.32511,0.276468,0.340521,0.320075,0.233848,0.355665,0.297757,0.389966,0.428635,0.380137,0.405405,0.000496,0.000552,0.001758,0.00028,0.000846,0.000462,0.000447,0.00238,0.003889,0.004851,0.002887,0.003121,0.000674,0.04929,0.000612,0.000702,0.005457,0.492396,0.480386,0.444869,0.356817,0.540347,0.540023,0.609456,0.604021,0.585436,0.625973,0.000786,0.001071,0.015752,0.01723,0.001451,0.001335,0.01195,0.002507,0.028211,0.024184,0.023639,0.003745,0.006708,0.068861,0.078377,0.00655,0.041734,0.007609,0.005127,0.02978,1,0,0,0,0,0
7,0.879924,0.776896,0.630596,0.815724,0.816615,0.787179,0.842671,0.735555,0.814521,0.71181,0.000847,0.000568,0.062234,0.000262,0.0,5.4e-05,0.1527,0.101333,0.174962,1.0,0.017771,0.12195,0.660097,0.047599,0.055794,1.0,0.069472,0.106454,0.120178,0.310418,0.172469,0.379143,0.307407,0.187407,0.355,0.290302,0.346824,0.39987,0.350178,0.3769,0.000737,0.001511,0.001543,0.07013,0.001845,0.001578,0.001641,0.000429,0.000582,0.026101,0.040092,0.070937,0.017618,0.015241,0.008853,0.012767,0.057507,0.432076,0.463958,0.470288,0.466486,0.461834,0.436628,0.546598,0.408168,0.606638,0.522846,0.005994,0.004244,0.000192,0.000594,0.007166,0.001447,0.000884,0.00892,0.001443,0.093378,0.061283,0.1479,0.053947,0.085846,0.158958,0.113462,0.009123,0.011507,0.107653,0.083478,1,0,0,0,1,0
8,0.693053,0.756848,0.773759,0.552166,0.794549,0.707332,0.650516,0.77843,0.660087,0.7148,0.003691,0.003414,0.002474,0.061788,0.886029,0.946666,0.024782,0.661244,0.083856,0.110691,0.144755,0.051564,0.015913,0.071782,0.046107,0.000234,0.18225,0.186481,0.185631,0.19976,0.257874,0.319609,0.365734,0.320535,0.312318,0.309266,0.290796,0.32035,0.280501,0.297209,0.000301,0.000226,0.001918,0.006526,0.019475,0.007149,0.026843,0.005291,0.013055,0.013199,0.000908,0.001376,0.000847,0.000273,0.001263,0.000693,0.000197,0.191459,0.768876,0.647175,0.570921,0.781703,0.7917,0.674573,0.707226,0.682691,0.682479,0.00151,0.000881,0.001562,0.001361,0.199063,0.95385,0.514054,0.023557,0.026183,0.245131,0.021041,0.068609,0.036865,0.030935,0.01263,0.025413,0.001543,0.01888,0.004409,0.001531,1,0,0,0,0,0
9,0.563258,0.706657,0.438474,0.70527,0.677802,0.170871,0.459874,0.68874,0.337504,0.64553,0.023414,0.017044,0.012208,0.068803,0.081565,0.141032,0.019774,0.00629,0.070482,0.005708,0.000969,0.07751,0.011849,0.107044,0.021853,0.010606,0.337675,0.28144,0.278368,0.296639,0.336907,0.352503,0.333491,0.336241,0.318992,0.334623,0.350658,0.353827,0.263724,0.37225,0.006146,0.000417,0.001553,0.004979,0.007722,0.012678,0.012133,0.004992,0.011751,0.001465,0.001014,0.000525,0.006374,0.000603,0.002814,0.002373,0.000226,0.136384,0.631016,0.624005,0.637223,0.319679,0.386127,0.416488,0.538905,0.598956,0.618581,0.012438,0.011256,0.005784,0.007726,0.831258,1.0,0.993722,0.312756,0.126664,0.019035,0.010232,0.069133,0.035857,0.003001,0.001458,0.038155,0.002416,0.082573,0.00796,0.002724,1,0,0,0,0,0
