,attr2,attr6,attr7,attr8,attr13,attr23,attr27,attr29,attr31,attr33,attr34,attr37,attr38,attr39,attr43,attr45,attr47,attr48,attr49,attr50,attr52,attr53,attr56,attr57,attr59,attr62,attr64,attr65,attr70,attr71,attr72,attr76,attr78,attr79,attr81,attr82,attr83,attr85,attr88,attr89,attr91,attr92,attr93,attr94,attr98,attr99,attr102,attr103,attr105,attr106,attr109,attr110,attr111,attr112,attr114,attr115,attr116,attr119,attr122,attr123,attr124,attr127,attr128,attr135,attr136,attr139,attr144,attr146,attr147,attr156,attr157,attr159,attr161,attr163,attr165,attr167,attr168,attr169,attr171,attr175,attr176,attr178,attr179,attr183,attr185,attr188,attr190,attr191,attr195,attr198,attr201,attr203,attr205,attr206,attr207,attr211,attr213,attr215,attr217,attr218,attr225,attr228,attr230,attr231,attr232,attr236,attr237,attr240,attr244,attr245,attr249,attr252,attr254,attr255,attr256,attr257,attr261,attr262,attr264,attr265,attr266,attr267,attr268,attr271,attr272,attr274,attr276,attr278,attr282,attr284,attr286,attr287,attr288,attr289,attr294,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.666435,0.407864,0.150309,0.535193,0.242458,0.375018,0.467347,0.546262,0.612951,0.653561,0.694546,0.61451,0.59045,0.508313,0.607308,0.659741,0.796168,0.831285,0.842202,0.000188,0.000205,0.000122,0.501902,0.177714,0.190142,0.40135,0.021573,0.057354,0.293914,0.131084,0.131504,0.389289,0.052807,0.127081,0.22216,0.236605,0.181267,0.081963,0.705878,0.46066,0.238395,0.40099,0.500703,0.3263,0.031487,0.124623,0.141344,0.170082,0.256125,0.137942,0.23513,0.280034,0.321427,0.325151,0.003649,0.016968,0.035528,0.264698,0.020604,0.024198,0.072339,0.0,0.087497,0.52561,0.546694,0.352682,0.390336,0.330857,0.326674,0.00398,0.008158,0.028383,0.011999,0.0435,0.1759,0.211988,0.052651,0.079962,0.042137,0.067789,0.152805,0.187112,0.302307,0.062853,0.192111,0.020486,0.093826,0.355518,0.008323,0.236838,0.29548,0.479871,0.157363,0.194579,0.372685,0.175233,0.229838,0.391528,0.358092,0.178129,0.453827,0.537507,0.597837,0.530216,0.331432,0.600857,0.596149,0.460268,0.58803,0.602612,0.001927,0.15908,0.190142,0.185948,0.41237,0.204738,0.069331,0.136652,0.127585,0.249868,0.545665,0.252143,0.261571,0.23903,0.309251,0.048767,0.072274,0.094636,0.224848,0.329816,0.049615,0.068962,0.653879,0.354982,0.029709,1,0,0,0,1,0
1,0.767255,0.688086,0.708416,0.757351,0.54234,0.599071,0.559962,0.636677,0.621813,0.596795,0.596297,0.605896,0.594992,0.65047,0.635261,0.656581,0.733633,0.776127,0.702769,0.0,0.0,0.016047,0.015581,0.022979,0.048423,0.381001,0.224343,0.242238,0.323306,0.130436,0.19999,0.292891,0.192027,0.297579,0.407936,0.366136,0.514324,0.278829,0.298399,0.449538,0.388497,0.384122,0.308661,0.255651,0.197233,0.231433,0.240405,0.226447,0.220521,0.237174,0.314664,0.341235,0.355631,0.343827,0.282881,0.347126,0.313272,0.373025,0.446379,0.462894,0.393443,0.380027,0.44083,0.538011,0.532003,0.51799,0.438059,0.432647,0.436461,0.000401,0.002904,0.039419,0.061298,0.034444,0.028389,0.036388,0.076316,0.082108,0.165834,0.132913,0.082165,0.163514,0.216372,0.155181,0.184301,0.20987,0.143118,0.089555,0.045363,0.34909,0.33812,0.330146,0.381464,0.382504,0.434112,0.437265,0.515007,0.526537,0.517445,0.4098,0.49395,0.580828,0.585659,0.634069,0.600465,0.617228,0.642803,0.500693,0.638408,0.656938,0.013929,0.015733,0.003633,0.016475,0.159426,0.13157,0.088278,0.097577,0.193839,0.283507,0.190554,0.072342,0.111906,0.24989,0.085085,0.133331,0.138334,0.406639,0.199359,0.051859,0.160008,0.414088,0.361843,0.303399,0.03632,1,0,0,0,0,1
2,0.772096,0.734361,0.722677,0.849128,0.751835,0.966291,0.479571,0.75462,0.723823,0.633313,0.552341,0.652387,0.648123,0.680452,0.597636,0.620396,0.633658,0.539102,0.438471,0.024992,0.009638,0.007935,0.00488,0.028062,0.009064,0.003279,0.029472,0.038005,0.031957,0.00718,0.003349,0.524229,0.093208,0.063083,0.232278,0.19659,0.303786,0.030802,0.099314,0.178453,0.2397,0.01591,0.024332,0.030036,0.208049,0.292222,0.262963,0.248731,0.227119,0.29596,0.227058,0.208608,0.200706,0.196783,0.250027,0.237661,0.236536,0.224657,0.332812,0.360144,0.388621,0.290569,0.296632,0.373477,0.417373,0.477997,0.417298,0.469266,0.463621,0.003064,0.003633,0.002095,0.005044,0.014923,0.012962,0.011646,0.016765,0.000808,0.00124,0.023752,0.003716,0.034395,0.00875,0.005085,0.003948,0.004866,0.00055,0.000529,0.020113,0.263352,0.218901,0.202037,0.327988,0.291286,0.250794,0.342984,0.337974,0.34323,0.356358,0.480978,0.370314,0.721473,0.6979,0.627013,0.551206,0.700405,0.727154,0.628198,0.726349,0.671654,0.023922,0.020369,0.013787,0.014701,0.013867,0.00913,0.082237,0.060296,0.052964,0.062245,0.075563,0.006149,0.004046,0.213608,0.122532,0.025505,0.353377,0.048943,0.024035,0.028559,0.038082,0.079977,0.004901,0.00346,0.083924,1,0,0,0,0,0
3,0.94926,0.869619,0.696925,0.95346,0.622508,0.827367,0.696435,0.782931,0.750613,0.612971,0.647101,0.719352,0.643989,0.705878,0.620717,0.682563,0.638804,0.605012,0.512015,0.00325,0.003583,0.001482,0.598068,0.002419,0.002053,0.246481,0.0009,0.000503,0.278502,0.146605,0.062425,0.194386,0.053407,0.034293,0.116559,0.243134,0.143546,0.027827,0.210717,0.131516,0.050244,0.029073,0.023177,0.067705,0.421707,0.322174,0.330617,0.332167,0.359369,0.323669,0.326811,0.33417,0.396756,0.364726,0.345864,0.343601,0.35559,0.38989,0.304492,0.390267,0.461914,0.306241,0.298731,0.319266,0.363416,0.439362,0.418368,0.427353,0.428903,0.002163,0.00226,0.002613,0.03926,5.6e-05,0.008323,0.021652,0.013176,0.004393,0.003188,0.009431,0.003065,0.014552,0.013219,0.001924,0.015973,0.002416,0.00143,0.000803,0.009534,0.443416,0.463779,0.526961,0.45915,0.46558,0.470724,0.496332,0.491154,0.655193,0.556171,0.36214,0.343979,0.682434,0.709317,0.693281,0.330571,0.659219,0.641427,0.560029,0.625089,0.610921,0.004585,0.032423,0.006821,0.008305,0.003958,0.030881,0.000563,0.008393,0.105665,0.060825,0.025972,0.045153,0.0399,0.024508,0.024751,0.020989,0.209978,0.031173,0.082271,0.043669,0.016922,0.024174,0.036799,0.007694,0.090959,1,0,0,0,0,0
4,0.524684,0.417654,0.364292,0.562266,0.503925,0.62658,0.519651,0.450048,0.784539,0.834243,0.766266,0.394086,0.610411,0.698119,0.354766,0.461353,0.448555,0.545844,0.559726,0.007047,0.001822,0.003397,0.006313,0.002592,0.00442,0.009197,0.293329,0.258819,0.011971,0.919451,0.414033,0.057879,0.3855,0.40311,0.044535,0.150744,0.080107,0.405249,0.409871,0.478137,0.499655,0.300777,0.380284,0.300245,0.495915,0.230247,0.231722,0.237305,0.229863,0.217846,0.216159,0.218038,0.223498,0.231056,0.263457,0.324314,0.246214,0.224746,0.320144,0.266619,0.20284,0.325809,0.386255,0.286859,0.279904,0.372373,0.267531,0.269781,0.293731,0.000248,0.000206,0.000408,0.000279,0.020029,0.009103,0.002547,0.001782,0.023029,0.023964,0.004952,0.121845,0.516855,0.02932,0.032397,0.024693,0.053977,0.041243,0.027979,0.014309,0.016058,0.0,0.0,0.078379,0.059313,0.044865,0.273081,0.396448,0.141181,0.110149,0.598542,0.722032,0.604435,0.581455,0.531412,0.643172,0.683698,0.608886,0.753892,0.83094,0.702474,0.002744,0.001522,0.010916,0.009433,0.00734,0.010177,0.439771,0.595821,0.028206,0.010644,0.010589,0.138157,0.094097,0.046537,0.090652,0.293732,0.094467,0.186763,0.188324,0.387559,0.023177,0.129994,0.167709,0.22658,0.18429,1,0,0,0,0,0
5,0.886845,0.978218,0.978737,0.867018,0.811056,0.687502,0.594875,0.745676,0.30522,0.674828,0.690685,0.696348,0.622364,0.852566,0.635593,0.857111,0.823096,0.455419,0.527031,0.013772,0.0014,0.000493,0.0,0.008019,0.000546,0.722164,0.359073,0.40017,0.043779,0.500905,0.272976,0.890532,0.420903,0.365801,0.345937,0.6988,0.401936,0.376004,0.178743,0.254858,0.138658,0.54439,0.356693,0.190472,0.492173,0.217853,0.293656,0.309136,0.331838,0.230604,0.313484,0.33251,0.34644,0.344012,0.302586,0.21834,0.245226,0.304438,0.304547,0.301598,0.320178,0.313477,0.332209,0.332778,0.348738,0.556433,0.359307,0.580226,0.315569,0.021919,0.000554,0.000886,0.000166,0.079586,0.005208,0.04638,0.002335,0.019811,0.026254,0.007445,0.002337,0.035676,0.003505,0.002878,0.007973,0.034862,0.002947,0.002032,0.03322,0.422828,0.478294,0.478663,0.482007,0.479491,0.478194,0.348352,0.436158,0.522309,0.486167,0.411433,0.589942,0.622428,0.568896,0.448504,0.656927,0.680354,0.599738,0.65261,0.634427,0.380122,0.000419,0.000117,0.091772,0.00116,0.00029,0.010173,0.200693,0.034588,0.07807,0.197288,0.011099,0.262977,0.224116,0.103418,0.16682,0.036478,0.10169,0.068961,0.084101,0.037579,0.027187,0.086379,0.047366,0.048032,0.090164,1,0,0,0,0,0
6,0.972822,0.780253,0.698015,0.975738,0.862783,0.948911,0.551408,0.727681,0.877262,0.509071,0.404404,0.747139,0.762474,0.713859,0.692633,0.744932,0.734175,0.637862,0.55254,0.00037,0.001515,0.005545,0.015716,0.0,9.5e-05,0.004871,0.002149,0.00023,0.270968,0.165524,0.053451,0.131564,0.023105,0.063248,0.616026,0.506569,0.671008,0.069191,0.273047,0.537241,0.16201,0.04124,0.043408,0.044825,0.338231,0.333971,0.293409,0.275549,0.230576,0.32511,0.306907,0.288464,0.276468,0.249492,0.340521,0.320075,0.302634,0.258224,0.329102,0.317366,0.283868,0.377325,0.37308,0.389966,0.402147,0.44192,0.400638,0.412476,0.417785,0.00028,0.000846,0.000462,0.000765,0.000245,0.001386,0.003889,0.00362,0.004851,0.004917,0.003196,0.000447,0.002982,0.091675,0.000674,0.000678,0.04929,0.000695,0.000612,0.005457,0.497573,0.417427,0.264895,0.485787,0.487464,0.49357,0.505368,0.507459,0.480386,0.356817,0.572207,0.612017,0.535639,0.440475,0.410293,0.609288,0.604021,0.610619,0.621522,0.625973,0.594058,0.005844,0.022717,0.001451,0.001723,0.001335,0.005198,0.002015,0.002507,0.028211,0.053681,0.147645,0.024184,0.016763,0.024712,0.028581,0.003745,0.024723,0.068861,0.00655,0.031668,0.044637,0.041734,0.007609,0.005356,0.038599,1,0,0,0,0,0
7,0.903021,0.937413,0.932117,0.776896,0.953897,0.692201,0.835853,0.748273,0.837846,0.467512,0.816615,0.823461,0.842671,0.65261,0.811058,0.770778,0.392251,0.584213,0.71181,0.000847,0.000399,0.000215,8.2e-05,0.062234,0.000262,0.0,0.052469,0.024876,5.4e-05,0.286761,0.200976,0.137302,0.174962,0.170249,0.134294,1.0,0.147979,0.12195,0.881872,0.660097,0.027848,0.047599,0.055794,0.104078,0.150228,0.069472,0.106454,0.116337,0.114403,0.310418,0.161962,0.170405,0.172469,0.172071,0.379143,0.307407,0.229218,0.220953,0.322119,0.301001,0.25286,0.376989,0.418189,0.346824,0.390082,0.387572,0.382682,0.316934,0.403813,0.07013,0.001845,0.001578,0.001643,0.003762,0.009812,0.000582,0.001243,0.026101,0.056972,0.0064,0.019419,0.031309,0.025622,0.017618,0.008301,0.015241,0.01492,0.008853,0.057507,0.395576,0.434112,0.431294,0.439759,0.443438,0.449041,0.529679,0.47617,0.463958,0.466486,0.442174,0.515779,0.570138,0.490528,0.481526,0.489645,0.408168,0.542561,0.540481,0.522846,0.582674,0.001545,0.000864,0.007166,0.001806,0.001447,0.001078,0.010448,0.00892,0.001443,0.001601,0.001704,0.093378,0.063598,0.063918,0.141886,0.1479,0.14701,0.085846,0.113462,0.158985,0.063702,0.009123,0.011507,0.011505,0.052316,1,0,0,0,1,0
8,0.713622,0.708818,0.679885,0.756848,0.685148,0.836022,0.676447,0.775461,0.781232,0.716052,0.794549,0.66767,0.650516,0.649616,0.675901,0.647769,0.7614,0.747155,0.7148,0.003691,0.003076,0.002832,0.015131,0.002474,0.061788,0.134235,0.00315,0.021247,0.946666,0.044959,0.012735,0.47159,0.083856,0.048348,0.139037,0.110691,0.086509,0.051564,0.017182,0.015913,0.003562,0.071782,0.046107,0.028274,0.00263,0.18225,0.186481,0.186934,0.185617,0.19976,0.236344,0.228834,0.257874,0.244383,0.319609,0.365734,0.341845,0.265316,0.362647,0.355432,0.359945,0.28415,0.308683,0.290796,0.30941,0.297421,0.29561,0.289767,0.290953,0.006526,0.019475,0.007149,0.026442,0.01919,0.010726,0.013055,0.013703,0.013199,0.001673,0.013353,0.002341,0.000832,0.000972,0.000847,0.000979,0.000273,0.000793,0.001263,0.000197,0.177492,0.18306,0.230173,0.219728,0.551116,0.455459,0.246422,0.82593,0.768876,0.570921,0.601337,0.434201,0.670033,0.664352,0.674875,0.43239,0.707226,0.704006,0.55995,0.682479,0.68457,0.001147,0.390059,0.199063,0.922513,0.95385,0.987303,0.722206,0.023557,0.026183,0.160402,0.258548,0.245131,0.036113,0.038742,0.148276,0.068609,0.004924,0.030935,0.025413,0.036212,0.002519,0.001543,0.01888,0.008899,0.001602,1,0,0,0,0,0
9,0.617686,0.691312,0.667863,0.706657,0.793005,0.53971,0.719919,0.311235,0.542622,0.65541,0.677802,0.364919,0.459874,0.536164,0.078646,0.438487,0.632587,0.679157,0.64553,0.023414,0.015091,0.014728,0.016188,0.012208,0.068803,0.10349,0.047857,0.20943,0.141032,0.031013,0.05334,0.004661,0.070482,0.030394,0.012015,0.005708,0.004373,0.07751,0.01084,0.011849,0.002143,0.107044,0.021853,0.007563,0.003384,0.337675,0.28144,0.282305,0.274973,0.296639,0.317092,0.336097,0.336907,0.338285,0.352503,0.333491,0.347257,0.37107,0.293663,0.294362,0.301674,0.337154,0.346139,0.350658,0.355672,0.344177,0.401125,0.346591,0.350055,0.004979,0.007722,0.012678,0.019806,0.015082,0.004625,0.011751,0.008225,0.001465,0.000999,0.000354,0.005034,0.00163,0.000826,0.006374,0.001544,0.000603,0.013474,0.002814,0.000226,0.014638,0.026615,0.028136,0.263587,0.295044,0.318684,0.437086,0.579979,0.631016,0.637223,0.170446,0.1945,0.456253,0.505558,0.586286,0.298857,0.538905,0.610608,0.612979,0.618581,0.599179,0.009089,0.007761,0.831258,1.0,1.0,1.0,0.402235,0.312756,0.126664,0.030122,0.05837,0.019035,0.076218,0.032971,0.056322,0.069133,0.007344,0.003001,0.038155,0.02046,0.015294,0.002416,0.082573,0.014646,0.002013,1,0,0,0,0,0
