,attr2,attr3,attr4,attr7,attr8,attr14,attr21,attr23,attr27,attr28,attr30,attr33,attr35,attr41,attr43,attr44,attr46,attr49,attr51,attr58,attr60,attr64,attr65,attr66,attr70,attr72,attr74,attr76,attr77,attr78,attr81,attr83,attr85,attr88,attr90,attr91,attr92,attr94,attr95,attr96,attr97,attr99,attr102,attr103,attr105,attr107,attr108,attr110,attr114,attr116,attr117,attr118,attr121,attr123,attr124,attr125,attr128,attr140,attr141,attr142,attr143,attr144,attr146,attr147,attr150,attr151,attr159,attr160,attr162,attr165,attr166,attr167,attr168,attr170,attr171,attr174,attr177,attr178,attr182,attr186,attr187,attr189,attr190,attr191,attr192,attr193,attr195,attr197,attr199,attr201,attr202,attr210,attr211,attr212,attr216,attr218,attr220,attr222,attr223,attr224,attr227,attr232,attr234,attr236,attr237,attr238,attr239,attr241,attr247,attr248,attr249,attr250,attr251,attr252,attr253,attr255,attr257,attr260,attr261,attr263,attr268,attr270,attr271,attr272,attr274,attr276,attr280,attr282,attr285,attr286,attr287,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.666435,0.685047,0.699053,0.150309,0.535193,0.170217,0.255987,0.375018,0.467347,0.567068,0.566969,0.653561,0.574777,0.800611,0.607308,0.589019,0.692727,0.842202,8.3e-05,0.19772,0.174353,0.021573,0.057354,0.102771,0.293914,0.131504,0.094081,0.389289,0.309297,0.052807,0.22216,0.181267,0.081963,0.705878,0.104982,0.238395,0.40099,0.3263,0.542055,0.194235,0.070068,0.124623,0.141344,0.170082,0.256125,0.13679,0.146722,0.280034,0.003649,0.035528,0.037147,0.105021,0.080096,0.024198,0.072339,0.29201,0.087497,0.372188,0.409451,0.453909,0.559081,0.390336,0.330857,0.326674,0.00036,0.00058,0.028383,0.012518,0.012115,0.1759,0.204866,0.211988,0.052651,0.072072,0.042137,0.102519,0.237036,0.187112,0.144418,0.188077,0.111631,0.045902,0.093826,0.355518,0.301727,0.106168,0.008323,0.212997,0.255211,0.29548,0.34692,0.495247,0.175233,0.206835,0.380569,0.178129,0.307893,0.438987,0.512927,0.569903,0.519089,0.331432,0.603675,0.600857,0.596149,0.583031,0.578883,0.589159,0.000611,0.001762,0.001927,0.040129,0.084242,0.15908,0.196353,0.185948,0.204738,0.02693,0.069331,0.136285,0.261571,0.172747,0.23903,0.309251,0.048767,0.072274,0.092845,0.224848,0.061538,0.049615,0.068962,1,0,0,0,1,0
1,0.767255,0.761053,0.74563,0.708416,0.757351,0.439594,0.209851,0.599071,0.559962,0.473784,0.653249,0.596795,0.692224,0.620887,0.635261,0.67848,0.745513,0.702769,0.0,0.011133,0.320434,0.224343,0.242238,0.288524,0.323306,0.19999,0.285809,0.292891,0.387634,0.192027,0.407936,0.514324,0.278829,0.298399,0.447431,0.388497,0.384122,0.255651,0.218179,0.220413,0.060163,0.231433,0.240405,0.226447,0.220521,0.234595,0.239492,0.341235,0.282881,0.313272,0.312401,0.349897,0.430432,0.462894,0.393443,0.398868,0.44083,0.497593,0.459808,0.454403,0.478676,0.438059,0.432647,0.436461,0.000293,0.001758,0.039419,0.034294,0.06171,0.028389,0.019469,0.036388,0.076316,0.08107,0.165834,0.040344,0.084646,0.163514,0.040751,0.099932,0.104708,0.277789,0.143118,0.089555,0.126997,0.076152,0.045363,0.3594,0.340613,0.33812,0.351561,0.520889,0.437265,0.404511,0.53016,0.4098,0.501689,0.559458,0.573269,0.550244,0.592794,0.600465,0.568729,0.617228,0.642803,0.555567,0.526492,0.594002,0.003662,0.002397,0.013929,0.003873,0.050018,0.015733,0.004475,0.016475,0.13157,0.070917,0.088278,0.167246,0.111906,0.178064,0.24989,0.085085,0.133331,0.138334,0.046562,0.199359,0.114123,0.160008,0.414088,1,0,0,0,0,1
2,0.772096,0.76182,0.762213,0.722677,0.849128,0.754508,0.872483,0.966291,0.479571,0.402155,0.775176,0.633313,0.4179,0.566771,0.597636,0.636432,0.558789,0.438471,0.020511,0.011574,0.003915,0.029472,0.038005,0.027915,0.031957,0.003349,0.291597,0.524229,0.32588,0.093208,0.232278,0.303786,0.030802,0.099314,0.076778,0.2397,0.01591,0.030036,0.094455,0.229588,0.357259,0.292222,0.262963,0.248731,0.227119,0.284239,0.258635,0.208608,0.250027,0.236536,0.222922,0.215652,0.336536,0.360144,0.388621,0.381667,0.296632,0.492167,0.374026,0.381111,0.406296,0.417298,0.469266,0.463621,0.002476,0.003134,0.002095,0.002545,0.010364,0.012962,0.011205,0.011646,0.016765,0.000747,0.00124,0.026026,0.002502,0.034395,0.013186,0.004406,0.010829,0.014068,0.00055,0.000529,0.000675,0.001083,0.020113,0.296934,0.248837,0.218901,0.215009,0.210089,0.342984,0.338388,0.344326,0.480978,0.476673,0.607935,0.624508,0.605654,0.492452,0.551206,0.664643,0.700405,0.727154,0.698761,0.601505,0.631497,0.032027,0.016284,0.023922,0.03784,0.022118,0.020369,0.04351,0.014701,0.00913,0.064507,0.082237,0.058945,0.004046,0.181837,0.213608,0.122532,0.025505,0.353377,0.074113,0.024035,0.047596,0.038082,0.079977,1,0,0,0,0,0
3,0.94926,0.955621,0.966743,0.696925,0.95346,0.530428,0.360757,0.827367,0.696435,0.520342,0.774347,0.612971,0.645833,0.716752,0.620717,0.674617,0.663321,0.512015,0.00472,0.002292,0.00105,0.0009,0.000503,0.00676,0.278502,0.062425,0.047922,0.194386,0.359016,0.053407,0.116559,0.143546,0.027827,0.210717,0.126332,0.050244,0.029073,0.067705,0.06215,0.068329,0.766564,0.322174,0.330617,0.332167,0.359369,0.321872,0.321763,0.33417,0.345864,0.35559,0.453237,0.425521,0.314438,0.390267,0.461914,0.450206,0.298731,0.457881,0.337538,0.36954,0.398141,0.418368,0.427353,0.428903,0.003221,0.001559,0.002613,0.032487,6.5e-05,0.008323,0.012827,0.021652,0.013176,0.002705,0.003188,0.004391,0.002216,0.014552,0.004202,0.002452,0.002442,0.004537,0.00143,0.000803,0.002567,0.001719,0.009534,0.436281,0.44724,0.463779,0.512614,0.638922,0.496332,0.497886,0.629741,0.36214,0.34531,0.719147,0.682088,0.623692,0.357555,0.330571,0.525374,0.659219,0.641427,0.689379,0.488873,0.606448,0.01235,0.009885,0.004585,0.00252,0.08988,0.032423,0.005544,0.008305,0.030881,0.000906,0.000563,0.093743,0.0399,0.448542,0.024508,0.024751,0.020989,0.209978,0.034237,0.082271,0.027527,0.016922,0.024174,1,0,0,0,0,0
4,0.524684,0.52002,0.504467,0.364292,0.562266,0.447526,0.510786,0.62658,0.519651,0.445292,0.742275,0.834243,0.657113,0.916742,0.354766,0.42298,0.459486,0.559726,0.001654,0.003346,0.004351,0.293329,0.258819,0.229681,0.011971,0.414033,0.300269,0.057879,0.036676,0.3855,0.044535,0.080107,0.405249,0.409871,0.088377,0.499655,0.300777,0.300245,0.381694,0.38171,0.257814,0.230247,0.231722,0.237305,0.229863,0.215322,0.215933,0.218038,0.263457,0.246214,0.221379,0.223484,0.384582,0.266619,0.20284,0.165041,0.386255,0.332606,0.246187,0.284616,0.243992,0.267531,0.269781,0.293731,0.000214,0.000276,0.000408,0.000465,0.022483,0.009103,0.001493,0.002547,0.001782,0.039627,0.023964,0.006539,0.026583,0.516855,0.020941,0.198196,0.048549,0.19288,0.041243,0.027979,0.024087,0.025554,0.014309,0.028538,0.004115,0.0,0.0,0.020241,0.273081,0.273249,0.125358,0.598542,0.559056,0.458311,0.393485,0.330225,0.584955,0.643172,0.770934,0.683698,0.608886,0.565586,0.750022,0.806584,0.001369,0.001182,0.002744,0.003992,0.001849,0.001522,0.006113,0.009433,0.010177,0.381498,0.439771,0.20769,0.094097,0.036629,0.046537,0.090652,0.293732,0.094467,0.043375,0.188324,0.15873,0.023177,0.129994,1,0,0,0,0,0
5,0.886845,0.933213,0.95865,0.978737,0.867018,0.986031,0.942952,0.687502,0.594875,0.907959,0.74103,0.674828,0.860151,0.477832,0.635593,0.749084,0.802736,0.527031,0.028791,0.318959,5e-05,0.359073,0.40017,0.245735,0.043779,0.272976,0.704225,0.890532,0.176417,0.420903,0.345937,0.401936,0.376004,0.178743,0.110394,0.138658,0.54439,0.190472,0.212606,0.222042,0.095768,0.217853,0.293656,0.309136,0.331838,0.295933,0.295905,0.33251,0.302586,0.245226,0.334122,0.431639,0.350809,0.301598,0.320178,0.407641,0.332209,0.340734,0.343724,0.355261,0.346358,0.359307,0.580226,0.315569,0.001143,0.000521,0.000886,0.002695,0.006749,0.005208,0.06544,0.04638,0.002335,0.076666,0.026254,0.091008,0.001175,0.035676,0.003491,0.001977,0.029937,0.033986,0.002947,0.002032,0.001694,0.001473,0.03322,0.368223,0.460682,0.478294,0.479659,0.482387,0.348352,0.476058,0.577272,0.411433,0.541756,0.553487,0.550814,0.517479,0.577999,0.656927,0.620762,0.680354,0.599738,0.480587,0.639627,0.653885,0.006309,0.002318,0.000419,0.000267,0.000748,0.000117,0.013828,0.00116,0.010173,0.062493,0.200693,0.010149,0.224116,0.04742,0.103418,0.16682,0.036478,0.10169,0.024654,0.084101,0.071117,0.027187,0.086379,1,0,0,0,0,0
6,0.972822,0.959227,0.927736,0.698015,0.975738,0.794935,0.684712,0.948911,0.551408,0.424645,0.821362,0.509071,0.394373,0.591437,0.692633,0.7256,0.754131,0.55254,0.000744,0.0,0.000183,0.002149,0.00023,0.098424,0.270968,0.053451,0.293057,0.131564,0.108251,0.023105,0.616026,0.671008,0.069191,0.273047,0.483355,0.16201,0.04124,0.044825,0.02179,0.039947,0.205669,0.333971,0.293409,0.275549,0.230576,0.335837,0.323676,0.288464,0.340521,0.302634,0.284506,0.266907,0.341872,0.317366,0.283868,0.248196,0.37308,0.376454,0.380137,0.393834,0.395117,0.400638,0.412476,0.417785,0.001151,0.001064,0.000462,0.000447,0.000675,0.001386,0.00238,0.003889,0.00362,0.001001,0.004917,0.004303,0.002887,0.002982,0.003121,0.032732,0.066124,0.012906,0.000695,0.000612,0.000702,0.000367,0.005457,0.500391,0.499016,0.417427,0.345008,0.369699,0.505368,0.496556,0.444869,0.572207,0.540023,0.438685,0.382436,0.279835,0.609456,0.609288,0.647634,0.604021,0.610619,0.585436,0.597547,0.630412,0.001071,0.002229,0.005844,0.015752,0.01723,0.022717,0.001458,0.001723,0.005198,0.001192,0.002015,0.005374,0.016763,0.023639,0.024712,0.028581,0.003745,0.024723,0.078377,0.00655,0.044859,0.044637,0.041734,1,0,0,0,0,0
7,0.903021,0.92151,0.933874,0.932117,0.776896,0.94937,0.951708,0.692201,0.835853,0.815724,0.794099,0.467512,0.812649,0.735555,0.811058,0.814521,0.509969,0.71181,0.000568,0.055124,8.9e-05,0.052469,0.024876,0.055302,5.4e-05,0.200976,0.209324,0.137302,0.101333,0.174962,0.134294,0.147979,0.12195,0.881872,0.469226,0.027848,0.047599,0.104078,0.57001,1.0,0.760678,0.069472,0.106454,0.116337,0.114403,0.194252,0.143951,0.170405,0.379143,0.229218,0.213532,0.214081,0.363868,0.301001,0.25286,0.204712,0.418189,0.427099,0.350178,0.312497,0.318882,0.382682,0.316934,0.403813,0.000679,0.001582,0.001578,0.001641,0.00272,0.009812,0.000429,0.000582,0.001243,0.044363,0.056972,0.033348,0.040092,0.031309,0.070937,0.016955,0.190194,0.003595,0.01492,0.008853,0.012767,0.020325,0.057507,0.356962,0.414699,0.434112,0.432535,0.452932,0.529679,0.517177,0.470288,0.442174,0.436628,0.39788,0.425702,0.366814,0.546598,0.489645,0.589104,0.408168,0.542561,0.606638,0.558362,0.51806,0.004244,0.001506,0.001545,0.000192,0.000594,0.000864,0.018063,0.001806,0.001078,0.015975,0.010448,0.001262,0.063598,0.061283,0.063918,0.141886,0.1479,0.14701,0.158958,0.113462,0.120622,0.063702,0.009123,1,0,0,0,1,0
8,0.713622,0.723593,0.726326,0.679885,0.756848,0.495086,0.491489,0.836022,0.676447,0.552166,0.728756,0.716052,0.758152,0.77843,0.675901,0.660087,0.742791,0.7148,0.003414,0.004565,0.04424,0.00315,0.021247,0.04499,0.946666,0.012735,0.014787,0.47159,0.661244,0.083856,0.139037,0.086509,0.051564,0.017182,0.003298,0.003562,0.071782,0.028274,0.00782,0.000234,0.000687,0.18225,0.186481,0.186934,0.185617,0.211317,0.25679,0.228834,0.319609,0.341845,0.352695,0.331776,0.34406,0.355432,0.359945,0.302922,0.308683,0.297037,0.280501,0.297572,0.310062,0.29561,0.289767,0.290953,0.000365,0.000192,0.007149,0.026843,0.000675,0.010726,0.005291,0.013055,0.013703,0.000987,0.001673,0.011244,0.000908,0.000832,0.001376,0.000479,0.000967,0.000198,0.000793,0.001263,0.000693,0.000403,0.000197,0.179952,0.180936,0.18306,0.178218,0.581578,0.246422,0.636205,0.647175,0.601337,0.7917,0.786959,0.585301,0.611469,0.674573,0.43239,0.592347,0.707226,0.704006,0.682691,0.506027,0.615372,0.000881,0.001923,0.001147,0.001562,0.001361,0.390059,0.001275,0.922513,0.987303,0.018233,0.722206,0.026709,0.036113,0.021041,0.038742,0.148276,0.068609,0.004924,0.01263,0.025413,0.008382,0.002519,0.001543,1,0,0,0,0,0
9,0.617686,0.651829,0.676059,0.667863,0.706657,0.733002,0.734391,0.53971,0.719919,0.70527,0.451102,0.65541,0.682163,0.68874,0.078646,0.337504,0.538002,0.64553,0.017044,0.060437,0.064344,0.047857,0.20943,0.13122,0.141032,0.05334,0.010869,0.004661,0.00629,0.070482,0.012015,0.004373,0.07751,0.01084,0.002566,0.002143,0.107044,0.007563,0.026907,0.010606,0.004297,0.337675,0.28144,0.282305,0.274973,0.309451,0.314664,0.336097,0.352503,0.347257,0.354582,0.375446,0.332565,0.294362,0.301674,0.32618,0.346139,0.335096,0.263724,0.391008,0.404108,0.401125,0.346591,0.350055,0.001134,0.001248,0.012678,0.012133,0.020123,0.004625,0.004992,0.011751,0.008225,0.002206,0.000999,0.001054,0.001014,0.00163,0.000525,0.002851,0.001695,0.000509,0.013474,0.002814,0.002373,0.001436,0.000226,0.003724,0.019715,0.026615,0.029377,0.374642,0.437086,0.552603,0.624005,0.170446,0.386127,0.43466,0.475085,0.573895,0.416488,0.298857,0.528773,0.538905,0.610608,0.598956,0.47532,0.620382,0.011256,0.009365,0.009089,0.005784,0.007726,0.007761,0.056329,1.0,1.0,0.372429,0.402235,0.241315,0.076218,0.010232,0.032971,0.056322,0.069133,0.007344,0.001458,0.038155,0.029595,0.015294,0.002416,1,0,0,0,0,0
