,attr1,attr2,attr3,attr5,attr9,attr14,attr22,attr26,attr29,attr36,attr43,attr45,attr49,attr50,attr52,attr53,attr54,attr55,attr56,attr60,attr62,attr63,attr65,attr71,attr72,attr73,attr77,attr84,attr86,attr88,attr89,attr90,attr91,attr93,attr94,attr95,attr99,attr101,attr102,attr107,attr109,attr111,attr112,attr115,attr117,attr120,attr121,attr122,attr123,attr125,attr126,attr127,attr128,attr130,attr131,attr132,attr135,attr140,attr141,attr142,attr146,attr147,attr148,attr150,attr151,attr153,attr155,attr156,attr158,attr162,attr163,attr164,attr165,attr166,attr167,attr168,attr169,attr174,attr181,attr182,attr184,attr187,attr188,attr191,attr195,attr198,attr199,attr201,attr202,attr203,attr206,attr207,attr208,attr210,attr212,attr213,attr215,attr216,attr217,attr218,attr221,attr224,attr227,attr229,attr230,attr233,attr234,attr237,attr239,attr241,attr242,attr244,attr246,attr247,attr249,attr251,attr254,attr258,attr259,attr261,attr262,attr263,attr264,attr267,attr269,attr271,attr273,attr277,attr279,attr281,attr283,attr284,attr285,attr286,attr287,attr289,attr290,attr294,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.646467,0.666435,0.685047,0.652746,0.555689,0.170217,0.310109,0.508325,0.546262,0.710196,0.607308,0.659741,0.842202,0.000188,0.000205,0.000122,0.196997,0.810969,0.501902,0.174353,0.40135,0.378798,0.057354,0.131084,0.131504,0.09734,0.309297,0.460236,0.427434,0.705878,0.46066,0.104982,0.238395,0.500703,0.3263,0.542055,0.124623,0.136523,0.141344,0.13679,0.23513,0.321427,0.325151,0.016968,0.037147,0.108224,0.080096,0.020604,0.024198,0.29201,0.379561,0.0,0.087497,0.357455,0.447565,0.450967,0.52561,0.372188,0.409451,0.453909,0.330857,0.326674,0.000404,0.00036,0.00058,0.031374,0.002923,0.00398,0.04401,0.012115,0.0435,0.087169,0.1759,0.204866,0.211988,0.052651,0.079962,0.102519,0.176875,0.144418,0.255916,0.111631,0.020486,0.355518,0.008323,0.236838,0.255211,0.29548,0.34692,0.479871,0.194579,0.372685,0.529399,0.495247,0.206835,0.229838,0.391528,0.380569,0.358092,0.178129,0.329844,0.569903,0.519089,0.546453,0.597837,0.485518,0.603675,0.596149,0.578883,0.589159,0.562813,0.58803,0.001898,0.000611,0.001927,0.084242,0.190142,0.083212,0.096029,0.069331,0.136652,0.136285,0.127585,0.252143,0.203095,0.23903,0.090241,0.167601,0.258751,0.47715,0.102568,0.329816,0.061538,0.049615,0.068962,0.354982,0.124074,0.029709,1,0,0,0,1,0
1,0.770156,0.767255,0.761053,0.742231,0.760633,0.439594,0.570696,0.653352,0.636677,0.634007,0.635261,0.656581,0.702769,0.0,0.0,0.016047,0.005941,0.11911,0.015581,0.320434,0.381001,0.251929,0.242238,0.130436,0.19999,0.344527,0.387634,0.226144,0.380476,0.298399,0.449538,0.447431,0.388497,0.308661,0.255651,0.218179,0.231433,0.232627,0.240405,0.234595,0.314664,0.355631,0.343827,0.347126,0.312401,0.309561,0.430432,0.446379,0.462894,0.398868,0.487901,0.380027,0.44083,0.551358,0.459431,0.484877,0.538011,0.497593,0.459808,0.454403,0.432647,0.436461,0.000227,0.000293,0.001758,0.017264,0.000981,0.000401,0.014107,0.06171,0.034444,0.01986,0.028389,0.019469,0.036388,0.076316,0.082108,0.040344,0.115721,0.040751,0.18088,0.104708,0.20987,0.089555,0.045363,0.34909,0.340613,0.33812,0.351561,0.330146,0.382504,0.434112,0.522656,0.520889,0.404511,0.515007,0.526537,0.53016,0.517445,0.4098,0.507928,0.550244,0.592794,0.536769,0.585659,0.629831,0.568729,0.642803,0.526492,0.594002,0.558564,0.638408,0.002222,0.003662,0.013929,0.050018,0.003633,0.138887,0.170231,0.088278,0.097577,0.167246,0.193839,0.072342,0.175488,0.24989,0.073259,0.102932,0.126982,0.354085,0.157326,0.051859,0.114123,0.160008,0.414088,0.303399,0.176387,0.03632,1,0,0,0,0,1
2,0.793984,0.772096,0.76182,0.740569,0.839607,0.754508,0.955915,0.716114,0.75462,0.622198,0.597636,0.620396,0.438471,0.024992,0.009638,0.007935,0.009422,0.005256,0.00488,0.003915,0.003279,0.00368,0.038005,0.00718,0.003349,0.004788,0.32588,0.36308,0.00811,0.099314,0.178453,0.076778,0.2397,0.024332,0.030036,0.094455,0.292222,0.26987,0.262963,0.284239,0.227058,0.200706,0.196783,0.237661,0.222922,0.336406,0.336536,0.332812,0.360144,0.381667,0.308731,0.290569,0.296632,0.453512,0.468436,0.459582,0.373477,0.492167,0.374026,0.381111,0.469266,0.463621,0.002093,0.002476,0.003134,0.002797,0.005026,0.003064,0.003006,0.010364,0.014923,0.011014,0.012962,0.011205,0.011646,0.016765,0.000808,0.026026,0.00849,0.013186,0.002194,0.010829,0.004866,0.000529,0.020113,0.263352,0.248837,0.218901,0.215009,0.202037,0.291286,0.250794,0.217112,0.210089,0.338388,0.337974,0.34323,0.344326,0.356358,0.480978,0.53981,0.605654,0.492452,0.726449,0.6979,0.615651,0.664643,0.727154,0.601505,0.631497,0.627427,0.726349,0.041683,0.032027,0.023922,0.022118,0.013787,0.010121,0.018168,0.082237,0.060296,0.058945,0.052964,0.006149,0.006033,0.213608,0.035184,0.073733,0.080248,0.051372,0.015971,0.028559,0.047596,0.038082,0.079977,0.00346,0.006049,0.083924,1,0,0,0,0,0
3,0.938563,0.94926,0.955621,0.968649,0.959631,0.530428,0.80424,0.753638,0.782931,0.736683,0.620717,0.682563,0.512015,0.00325,0.003583,0.001482,0.000767,0.290435,0.598068,0.00105,0.246481,0.265746,0.000503,0.146605,0.062425,0.058384,0.359016,0.107387,0.078168,0.210717,0.131516,0.126332,0.050244,0.023177,0.067705,0.06215,0.322174,0.318786,0.330617,0.321872,0.326811,0.396756,0.364726,0.343601,0.453237,0.314211,0.314438,0.304492,0.390267,0.450206,0.427284,0.306241,0.298731,0.451022,0.453162,0.470206,0.319266,0.457881,0.337538,0.36954,0.427353,0.428903,0.00139,0.003221,0.001559,0.008383,0.001811,0.002163,0.001752,6.5e-05,5.6e-05,0.000331,0.008323,0.012827,0.021652,0.013176,0.004393,0.004391,0.009091,0.004202,0.003934,0.002442,0.002416,0.000803,0.009534,0.443416,0.44724,0.463779,0.512614,0.526961,0.46558,0.470724,0.492508,0.638922,0.497886,0.491154,0.655193,0.629741,0.556171,0.36214,0.549193,0.623692,0.357555,0.685096,0.709317,0.397388,0.525374,0.641427,0.488873,0.606448,0.662518,0.625089,0.007494,0.01235,0.004585,0.08988,0.006821,0.068354,0.085017,0.000563,0.008393,0.093743,0.105665,0.045153,0.03098,0.024508,0.045848,0.138788,0.032565,0.018757,0.201563,0.043669,0.027527,0.016922,0.024174,0.007694,0.009735,0.090959,1,0,0,0,0,0
4,0.51213,0.524684,0.52002,0.471209,0.588592,0.447526,0.465298,0.574756,0.450048,0.276264,0.354766,0.461353,0.559726,0.007047,0.001822,0.003397,0.005484,0.005336,0.006313,0.004351,0.009197,0.008609,0.258819,0.919451,0.414033,0.381879,0.036676,0.0707,0.303579,0.409871,0.478137,0.088377,0.499655,0.380284,0.300245,0.381694,0.230247,0.229774,0.231722,0.215322,0.216159,0.223498,0.231056,0.324314,0.221379,0.379698,0.384582,0.320144,0.266619,0.165041,0.147894,0.325809,0.386255,0.371022,0.367181,0.319719,0.286859,0.332606,0.246187,0.284616,0.269781,0.293731,0.000626,0.000214,0.000276,0.000164,0.000292,0.000248,0.000438,0.022483,0.020029,0.039663,0.009103,0.001493,0.002547,0.001782,0.023029,0.006539,0.021184,0.020941,0.024467,0.048549,0.053977,0.027979,0.014309,0.016058,0.004115,0.0,0.0,0.0,0.059313,0.044865,0.044664,0.020241,0.273249,0.396448,0.141181,0.125358,0.110149,0.598542,0.497048,0.330225,0.584955,0.62349,0.581455,0.740361,0.770934,0.608886,0.750022,0.806584,0.736883,0.83094,0.007056,0.001369,0.002744,0.001849,0.010916,0.013087,0.007811,0.439771,0.595821,0.20769,0.028206,0.138157,0.044848,0.046537,0.086531,0.1435,0.0746,0.20857,0.413413,0.387559,0.15873,0.023177,0.129994,0.22658,0.218534,0.18429,1,0,0,0,0,0
5,0.824623,0.886845,0.933213,0.971749,0.824065,0.986031,0.532192,0.559662,0.745676,0.768459,0.635593,0.857111,0.527031,0.013772,0.0014,0.000493,3.6e-05,0.0,0.0,5e-05,0.722164,0.0,0.40017,0.500905,0.272976,0.651517,0.176417,0.038538,0.530081,0.178743,0.254858,0.110394,0.138658,0.356693,0.190472,0.212606,0.217853,0.273059,0.293656,0.295933,0.313484,0.34644,0.344012,0.21834,0.334122,0.245075,0.350809,0.304547,0.301598,0.407641,0.32642,0.313477,0.332209,0.345405,0.339513,0.396701,0.332778,0.340734,0.343724,0.355261,0.580226,0.315569,0.001069,0.001143,0.000521,0.000359,0.00159,0.021919,0.000752,0.006749,0.079586,0.00863,0.005208,0.06544,0.04638,0.002335,0.019811,0.091008,0.064053,0.003491,0.005606,0.029937,0.034862,0.002032,0.03322,0.422828,0.460682,0.478294,0.479659,0.478663,0.479491,0.478194,0.490908,0.482387,0.476058,0.436158,0.522309,0.577272,0.486167,0.411433,0.541823,0.517479,0.577999,0.618782,0.568896,0.596954,0.620762,0.599738,0.639627,0.653885,0.666969,0.634427,0.020624,0.006309,0.000419,0.000748,0.091772,0.100336,0.000986,0.200693,0.034588,0.010149,0.07807,0.262977,0.187486,0.103418,0.076456,0.069426,0.120678,0.055912,0.111151,0.037579,0.071117,0.027187,0.086379,0.048032,0.0346,0.090164,1,0,0,0,0,0
6,0.971724,0.972822,0.959227,0.858447,0.979945,0.794935,0.862262,0.672091,0.727681,0.700211,0.692633,0.744932,0.55254,0.00037,0.001515,0.005545,0.010415,0.010949,0.015716,0.000183,0.004871,0.006856,0.00023,0.165524,0.053451,0.180105,0.108251,0.385413,0.035004,0.273047,0.537241,0.483355,0.16201,0.043408,0.044825,0.02179,0.333971,0.31749,0.293409,0.335837,0.306907,0.276468,0.249492,0.320075,0.284506,0.351529,0.341872,0.329102,0.317366,0.248196,0.233848,0.377325,0.37308,0.437791,0.404856,0.338025,0.389966,0.376454,0.380137,0.393834,0.412476,0.417785,0.000496,0.001151,0.001064,0.000398,0.000707,0.00028,0.000328,0.000675,0.000245,0.000964,0.001386,0.00238,0.003889,0.00362,0.004851,0.004303,0.017869,0.003121,0.000317,0.066124,0.04929,0.000612,0.005457,0.497573,0.499016,0.417427,0.345008,0.264895,0.487464,0.49357,0.477445,0.369699,0.496556,0.507459,0.480386,0.444869,0.356817,0.572207,0.499128,0.279835,0.609456,0.480721,0.440475,0.626353,0.647634,0.610619,0.597547,0.630412,0.642959,0.625973,0.000786,0.001071,0.005844,0.01723,0.001451,0.009817,0.01195,0.002015,0.002507,0.005374,0.028211,0.024184,0.015247,0.024712,0.047452,0.133785,0.103651,0.00873,0.007641,0.031668,0.044859,0.044637,0.041734,0.005356,0.006311,0.038599,1,0,0,0,0,0
7,0.879924,0.903021,0.92151,0.938324,0.873859,0.94937,0.630596,0.742063,0.748273,0.787179,0.811058,0.770778,0.71181,0.000847,0.000399,0.000215,0.000103,0.00012,8.2e-05,8.9e-05,0.0,0.0,0.024876,0.286761,0.200976,0.1527,0.101333,0.017771,0.108364,0.881872,0.660097,0.469226,0.027848,0.055794,0.104078,0.57001,0.069472,0.086523,0.106454,0.194252,0.161962,0.172469,0.172071,0.307407,0.213532,0.344163,0.363868,0.322119,0.301001,0.204712,0.187407,0.376989,0.418189,0.385281,0.431845,0.301331,0.346824,0.427099,0.350178,0.312497,0.316934,0.403813,0.000737,0.000679,0.001582,0.001018,0.110056,0.07013,0.001925,0.00272,0.003762,0.025551,0.009812,0.000429,0.000582,0.001243,0.026101,0.033348,0.054134,0.070937,0.00812,0.190194,0.015241,0.008853,0.057507,0.395576,0.414699,0.434112,0.432535,0.431294,0.443438,0.449041,0.45187,0.452932,0.517177,0.47617,0.463958,0.470288,0.466486,0.442174,0.404835,0.366814,0.546598,0.471574,0.490528,0.531725,0.589104,0.542561,0.558362,0.51806,0.46114,0.522846,0.005994,0.004244,0.001545,0.000594,0.007166,0.001175,0.000884,0.010448,0.00892,0.001262,0.001443,0.093378,0.09863,0.063918,0.039473,0.056929,0.126833,0.197811,0.026383,0.158985,0.120622,0.063702,0.009123,0.011505,0.051774,0.052316,1,0,0,0,1,0
8,0.693053,0.713622,0.723593,0.721621,0.775224,0.495086,0.773759,0.800565,0.775461,0.707332,0.675901,0.647769,0.7148,0.003691,0.003076,0.002832,0.003141,0.003224,0.015131,0.04424,0.134235,0.886029,0.021247,0.044959,0.012735,0.024782,0.661244,0.144755,0.056457,0.017182,0.015913,0.003298,0.003562,0.046107,0.028274,0.00782,0.18225,0.18559,0.186481,0.211317,0.236344,0.257874,0.244383,0.365734,0.352695,0.292469,0.34406,0.362647,0.355432,0.302922,0.320535,0.28415,0.308683,0.323299,0.327085,0.309554,0.290796,0.297037,0.280501,0.297572,0.289767,0.290953,0.000301,0.000365,0.000192,0.000531,0.000214,0.006526,0.013484,0.000675,0.01919,0.004096,0.010726,0.005291,0.013055,0.013703,0.013199,0.011244,0.001259,0.001376,0.001292,0.000967,0.000273,0.001263,0.000197,0.177492,0.180936,0.18306,0.178218,0.230173,0.551116,0.455459,0.472983,0.581578,0.636205,0.82593,0.768876,0.647175,0.570921,0.601337,0.788234,0.611469,0.674573,0.67455,0.664352,0.538122,0.592347,0.704006,0.506027,0.615372,0.685644,0.682479,0.00151,0.000881,0.001147,0.001361,0.199063,0.961738,0.514054,0.722206,0.023557,0.026709,0.026183,0.245131,0.038227,0.038742,0.223048,0.045627,0.057696,0.041477,0.005034,0.036212,0.008382,0.002519,0.001543,0.008899,0.015161,0.001602,1,0,0,0,0,0
9,0.563258,0.617686,0.651829,0.690168,0.774726,0.733002,0.438474,0.716394,0.311235,0.170871,0.078646,0.438487,0.64553,0.023414,0.015091,0.014728,0.013538,0.014215,0.016188,0.064344,0.10349,0.081565,0.20943,0.031013,0.05334,0.019774,0.00629,0.000969,0.024082,0.01084,0.011849,0.002566,0.002143,0.021853,0.007563,0.026907,0.337675,0.294012,0.28144,0.309451,0.317092,0.336907,0.338285,0.333491,0.354582,0.379877,0.332565,0.293663,0.294362,0.32618,0.336241,0.337154,0.346139,0.297647,0.301996,0.336886,0.350658,0.335096,0.263724,0.391008,0.346591,0.350055,0.006146,0.001134,0.001248,0.000922,0.00108,0.004979,0.00793,0.020123,0.015082,0.00774,0.004625,0.004992,0.011751,0.008225,0.001465,0.001054,0.001496,0.000525,0.001848,0.001695,0.000603,0.002814,0.000226,0.014638,0.019715,0.026615,0.029377,0.028136,0.295044,0.318684,0.385422,0.374642,0.552603,0.579979,0.631016,0.624005,0.637223,0.170446,0.418143,0.573895,0.416488,0.446849,0.505558,0.494733,0.528773,0.610608,0.47532,0.620382,0.624497,0.618581,0.012438,0.011256,0.009089,0.007726,0.831258,1.0,0.993722,0.402235,0.312756,0.241315,0.126664,0.019035,0.004935,0.032971,0.002302,0.004167,0.071594,0.092649,0.017026,0.02046,0.029595,0.015294,0.002416,0.014646,0.007865,0.002013,1,0,0,0,0,0
