,attr2,attr5,attr7,attr8,attr9,attr14,attr26,attr28,attr29,attr30,attr31,attr32,attr35,attr41,attr43,attr44,attr46,attr47,attr49,attr51,attr52,attr54,attr55,attr57,attr60,attr61,attr64,attr78,attr79,attr80,attr81,attr82,attr85,attr88,attr91,attr94,attr98,attr99,attr100,attr103,attr105,attr110,attr114,attr117,attr120,attr121,attr122,attr123,attr127,attr128,attr133,attr135,attr136,attr137,attr139,attr140,attr141,attr149,attr150,attr151,attr153,attr154,attr155,attr156,attr159,attr160,attr165,attr169,attr171,attr172,attr179,attr181,attr186,attr194,attr196,attr197,attr199,attr200,attr203,attr213,attr214,attr215,attr218,attr219,attr222,attr223,attr228,attr229,attr234,attr246,attr247,attr250,attr252,attr259,attr260,attr263,attr264,attr269,attr272,attr276,attr281,attr282,attr284,attr289,attr290,attr293,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.666435,0.652746,0.150309,0.535193,0.555689,0.170217,0.508325,0.567068,0.546262,0.566969,0.612951,0.621101,0.574777,0.800611,0.607308,0.589019,0.692727,0.796168,0.842202,8.3e-05,0.000205,0.196997,0.810969,0.177714,0.174353,0.298569,0.021573,0.052807,0.127081,0.118791,0.22216,0.236605,0.081963,0.705878,0.238395,0.3263,0.031487,0.124623,0.13275,0.170082,0.256125,0.280034,0.003649,0.037147,0.108224,0.080096,0.020604,0.024198,0.0,0.087497,0.477202,0.52561,0.546694,0.520857,0.352682,0.372188,0.409451,0.000709,0.00036,0.00058,0.031374,0.028827,0.002923,0.00398,0.028383,0.012518,0.1759,0.079962,0.042137,0.034319,0.302307,0.176875,0.188077,0.075619,0.00649,0.212997,0.255211,0.264951,0.479871,0.229838,0.364846,0.391528,0.178129,0.277878,0.438987,0.512927,0.537507,0.546453,0.603675,0.001898,0.000611,0.040129,0.15908,0.096029,0.02693,0.136285,0.127585,0.203095,0.309251,0.072274,0.47715,0.224848,0.329816,0.354982,0.124074,0.014025,1,0,0,0,1,0
1,0.767255,0.742231,0.708416,0.757351,0.760633,0.439594,0.653352,0.473784,0.636677,0.653249,0.621813,0.61389,0.692224,0.620887,0.635261,0.67848,0.745513,0.733633,0.702769,0.0,0.0,0.005941,0.11911,0.022979,0.320434,0.220949,0.224343,0.192027,0.297579,0.408266,0.407936,0.366136,0.278829,0.298399,0.388497,0.255651,0.197233,0.231433,0.23225,0.226447,0.220521,0.341235,0.282881,0.312401,0.309561,0.430432,0.446379,0.462894,0.380027,0.44083,0.449931,0.538011,0.532003,0.48952,0.51799,0.497593,0.459808,0.000246,0.000293,0.001758,0.017264,0.003566,0.000981,0.000401,0.039419,0.034294,0.028389,0.082108,0.165834,0.285257,0.216372,0.115721,0.099932,0.021844,0.052414,0.3594,0.340613,0.342615,0.330146,0.515007,0.472178,0.526537,0.4098,0.520744,0.559458,0.573269,0.580828,0.536769,0.568729,0.002222,0.003662,0.003873,0.015733,0.170231,0.070917,0.167246,0.193839,0.175488,0.085085,0.138334,0.354085,0.199359,0.051859,0.303399,0.176387,0.082672,1,0,0,0,0,1
2,0.772096,0.740569,0.722677,0.849128,0.839607,0.754508,0.716114,0.402155,0.75462,0.775176,0.723823,0.676656,0.4179,0.566771,0.597636,0.636432,0.558789,0.633658,0.438471,0.020511,0.009638,0.009422,0.005256,0.028062,0.003915,0.003488,0.029472,0.093208,0.063083,0.137146,0.232278,0.19659,0.030802,0.099314,0.2397,0.030036,0.208049,0.292222,0.278628,0.248731,0.227119,0.208608,0.250027,0.222922,0.336406,0.336536,0.332812,0.360144,0.290569,0.296632,0.45011,0.373477,0.417373,0.438525,0.477997,0.492167,0.374026,0.002627,0.002476,0.003134,0.002797,0.00197,0.005026,0.003064,0.002095,0.002545,0.012962,0.000808,0.00124,0.015498,0.00875,0.00849,0.004406,0.009633,0.018549,0.296934,0.248837,0.24707,0.202037,0.337974,0.341318,0.34323,0.480978,0.480028,0.607935,0.624508,0.721473,0.726449,0.664643,0.041683,0.032027,0.03784,0.020369,0.018168,0.064507,0.058945,0.052964,0.006033,0.122532,0.353377,0.051372,0.024035,0.028559,0.00346,0.006049,0.112506,1,0,0,0,0,0
3,0.94926,0.968649,0.696925,0.95346,0.959631,0.530428,0.753638,0.520342,0.782931,0.774347,0.750613,0.706845,0.645833,0.716752,0.620717,0.674617,0.663321,0.638804,0.512015,0.00472,0.003583,0.000767,0.290435,0.002419,0.00105,0.205989,0.0009,0.053407,0.034293,0.046915,0.116559,0.243134,0.027827,0.210717,0.050244,0.067705,0.421707,0.322174,0.320727,0.332167,0.359369,0.33417,0.345864,0.453237,0.314211,0.314438,0.304492,0.390267,0.306241,0.298731,0.45465,0.319266,0.363416,0.424554,0.439362,0.457881,0.337538,0.003436,0.003221,0.001559,0.008383,0.00528,0.001811,0.002163,0.002613,0.032487,0.008323,0.004393,0.003188,0.035269,0.013219,0.009091,0.002452,0.001249,0.011834,0.436281,0.44724,0.460637,0.526961,0.491154,0.50728,0.655193,0.36214,0.366613,0.719147,0.682088,0.682434,0.685096,0.525374,0.007494,0.01235,0.00252,0.032423,0.085017,0.000906,0.093743,0.105665,0.03098,0.024751,0.209978,0.018757,0.082271,0.043669,0.007694,0.009735,0.04978,1,0,0,0,0,0
4,0.524684,0.471209,0.364292,0.562266,0.588592,0.447526,0.574756,0.445292,0.450048,0.742275,0.784539,0.903786,0.657113,0.916742,0.354766,0.42298,0.459486,0.448555,0.559726,0.001654,0.001822,0.005484,0.005336,0.002592,0.004351,0.006791,0.293329,0.3855,0.40311,0.389298,0.044535,0.150744,0.405249,0.409871,0.499655,0.300245,0.495915,0.230247,0.22904,0.237305,0.229863,0.218038,0.263457,0.221379,0.379698,0.384582,0.320144,0.266619,0.325809,0.386255,0.280926,0.286859,0.279904,0.369636,0.372373,0.332606,0.246187,0.000144,0.000214,0.000276,0.000164,0.000444,0.000292,0.000248,0.000408,0.000465,0.009103,0.023029,0.023964,0.018709,0.02932,0.021184,0.198196,0.018212,0.030537,0.028538,0.004115,0.0,0.0,0.396448,0.182736,0.141181,0.598542,0.618592,0.458311,0.393485,0.604435,0.62349,0.770934,0.007056,0.001369,0.003992,0.001522,0.007811,0.381498,0.20769,0.028206,0.044848,0.090652,0.094467,0.20857,0.188324,0.387559,0.22658,0.218534,0.16427,1,0,0,0,0,0
5,0.886845,0.971749,0.978737,0.867018,0.824065,0.986031,0.559662,0.907959,0.745676,0.74103,0.30522,0.755472,0.860151,0.477832,0.635593,0.749084,0.802736,0.823096,0.527031,0.028791,0.0014,3.6e-05,0.0,0.008019,5e-05,0.277242,0.359073,0.420903,0.365801,0.587337,0.345937,0.6988,0.376004,0.178743,0.138658,0.190472,0.492173,0.217853,0.243491,0.309136,0.331838,0.33251,0.302586,0.334122,0.245075,0.350809,0.304547,0.301598,0.313477,0.332209,0.305802,0.332778,0.348738,0.345679,0.556433,0.340734,0.343724,0.001446,0.001143,0.000521,0.000359,0.000373,0.00159,0.021919,0.000886,0.002695,0.005208,0.019811,0.026254,0.00974,0.003505,0.064053,0.001977,0.0292,0.023731,0.368223,0.460682,0.478294,0.478663,0.436158,0.455415,0.522309,0.411433,0.540336,0.553487,0.550814,0.622428,0.618782,0.620762,0.020624,0.006309,0.000267,0.000117,0.000986,0.062493,0.010149,0.07807,0.187486,0.16682,0.10169,0.055912,0.084101,0.037579,0.048032,0.0346,0.071401,1,0,0,0,0,0
6,0.972822,0.858447,0.698015,0.975738,0.979945,0.794935,0.672091,0.424645,0.727681,0.821362,0.877262,0.581717,0.394373,0.591437,0.692633,0.7256,0.754131,0.734175,0.55254,0.000744,0.001515,0.010415,0.010949,0.0,0.000183,0.003541,0.002149,0.023105,0.063248,0.019219,0.616026,0.506569,0.069191,0.273047,0.16201,0.044825,0.338231,0.333971,0.338807,0.275549,0.230576,0.288464,0.340521,0.284506,0.351529,0.341872,0.329102,0.317366,0.377325,0.37308,0.297757,0.389966,0.402147,0.428635,0.44192,0.376454,0.380137,0.00071,0.001151,0.001064,0.000398,0.001758,0.000707,0.00028,0.000462,0.000447,0.001386,0.004851,0.004917,0.018394,0.091675,0.017869,0.032732,0.001248,0.011999,0.500391,0.499016,0.478909,0.264895,0.507459,0.488896,0.480386,0.572207,0.540347,0.438685,0.382436,0.535639,0.480721,0.647634,0.000786,0.001071,0.015752,0.022717,0.01195,0.001192,0.005374,0.028211,0.015247,0.028581,0.024723,0.00873,0.00655,0.031668,0.005356,0.006311,0.02978,1,0,0,0,0,0
7,0.903021,0.938324,0.932117,0.776896,0.873859,0.94937,0.742063,0.815724,0.748273,0.794099,0.837846,0.815628,0.812649,0.735555,0.811058,0.814521,0.509969,0.392251,0.71181,0.000568,0.000399,0.000103,0.00012,0.062234,8.9e-05,0.0,0.052469,0.174962,0.170249,0.058136,0.134294,1.0,0.12195,0.881872,0.027848,0.104078,0.150228,0.069472,0.080158,0.116337,0.114403,0.170405,0.379143,0.213532,0.344163,0.363868,0.322119,0.301001,0.376989,0.418189,0.290302,0.346824,0.390082,0.39987,0.387572,0.427099,0.350178,0.000625,0.000679,0.001582,0.001018,0.001543,0.110056,0.07013,0.001578,0.001641,0.009812,0.026101,0.056972,0.034806,0.025622,0.054134,0.016955,0.092985,0.039694,0.356962,0.414699,0.425982,0.431294,0.47617,0.459329,0.463958,0.442174,0.461834,0.39788,0.425702,0.570138,0.471574,0.589104,0.005994,0.004244,0.000192,0.000864,0.000884,0.015975,0.001262,0.001443,0.09863,0.141886,0.14701,0.197811,0.113462,0.158985,0.011505,0.051774,0.083478,1,0,0,0,1,0
8,0.713622,0.721621,0.679885,0.756848,0.775224,0.495086,0.800565,0.552166,0.775461,0.728756,0.781232,0.742045,0.758152,0.77843,0.675901,0.660087,0.742791,0.7614,0.7148,0.003414,0.003076,0.003141,0.003224,0.002474,0.04424,0.026063,0.00315,0.083856,0.048348,0.025221,0.139037,0.110691,0.051564,0.017182,0.003562,0.028274,0.00263,0.18225,0.184691,0.186934,0.185617,0.228834,0.319609,0.352695,0.292469,0.34406,0.362647,0.355432,0.28415,0.308683,0.309266,0.290796,0.30941,0.32035,0.297421,0.297037,0.280501,0.000384,0.000365,0.000192,0.000531,0.001918,0.000214,0.006526,0.007149,0.026843,0.010726,0.013199,0.001673,0.000481,0.000972,0.001259,0.000479,0.000346,0.000227,0.179952,0.180936,0.177984,0.230173,0.82593,0.790202,0.768876,0.601337,0.781703,0.786959,0.585301,0.670033,0.67455,0.592347,0.00151,0.000881,0.001562,0.390059,0.514054,0.018233,0.026709,0.026183,0.038227,0.148276,0.004924,0.041477,0.025413,0.036212,0.008899,0.015161,0.001531,1,0,0,0,0,0
9,0.617686,0.690168,0.667863,0.706657,0.774726,0.733002,0.716394,0.70527,0.311235,0.451102,0.542622,0.613692,0.682163,0.68874,0.078646,0.337504,0.538002,0.632587,0.64553,0.017044,0.015091,0.013538,0.014215,0.012208,0.064344,0.082635,0.047857,0.070482,0.030394,0.017807,0.012015,0.005708,0.07751,0.01084,0.002143,0.007563,0.003384,0.337675,0.306605,0.282305,0.274973,0.336097,0.352503,0.354582,0.379877,0.332565,0.293663,0.294362,0.337154,0.346139,0.334623,0.350658,0.355672,0.353827,0.344177,0.335096,0.263724,0.002555,0.001134,0.001248,0.000922,0.001553,0.00108,0.004979,0.012678,0.012133,0.004625,0.001465,0.000999,0.000623,0.000826,0.001496,0.002851,0.002931,0.000301,0.003724,0.019715,0.021303,0.028136,0.579979,0.605072,0.631016,0.170446,0.319679,0.43466,0.475085,0.456253,0.446849,0.528773,0.012438,0.011256,0.005784,0.007761,0.993722,0.372429,0.241315,0.126664,0.004935,0.056322,0.007344,0.092649,0.038155,0.02046,0.014646,0.007865,0.002724,1,0,0,0,0,0
