,attr1,attr2,attr3,attr4,attr6,attr7,attr8,attr9,attr13,attr14,attr21,attr23,attr27,attr31,attr34,attr35,attr36,attr38,attr39,attr43,attr44,attr45,attr49,attr50,attr51,attr52,attr53,attr55,attr56,attr58,attr63,attr64,attr65,attr66,attr71,attr76,attr81,attr82,attr85,attr86,attr91,attr94,attr96,attr98,attr101,attr103,attr107,attr108,attr113,attr114,attr117,attr118,attr119,attr123,attr124,attr125,attr126,attr135,attr136,attr138,attr140,attr141,attr144,attr147,attr148,attr149,attr153,attr155,attr156,attr158,attr159,attr161,attr163,attr164,attr166,attr167,attr169,attr170,attr171,attr173,attr175,attr178,attr179,attr181,attr182,attr185,attr193,attr195,attr196,attr197,attr200,attr204,attr208,attr209,attr210,attr211,attr214,attr218,attr221,attr222,attr223,attr224,attr226,attr229,attr230,attr231,attr232,attr235,attr237,attr238,attr239,attr241,attr246,attr247,attr248,attr249,attr250,attr254,attr256,attr257,attr258,attr260,attr262,attr263,attr264,attr265,attr266,attr267,attr268,attr271,attr273,attr275,attr278,attr279,attr282,attr286,attr290,attr291,attr293,attr294,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.646467,0.666435,0.685047,0.699053,0.407864,0.150309,0.535193,0.555689,0.242458,0.170217,0.255987,0.375018,0.467347,0.612951,0.694546,0.574777,0.710196,0.59045,0.508313,0.607308,0.589019,0.659741,0.842202,0.000188,8.3e-05,0.000205,0.000122,0.810969,0.501902,0.19772,0.378798,0.021573,0.057354,0.102771,0.131084,0.389289,0.22216,0.236605,0.081963,0.427434,0.238395,0.3263,0.194235,0.031487,0.136523,0.170082,0.13679,0.146722,0.011811,0.003649,0.037147,0.105021,0.264698,0.024198,0.072339,0.29201,0.379561,0.52561,0.546694,0.448004,0.372188,0.409451,0.390336,0.326674,0.000404,0.000709,0.031374,0.002923,0.00398,0.04401,0.028383,0.011999,0.0435,0.087169,0.204866,0.211988,0.079962,0.072072,0.042137,0.114163,0.067789,0.187112,0.302307,0.176875,0.144418,0.192111,0.106168,0.008323,0.00649,0.212997,0.264951,0.126163,0.529399,0.501197,0.495247,0.175233,0.364846,0.178129,0.329844,0.438987,0.512927,0.569903,0.499351,0.546453,0.597837,0.530216,0.331432,0.51409,0.596149,0.583031,0.578883,0.589159,0.001898,0.000611,0.001762,0.001927,0.040129,0.190142,0.41237,0.204738,0.083212,0.02693,0.136652,0.136285,0.127585,0.249868,0.545665,0.252143,0.261571,0.23903,0.090241,0.085062,0.094636,0.258751,0.224848,0.049615,0.124074,0.157332,0.014025,0.029709,1,0,0,0,1,0
1,0.770156,0.767255,0.761053,0.74563,0.688086,0.708416,0.757351,0.760633,0.54234,0.439594,0.209851,0.599071,0.559962,0.621813,0.596297,0.692224,0.634007,0.594992,0.65047,0.635261,0.67848,0.656581,0.702769,0.0,0.0,0.0,0.016047,0.11911,0.015581,0.011133,0.251929,0.224343,0.242238,0.288524,0.130436,0.292891,0.407936,0.366136,0.278829,0.380476,0.388497,0.255651,0.220413,0.197233,0.232627,0.226447,0.234595,0.239492,0.337209,0.282881,0.312401,0.349897,0.373025,0.462894,0.393443,0.398868,0.487901,0.538011,0.532003,0.484739,0.497593,0.459808,0.438059,0.436461,0.000227,0.000246,0.017264,0.000981,0.000401,0.014107,0.039419,0.061298,0.034444,0.01986,0.019469,0.036388,0.082108,0.08107,0.165834,0.094584,0.132913,0.163514,0.216372,0.115721,0.040751,0.184301,0.076152,0.045363,0.052414,0.3594,0.342615,0.389045,0.522656,0.549864,0.520889,0.437265,0.472178,0.4098,0.507928,0.559458,0.573269,0.550244,0.587281,0.536769,0.585659,0.634069,0.600465,0.657105,0.642803,0.555567,0.526492,0.594002,0.002222,0.003662,0.002397,0.013929,0.003873,0.003633,0.159426,0.13157,0.138887,0.070917,0.097577,0.167246,0.193839,0.283507,0.190554,0.072342,0.111906,0.24989,0.073259,0.090761,0.406639,0.126982,0.199359,0.160008,0.176387,0.251454,0.082672,0.03632,1,0,0,0,0,1
2,0.793984,0.772096,0.76182,0.762213,0.734361,0.722677,0.849128,0.839607,0.751835,0.754508,0.872483,0.966291,0.479571,0.723823,0.552341,0.4179,0.622198,0.648123,0.680452,0.597636,0.636432,0.620396,0.438471,0.024992,0.020511,0.009638,0.007935,0.005256,0.00488,0.011574,0.00368,0.029472,0.038005,0.027915,0.00718,0.524229,0.232278,0.19659,0.030802,0.00811,0.2397,0.030036,0.229588,0.208049,0.26987,0.248731,0.284239,0.258635,0.260247,0.250027,0.222922,0.215652,0.224657,0.360144,0.388621,0.381667,0.308731,0.373477,0.417373,0.463354,0.492167,0.374026,0.417298,0.463621,0.002093,0.002627,0.002797,0.005026,0.003064,0.003006,0.002095,0.005044,0.014923,0.011014,0.011205,0.011646,0.000808,0.000747,0.00124,0.023009,0.023752,0.034395,0.00875,0.00849,0.013186,0.003948,0.001083,0.020113,0.018549,0.296934,0.24707,0.345131,0.217112,0.204274,0.210089,0.342984,0.341318,0.480978,0.53981,0.607935,0.624508,0.605654,0.38975,0.726449,0.6979,0.627013,0.551206,0.701467,0.727154,0.698761,0.601505,0.631497,0.041683,0.032027,0.016284,0.023922,0.03784,0.013787,0.013867,0.00913,0.010121,0.064507,0.060296,0.058945,0.052964,0.062245,0.075563,0.006149,0.004046,0.213608,0.035184,0.027821,0.048943,0.080248,0.024035,0.038082,0.006049,0.017166,0.112506,0.083924,1,0,0,0,0,0
3,0.938563,0.94926,0.955621,0.966743,0.869619,0.696925,0.95346,0.959631,0.622508,0.530428,0.360757,0.827367,0.696435,0.750613,0.647101,0.645833,0.736683,0.643989,0.705878,0.620717,0.674617,0.682563,0.512015,0.00325,0.00472,0.003583,0.001482,0.290435,0.598068,0.002292,0.265746,0.0009,0.000503,0.00676,0.146605,0.194386,0.116559,0.243134,0.027827,0.078168,0.050244,0.067705,0.068329,0.421707,0.318786,0.332167,0.321872,0.321763,0.34572,0.345864,0.453237,0.425521,0.38989,0.390267,0.461914,0.450206,0.427284,0.319266,0.363416,0.433491,0.457881,0.337538,0.418368,0.428903,0.00139,0.003436,0.008383,0.001811,0.002163,0.001752,0.002613,0.03926,5.6e-05,0.000331,0.012827,0.021652,0.004393,0.002705,0.003188,0.002946,0.009431,0.014552,0.013219,0.009091,0.004202,0.015973,0.001719,0.009534,0.011834,0.436281,0.460637,0.455907,0.492508,0.683698,0.638922,0.496332,0.50728,0.36214,0.549193,0.719147,0.682088,0.623692,0.326624,0.685096,0.709317,0.693281,0.330571,0.676317,0.641427,0.689379,0.488873,0.606448,0.007494,0.01235,0.009885,0.004585,0.00252,0.006821,0.003958,0.030881,0.068354,0.000906,0.008393,0.093743,0.105665,0.060825,0.025972,0.045153,0.0399,0.024508,0.045848,0.015197,0.031173,0.032565,0.082271,0.016922,0.009735,0.019267,0.04978,0.090959,1,0,0,0,0,0
4,0.51213,0.524684,0.52002,0.504467,0.417654,0.364292,0.562266,0.588592,0.503925,0.447526,0.510786,0.62658,0.519651,0.784539,0.766266,0.657113,0.276264,0.610411,0.698119,0.354766,0.42298,0.461353,0.559726,0.007047,0.001654,0.001822,0.003397,0.005336,0.006313,0.003346,0.008609,0.293329,0.258819,0.229681,0.919451,0.057879,0.044535,0.150744,0.405249,0.303579,0.499655,0.300245,0.38171,0.495915,0.229774,0.237305,0.215322,0.215933,0.260123,0.263457,0.221379,0.223484,0.224746,0.266619,0.20284,0.165041,0.147894,0.286859,0.279904,0.358697,0.332606,0.246187,0.267531,0.293731,0.000626,0.000144,0.000164,0.000292,0.000248,0.000438,0.000408,0.000279,0.020029,0.039663,0.001493,0.002547,0.023029,0.039627,0.023964,0.011583,0.004952,0.516855,0.02932,0.021184,0.020941,0.024693,0.025554,0.014309,0.030537,0.028538,0.0,0.090546,0.044664,0.033168,0.020241,0.273081,0.182736,0.598542,0.497048,0.458311,0.393485,0.330225,0.642792,0.62349,0.581455,0.531412,0.643172,0.752382,0.608886,0.565586,0.750022,0.806584,0.007056,0.001369,0.001182,0.002744,0.003992,0.010916,0.00734,0.010177,0.013087,0.381498,0.595821,0.20769,0.028206,0.010644,0.010589,0.138157,0.094097,0.046537,0.086531,0.22177,0.186763,0.0746,0.188324,0.023177,0.218534,0.198151,0.16427,0.18429,1,0,0,0,0,0
5,0.824623,0.886845,0.933213,0.95865,0.978218,0.978737,0.867018,0.824065,0.811056,0.986031,0.942952,0.687502,0.594875,0.30522,0.690685,0.860151,0.768459,0.622364,0.852566,0.635593,0.749084,0.857111,0.527031,0.013772,0.028791,0.0014,0.000493,0.0,0.0,0.318959,0.0,0.359073,0.40017,0.245735,0.500905,0.890532,0.345937,0.6988,0.376004,0.530081,0.138658,0.190472,0.222042,0.492173,0.273059,0.309136,0.295933,0.295905,0.184225,0.302586,0.334122,0.431639,0.304438,0.301598,0.320178,0.407641,0.32642,0.332778,0.348738,0.388848,0.340734,0.343724,0.359307,0.315569,0.001069,0.001446,0.000359,0.00159,0.021919,0.000752,0.000886,0.000166,0.079586,0.00863,0.06544,0.04638,0.019811,0.076666,0.026254,0.039594,0.007445,0.035676,0.003505,0.064053,0.003491,0.007973,0.001473,0.03322,0.023731,0.368223,0.478294,0.412015,0.490908,0.531647,0.482387,0.348352,0.455415,0.411433,0.541823,0.553487,0.550814,0.517479,0.60571,0.618782,0.568896,0.448504,0.656927,0.640376,0.599738,0.480587,0.639627,0.653885,0.020624,0.006309,0.002318,0.000419,0.000267,0.091772,0.00029,0.010173,0.100336,0.062493,0.034588,0.010149,0.07807,0.197288,0.011099,0.262977,0.224116,0.103418,0.076456,0.034268,0.068961,0.120678,0.084101,0.027187,0.0346,0.039862,0.071401,0.090164,1,0,0,0,0,0
6,0.971724,0.972822,0.959227,0.927736,0.780253,0.698015,0.975738,0.979945,0.862783,0.794935,0.684712,0.948911,0.551408,0.877262,0.404404,0.394373,0.700211,0.762474,0.713859,0.692633,0.7256,0.744932,0.55254,0.00037,0.000744,0.001515,0.005545,0.010949,0.015716,0.0,0.006856,0.002149,0.00023,0.098424,0.165524,0.131564,0.616026,0.506569,0.069191,0.035004,0.16201,0.044825,0.039947,0.338231,0.31749,0.275549,0.335837,0.323676,0.326927,0.340521,0.284506,0.266907,0.258224,0.317366,0.283868,0.248196,0.233848,0.389966,0.402147,0.465802,0.376454,0.380137,0.400638,0.417785,0.000496,0.00071,0.000398,0.000707,0.00028,0.000328,0.000462,0.000765,0.000245,0.000964,0.00238,0.003889,0.004851,0.001001,0.004917,0.008127,0.003196,0.002982,0.091675,0.017869,0.003121,0.000678,0.000367,0.005457,0.011999,0.500391,0.478909,0.492396,0.477445,0.426049,0.369699,0.505368,0.488896,0.572207,0.499128,0.438685,0.382436,0.279835,0.625514,0.480721,0.440475,0.410293,0.609288,0.641517,0.610619,0.585436,0.597547,0.630412,0.000786,0.001071,0.002229,0.005844,0.015752,0.001451,0.001335,0.005198,0.009817,0.001192,0.002507,0.005374,0.028211,0.053681,0.147645,0.024184,0.016763,0.024712,0.047452,0.006708,0.068861,0.103651,0.00655,0.044637,0.006311,0.005127,0.02978,0.038599,1,0,0,0,0,0
7,0.879924,0.903021,0.92151,0.933874,0.937413,0.932117,0.776896,0.873859,0.953897,0.94937,0.951708,0.692201,0.835853,0.837846,0.816615,0.812649,0.787179,0.842671,0.65261,0.811058,0.814521,0.770778,0.71181,0.000847,0.000568,0.000399,0.000215,0.00012,8.2e-05,0.055124,0.0,0.052469,0.024876,0.055302,0.286761,0.137302,0.134294,1.0,0.12195,0.108364,0.027848,0.104078,1.0,0.150228,0.086523,0.116337,0.194252,0.143951,0.411214,0.379143,0.213532,0.214081,0.220953,0.301001,0.25286,0.204712,0.187407,0.346824,0.390082,0.372099,0.427099,0.350178,0.382682,0.403813,0.000737,0.000625,0.001018,0.110056,0.07013,0.001925,0.001578,0.001643,0.003762,0.025551,0.000429,0.000582,0.026101,0.044363,0.056972,0.015248,0.0064,0.031309,0.025622,0.054134,0.070937,0.008301,0.020325,0.057507,0.039694,0.356962,0.425982,0.432076,0.45187,0.451266,0.452932,0.529679,0.459329,0.442174,0.404835,0.39788,0.425702,0.366814,0.582081,0.471574,0.490528,0.481526,0.489645,0.538088,0.542561,0.606638,0.558362,0.51806,0.005994,0.004244,0.001506,0.001545,0.000192,0.007166,0.001447,0.001078,0.001175,0.015975,0.00892,0.001262,0.001443,0.001601,0.001704,0.093378,0.063598,0.063918,0.039473,0.053947,0.085846,0.126833,0.113462,0.063702,0.051774,0.107653,0.083478,0.052316,1,0,0,0,1,0
8,0.693053,0.713622,0.723593,0.726326,0.708818,0.679885,0.756848,0.775224,0.685148,0.495086,0.491489,0.836022,0.676447,0.781232,0.794549,0.758152,0.707332,0.650516,0.649616,0.675901,0.660087,0.647769,0.7148,0.003691,0.003414,0.003076,0.002832,0.003224,0.015131,0.004565,0.886029,0.00315,0.021247,0.04499,0.044959,0.47159,0.139037,0.110691,0.051564,0.056457,0.003562,0.028274,0.000234,0.00263,0.18559,0.186934,0.211317,0.25679,0.21142,0.319609,0.352695,0.331776,0.265316,0.355432,0.359945,0.302922,0.320535,0.290796,0.30941,0.3019,0.297037,0.280501,0.29561,0.290953,0.000301,0.000384,0.000531,0.000214,0.006526,0.013484,0.007149,0.026442,0.01919,0.004096,0.005291,0.013055,0.013199,0.000987,0.001673,0.001592,0.013353,0.000832,0.000972,0.001259,0.001376,0.000979,0.000403,0.000197,0.000227,0.179952,0.177984,0.191459,0.472983,0.533514,0.581578,0.246422,0.790202,0.601337,0.788234,0.786959,0.585301,0.611469,0.618816,0.67455,0.664352,0.674875,0.43239,0.61677,0.704006,0.682691,0.506027,0.615372,0.00151,0.000881,0.001923,0.001147,0.001562,0.199063,0.95385,0.987303,0.961738,0.018233,0.023557,0.026709,0.026183,0.160402,0.258548,0.245131,0.036113,0.038742,0.223048,0.036865,0.030935,0.057696,0.025413,0.002519,0.015161,0.004409,0.001531,0.001602,1,0,0,0,0,0
9,0.563258,0.617686,0.651829,0.676059,0.691312,0.667863,0.706657,0.774726,0.793005,0.733002,0.734391,0.53971,0.719919,0.542622,0.677802,0.682163,0.170871,0.459874,0.536164,0.078646,0.337504,0.438487,0.64553,0.023414,0.017044,0.015091,0.014728,0.014215,0.016188,0.060437,0.081565,0.047857,0.20943,0.13122,0.031013,0.004661,0.012015,0.005708,0.07751,0.024082,0.002143,0.007563,0.010606,0.003384,0.294012,0.282305,0.309451,0.314664,0.389705,0.352503,0.354582,0.375446,0.37107,0.294362,0.301674,0.32618,0.336241,0.350658,0.355672,0.354184,0.335096,0.263724,0.401125,0.350055,0.006146,0.002555,0.000922,0.00108,0.004979,0.00793,0.012678,0.019806,0.015082,0.00774,0.004992,0.011751,0.001465,0.002206,0.000999,0.001091,0.000354,0.00163,0.000826,0.001496,0.000525,0.001544,0.001436,0.000226,0.000301,0.003724,0.021303,0.136384,0.385422,0.43362,0.374642,0.437086,0.605072,0.170446,0.418143,0.43466,0.475085,0.573895,0.360239,0.446849,0.505558,0.586286,0.298857,0.535773,0.610608,0.598956,0.47532,0.620382,0.012438,0.011256,0.009365,0.009089,0.005784,0.831258,1.0,1.0,1.0,0.372429,0.312756,0.241315,0.126664,0.030122,0.05837,0.019035,0.076218,0.032971,0.002302,0.035857,0.003001,0.071594,0.038155,0.015294,0.007865,0.00796,0.002724,0.002013,1,0,0,0,0,0
