,attr1,attr3,attr5,attr8,attr9,attr13,attr22,attr26,attr30,attr31,attr33,attr34,attr38,attr41,attr42,attr43,attr44,attr45,attr49,attr51,attr53,attr56,attr57,attr59,attr60,attr61,attr66,attr70,attr71,attr72,attr76,attr77,attr78,attr79,attr80,attr81,attr84,attr86,attr87,attr89,attr90,attr93,attr101,attr102,attr103,attr105,attr106,attr110,attr113,attr114,attr116,attr117,attr118,attr121,attr122,attr124,attr127,attr128,attr129,attr130,attr131,attr133,attr134,attr135,attr137,attr142,attr143,attr155,attr156,attr160,attr167,attr172,attr173,attr174,attr175,attr176,attr178,attr181,attr182,attr184,attr185,attr191,attr193,attr197,attr200,attr202,attr204,attr205,attr212,attr213,attr214,attr216,attr217,attr218,attr219,attr222,attr223,attr226,attr228,attr230,attr231,attr233,attr237,attr238,attr239,attr240,attr244,attr248,attr250,attr254,attr256,attr268,attr269,attr270,attr272,attr273,attr274,attr275,attr278,attr279,attr280,attr283,attr284,attr285,attr288,attr289,attr291,attr294,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.646467,0.685047,0.652746,0.535193,0.555689,0.242458,0.310109,0.508325,0.566969,0.612951,0.653561,0.694546,0.59045,0.800611,0.741071,0.607308,0.589019,0.659741,0.842202,8.3e-05,0.000122,0.501902,0.177714,0.190142,0.174353,0.298569,0.102771,0.293914,0.131084,0.131504,0.389289,0.309297,0.052807,0.127081,0.118791,0.22216,0.460236,0.427434,0.427158,0.46066,0.104982,0.500703,0.136523,0.141344,0.170082,0.256125,0.137942,0.280034,0.011811,0.003649,0.035528,0.037147,0.105021,0.080096,0.020604,0.072339,0.0,0.087497,0.201934,0.357455,0.447565,0.477202,0.393896,0.52561,0.520857,0.453909,0.559081,0.002923,0.00398,0.012518,0.211988,0.034319,0.114163,0.102519,0.067789,0.152805,0.187112,0.176875,0.144418,0.255916,0.192111,0.355518,0.106168,0.212997,0.264951,0.34692,0.126163,0.157363,0.206835,0.229838,0.364846,0.380569,0.358092,0.178129,0.277878,0.438987,0.512927,0.499351,0.537507,0.597837,0.530216,0.485518,0.596149,0.583031,0.578883,0.460268,0.58803,0.001762,0.040129,0.190142,0.41237,0.261571,0.203095,0.172747,0.309251,0.090241,0.048767,0.085062,0.094636,0.258751,0.092845,0.102568,0.329816,0.061538,0.653879,0.354982,0.157332,0.029709,1,0,0,0,1,0
1,0.770156,0.761053,0.742231,0.757351,0.760633,0.54234,0.570696,0.653352,0.653249,0.621813,0.596795,0.596297,0.594992,0.620887,0.619105,0.635261,0.67848,0.656581,0.702769,0.0,0.016047,0.015581,0.022979,0.048423,0.320434,0.220949,0.288524,0.323306,0.130436,0.19999,0.292891,0.387634,0.192027,0.297579,0.408266,0.407936,0.226144,0.380476,0.392941,0.449538,0.447431,0.308661,0.232627,0.240405,0.226447,0.220521,0.237174,0.341235,0.337209,0.282881,0.313272,0.312401,0.349897,0.430432,0.446379,0.393443,0.380027,0.44083,0.496811,0.551358,0.459431,0.449931,0.480514,0.538011,0.48952,0.454403,0.478676,0.000981,0.000401,0.034294,0.036388,0.285257,0.094584,0.040344,0.132913,0.082165,0.163514,0.115721,0.040751,0.18088,0.184301,0.089555,0.076152,0.3594,0.342615,0.351561,0.389045,0.381464,0.404511,0.515007,0.472178,0.53016,0.517445,0.4098,0.520744,0.559458,0.573269,0.587281,0.580828,0.585659,0.634069,0.629831,0.642803,0.555567,0.526492,0.500693,0.638408,0.002397,0.003873,0.003633,0.159426,0.111906,0.175488,0.178064,0.085085,0.073259,0.133331,0.090761,0.406639,0.126982,0.046562,0.157326,0.051859,0.114123,0.361843,0.303399,0.251454,0.03632,1,0,0,0,0,1
2,0.793984,0.76182,0.740569,0.849128,0.839607,0.751835,0.955915,0.716114,0.775176,0.723823,0.633313,0.552341,0.648123,0.566771,0.461133,0.597636,0.636432,0.620396,0.438471,0.020511,0.007935,0.00488,0.028062,0.009064,0.003915,0.003488,0.027915,0.031957,0.00718,0.003349,0.524229,0.32588,0.093208,0.063083,0.137146,0.232278,0.36308,0.00811,0.072214,0.178453,0.076778,0.024332,0.26987,0.262963,0.248731,0.227119,0.29596,0.208608,0.260247,0.250027,0.236536,0.222922,0.215652,0.336536,0.332812,0.388621,0.290569,0.296632,0.339067,0.453512,0.468436,0.45011,0.354218,0.373477,0.438525,0.381111,0.406296,0.005026,0.003064,0.002545,0.011646,0.015498,0.023009,0.026026,0.023752,0.003716,0.034395,0.00849,0.013186,0.002194,0.003948,0.000529,0.001083,0.296934,0.24707,0.215009,0.345131,0.327988,0.338388,0.337974,0.341318,0.344326,0.356358,0.480978,0.480028,0.607935,0.624508,0.38975,0.721473,0.6979,0.627013,0.615651,0.727154,0.698761,0.601505,0.628198,0.726349,0.016284,0.03784,0.013787,0.013867,0.004046,0.006033,0.181837,0.122532,0.035184,0.025505,0.027821,0.048943,0.080248,0.074113,0.015971,0.028559,0.047596,0.004901,0.00346,0.017166,0.083924,1,0,0,0,0,0
3,0.938563,0.955621,0.968649,0.95346,0.959631,0.622508,0.80424,0.753638,0.774347,0.750613,0.612971,0.647101,0.643989,0.716752,0.624669,0.620717,0.674617,0.682563,0.512015,0.00472,0.001482,0.598068,0.002419,0.002053,0.00105,0.205989,0.00676,0.278502,0.146605,0.062425,0.194386,0.359016,0.053407,0.034293,0.046915,0.116559,0.107387,0.078168,0.128164,0.131516,0.126332,0.023177,0.318786,0.330617,0.332167,0.359369,0.323669,0.33417,0.34572,0.345864,0.35559,0.453237,0.425521,0.314438,0.304492,0.461914,0.306241,0.298731,0.300995,0.451022,0.453162,0.45465,0.299328,0.319266,0.424554,0.36954,0.398141,0.001811,0.002163,0.032487,0.021652,0.035269,0.002946,0.004391,0.009431,0.003065,0.014552,0.009091,0.004202,0.003934,0.015973,0.000803,0.001719,0.436281,0.460637,0.512614,0.455907,0.45915,0.497886,0.491154,0.50728,0.629741,0.556171,0.36214,0.366613,0.719147,0.682088,0.326624,0.682434,0.709317,0.693281,0.397388,0.641427,0.689379,0.488873,0.560029,0.625089,0.009885,0.00252,0.006821,0.003958,0.0399,0.03098,0.448542,0.024751,0.045848,0.020989,0.015197,0.031173,0.032565,0.034237,0.201563,0.043669,0.027527,0.036799,0.007694,0.019267,0.090959,1,0,0,0,0,0
4,0.51213,0.52002,0.471209,0.562266,0.588592,0.503925,0.465298,0.574756,0.742275,0.784539,0.834243,0.766266,0.610411,0.916742,0.734423,0.354766,0.42298,0.461353,0.559726,0.001654,0.003397,0.006313,0.002592,0.00442,0.004351,0.006791,0.229681,0.011971,0.919451,0.414033,0.057879,0.036676,0.3855,0.40311,0.389298,0.044535,0.0707,0.303579,0.40257,0.478137,0.088377,0.380284,0.229774,0.231722,0.237305,0.229863,0.217846,0.218038,0.260123,0.263457,0.246214,0.221379,0.223484,0.384582,0.320144,0.20284,0.325809,0.386255,0.495995,0.371022,0.367181,0.280926,0.276859,0.286859,0.369636,0.284616,0.243992,0.000292,0.000248,0.000465,0.002547,0.018709,0.011583,0.006539,0.004952,0.121845,0.516855,0.021184,0.020941,0.024467,0.024693,0.027979,0.025554,0.028538,0.0,0.0,0.090546,0.078379,0.273249,0.396448,0.182736,0.125358,0.110149,0.598542,0.618592,0.458311,0.393485,0.642792,0.604435,0.581455,0.531412,0.740361,0.608886,0.565586,0.750022,0.753892,0.83094,0.001182,0.003992,0.010916,0.00734,0.094097,0.044848,0.036629,0.090652,0.086531,0.293732,0.22177,0.186763,0.0746,0.043375,0.413413,0.387559,0.15873,0.167709,0.22658,0.198151,0.18429,1,0,0,0,0,0
5,0.824623,0.933213,0.971749,0.867018,0.824065,0.811056,0.532192,0.559662,0.74103,0.30522,0.674828,0.690685,0.622364,0.477832,0.726262,0.635593,0.749084,0.857111,0.527031,0.028791,0.000493,0.0,0.008019,0.000546,5e-05,0.277242,0.245735,0.043779,0.500905,0.272976,0.890532,0.176417,0.420903,0.365801,0.587337,0.345937,0.038538,0.530081,0.929269,0.254858,0.110394,0.356693,0.273059,0.293656,0.309136,0.331838,0.230604,0.33251,0.184225,0.302586,0.245226,0.334122,0.431639,0.350809,0.304547,0.320178,0.313477,0.332209,0.361927,0.345405,0.339513,0.305802,0.344698,0.332778,0.345679,0.355261,0.346358,0.00159,0.021919,0.002695,0.04638,0.00974,0.039594,0.091008,0.007445,0.002337,0.035676,0.064053,0.003491,0.005606,0.007973,0.002032,0.001473,0.368223,0.478294,0.479659,0.412015,0.482007,0.476058,0.436158,0.455415,0.577272,0.486167,0.411433,0.540336,0.553487,0.550814,0.60571,0.622428,0.568896,0.448504,0.596954,0.599738,0.480587,0.639627,0.65261,0.634427,0.002318,0.000267,0.091772,0.00029,0.224116,0.187486,0.04742,0.16682,0.076456,0.036478,0.034268,0.068961,0.120678,0.024654,0.111151,0.037579,0.071117,0.047366,0.048032,0.039862,0.090164,1,0,0,0,0,0
6,0.971724,0.959227,0.858447,0.975738,0.979945,0.862783,0.862262,0.672091,0.821362,0.877262,0.509071,0.404404,0.762474,0.591437,0.662065,0.692633,0.7256,0.744932,0.55254,0.000744,0.005545,0.015716,0.0,9.5e-05,0.000183,0.003541,0.098424,0.270968,0.165524,0.053451,0.131564,0.108251,0.023105,0.063248,0.019219,0.616026,0.385413,0.035004,0.040936,0.537241,0.483355,0.043408,0.31749,0.293409,0.275549,0.230576,0.32511,0.288464,0.326927,0.340521,0.302634,0.284506,0.266907,0.341872,0.329102,0.283868,0.377325,0.37308,0.355665,0.437791,0.404856,0.297757,0.376818,0.389966,0.428635,0.393834,0.395117,0.000707,0.00028,0.000447,0.003889,0.018394,0.008127,0.004303,0.003196,0.000447,0.002982,0.017869,0.003121,0.000317,0.000678,0.000612,0.000367,0.500391,0.478909,0.345008,0.492396,0.485787,0.496556,0.507459,0.488896,0.444869,0.356817,0.572207,0.540347,0.438685,0.382436,0.625514,0.535639,0.440475,0.410293,0.626353,0.610619,0.585436,0.597547,0.621522,0.625973,0.002229,0.015752,0.001451,0.001335,0.016763,0.015247,0.023639,0.028581,0.047452,0.003745,0.006708,0.068861,0.103651,0.078377,0.007641,0.031668,0.044859,0.007609,0.005356,0.005127,0.038599,1,0,0,0,0,0
7,0.879924,0.92151,0.938324,0.776896,0.873859,0.953897,0.630596,0.742063,0.794099,0.837846,0.467512,0.816615,0.842671,0.735555,0.804327,0.811058,0.814521,0.770778,0.71181,0.000568,0.000215,8.2e-05,0.062234,0.000262,8.9e-05,0.0,0.055302,5.4e-05,0.286761,0.200976,0.137302,0.101333,0.174962,0.170249,0.058136,0.134294,0.017771,0.108364,0.135618,0.660097,0.469226,0.055794,0.086523,0.106454,0.116337,0.114403,0.310418,0.170405,0.411214,0.379143,0.229218,0.213532,0.214081,0.363868,0.322119,0.25286,0.376989,0.418189,0.355,0.385281,0.431845,0.290302,0.320837,0.346824,0.39987,0.312497,0.318882,0.110056,0.07013,0.001641,0.000582,0.034806,0.015248,0.033348,0.0064,0.019419,0.031309,0.054134,0.070937,0.00812,0.008301,0.008853,0.020325,0.356962,0.425982,0.432535,0.432076,0.439759,0.517177,0.47617,0.459329,0.470288,0.466486,0.442174,0.461834,0.39788,0.425702,0.582081,0.570138,0.490528,0.481526,0.531725,0.542561,0.606638,0.558362,0.540481,0.522846,0.001506,0.000192,0.007166,0.001447,0.063598,0.09863,0.061283,0.141886,0.039473,0.1479,0.053947,0.085846,0.126833,0.158958,0.026383,0.158985,0.120622,0.011507,0.011505,0.107653,0.052316,1,0,0,0,1,0
8,0.693053,0.723593,0.721621,0.756848,0.775224,0.685148,0.773759,0.800565,0.728756,0.781232,0.716052,0.794549,0.650516,0.77843,0.761025,0.675901,0.660087,0.647769,0.7148,0.003414,0.002832,0.015131,0.002474,0.061788,0.04424,0.026063,0.04499,0.946666,0.044959,0.012735,0.47159,0.661244,0.083856,0.048348,0.025221,0.139037,0.144755,0.056457,0.006043,0.015913,0.003298,0.046107,0.18559,0.186481,0.186934,0.185617,0.19976,0.228834,0.21142,0.319609,0.341845,0.352695,0.331776,0.34406,0.362647,0.359945,0.28415,0.308683,0.312318,0.323299,0.327085,0.309266,0.274774,0.290796,0.32035,0.297572,0.310062,0.000214,0.006526,0.026843,0.013055,0.000481,0.001592,0.011244,0.013353,0.002341,0.000832,0.001259,0.001376,0.001292,0.000979,0.001263,0.000403,0.179952,0.177984,0.178218,0.191459,0.219728,0.636205,0.82593,0.790202,0.647175,0.570921,0.601337,0.781703,0.786959,0.585301,0.618816,0.670033,0.664352,0.674875,0.538122,0.704006,0.682691,0.506027,0.55995,0.682479,0.001923,0.001562,0.199063,0.95385,0.036113,0.038227,0.021041,0.148276,0.223048,0.068609,0.036865,0.030935,0.057696,0.01263,0.005034,0.036212,0.008382,0.01888,0.008899,0.004409,0.001602,1,0,0,0,0,0
9,0.563258,0.651829,0.690168,0.706657,0.774726,0.793005,0.438474,0.716394,0.451102,0.542622,0.65541,0.677802,0.459874,0.68874,0.679017,0.078646,0.337504,0.438487,0.64553,0.017044,0.014728,0.016188,0.012208,0.068803,0.064344,0.082635,0.13122,0.141032,0.031013,0.05334,0.004661,0.00629,0.070482,0.030394,0.017807,0.012015,0.000969,0.024082,0.008281,0.011849,0.002566,0.021853,0.294012,0.28144,0.282305,0.274973,0.296639,0.336097,0.389705,0.352503,0.347257,0.354582,0.375446,0.332565,0.293663,0.301674,0.337154,0.346139,0.318992,0.297647,0.301996,0.334623,0.272085,0.350658,0.353827,0.391008,0.404108,0.00108,0.004979,0.012133,0.011751,0.000623,0.001091,0.001054,0.000354,0.005034,0.00163,0.001496,0.000525,0.001848,0.001544,0.002814,0.001436,0.003724,0.021303,0.029377,0.136384,0.263587,0.552603,0.579979,0.605072,0.624005,0.637223,0.170446,0.319679,0.43466,0.475085,0.360239,0.456253,0.505558,0.586286,0.494733,0.610608,0.598956,0.47532,0.612979,0.618581,0.009365,0.005784,0.831258,1.0,0.076218,0.004935,0.010232,0.056322,0.002302,0.069133,0.035857,0.003001,0.071594,0.001458,0.017026,0.02046,0.029595,0.082573,0.014646,0.00796,0.002013,1,0,0,0,0,0
