,attr1,attr3,attr4,attr6,attr13,attr23,attr26,attr27,attr30,attr32,attr34,attr35,attr36,attr37,attr40,attr43,attr47,attr51,attr53,attr54,attr56,attr57,attr58,attr60,attr61,attr62,attr63,attr70,attr74,attr77,attr78,attr79,attr80,attr81,attr83,attr84,attr85,attr86,attr87,attr88,attr89,attr91,attr93,attr94,attr95,attr98,attr103,attr104,attr108,attr110,attr111,attr114,attr115,attr116,attr118,attr120,attr121,attr123,attr129,attr131,attr133,attr138,attr139,attr141,attr142,attr144,attr146,attr147,attr148,attr150,attr152,attr153,attr155,attr157,attr160,attr168,attr171,attr175,attr178,attr183,attr184,attr185,attr186,attr187,attr189,attr190,attr192,attr198,attr199,attr200,attr206,attr207,attr209,attr210,attr212,attr214,attr222,attr224,attr225,attr226,attr227,attr232,attr233,attr235,attr236,attr237,attr238,attr240,attr241,attr242,attr244,attr245,attr247,attr250,attr251,attr254,attr256,attr257,attr260,attr262,attr265,attr266,attr267,attr268,attr269,attr279,attr280,attr281,attr283,attr284,attr288,attr293,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.646467,0.685047,0.699053,0.407864,0.242458,0.375018,0.508325,0.467347,0.566969,0.621101,0.694546,0.574777,0.710196,0.61451,0.645884,0.607308,0.796168,8.3e-05,0.000122,0.196997,0.501902,0.177714,0.19772,0.174353,0.298569,0.40135,0.378798,0.293914,0.094081,0.309297,0.052807,0.127081,0.118791,0.22216,0.181267,0.460236,0.081963,0.427434,0.427158,0.705878,0.46066,0.238395,0.500703,0.3263,0.542055,0.031487,0.170082,0.21585,0.146722,0.280034,0.321427,0.003649,0.016968,0.035528,0.105021,0.108224,0.080096,0.024198,0.201934,0.447565,0.477202,0.448004,0.352682,0.409451,0.453909,0.390336,0.330857,0.326674,0.000404,0.00036,0.014357,0.031374,0.002923,0.008158,0.012518,0.052651,0.042137,0.067789,0.187112,0.062853,0.255916,0.192111,0.188077,0.111631,0.045902,0.093826,0.301727,0.236838,0.255211,0.264951,0.194579,0.372685,0.501197,0.495247,0.206835,0.364846,0.438987,0.569903,0.453827,0.499351,0.519089,0.331432,0.485518,0.51409,0.600857,0.596149,0.583031,0.460268,0.589159,0.562813,0.58803,0.602612,0.000611,0.040129,0.084242,0.190142,0.41237,0.204738,0.02693,0.136652,0.249868,0.545665,0.252143,0.261571,0.203095,0.258751,0.092845,0.47715,0.102568,0.329816,0.653879,0.014025,1,0,0,0,1,0
1,0.770156,0.761053,0.74563,0.688086,0.54234,0.599071,0.653352,0.559962,0.653249,0.61389,0.596297,0.692224,0.634007,0.605896,0.582844,0.635261,0.733633,0.0,0.016047,0.005941,0.015581,0.022979,0.011133,0.320434,0.220949,0.381001,0.251929,0.323306,0.285809,0.387634,0.192027,0.297579,0.408266,0.407936,0.514324,0.226144,0.278829,0.380476,0.392941,0.298399,0.449538,0.388497,0.308661,0.255651,0.218179,0.197233,0.226447,0.242332,0.239492,0.341235,0.355631,0.282881,0.347126,0.313272,0.349897,0.309561,0.430432,0.462894,0.496811,0.459431,0.449931,0.484739,0.51799,0.459808,0.454403,0.438059,0.432647,0.436461,0.000227,0.000293,0.003151,0.017264,0.000981,0.002904,0.034294,0.076316,0.165834,0.132913,0.163514,0.155181,0.18088,0.184301,0.099932,0.104708,0.277789,0.143118,0.126997,0.34909,0.340613,0.342615,0.382504,0.434112,0.549864,0.520889,0.404511,0.472178,0.559458,0.550244,0.49395,0.587281,0.592794,0.600465,0.629831,0.657105,0.617228,0.642803,0.555567,0.500693,0.594002,0.558564,0.638408,0.656938,0.003662,0.003873,0.050018,0.003633,0.159426,0.13157,0.070917,0.097577,0.283507,0.190554,0.072342,0.111906,0.175488,0.126982,0.046562,0.354085,0.157326,0.051859,0.361843,0.082672,1,0,0,0,0,1
2,0.793984,0.76182,0.762213,0.734361,0.751835,0.966291,0.716114,0.479571,0.775176,0.676656,0.552341,0.4179,0.622198,0.652387,0.662322,0.597636,0.633658,0.020511,0.007935,0.009422,0.00488,0.028062,0.011574,0.003915,0.003488,0.003279,0.00368,0.031957,0.291597,0.32588,0.093208,0.063083,0.137146,0.232278,0.303786,0.36308,0.030802,0.00811,0.072214,0.099314,0.178453,0.2397,0.024332,0.030036,0.094455,0.208049,0.248731,0.241228,0.258635,0.208608,0.200706,0.250027,0.237661,0.236536,0.215652,0.336406,0.336536,0.360144,0.339067,0.468436,0.45011,0.463354,0.477997,0.374026,0.381111,0.417298,0.469266,0.463621,0.002093,0.002476,0.003295,0.002797,0.005026,0.003633,0.002545,0.016765,0.00124,0.023752,0.034395,0.005085,0.002194,0.003948,0.004406,0.010829,0.014068,0.00055,0.000675,0.263352,0.248837,0.24707,0.291286,0.250794,0.204274,0.210089,0.338388,0.341318,0.607935,0.605654,0.370314,0.38975,0.492452,0.551206,0.615651,0.701467,0.700405,0.727154,0.698761,0.628198,0.631497,0.627427,0.726349,0.671654,0.032027,0.03784,0.022118,0.013787,0.013867,0.00913,0.064507,0.060296,0.062245,0.075563,0.006149,0.004046,0.006033,0.080248,0.074113,0.051372,0.015971,0.028559,0.004901,0.112506,1,0,0,0,0,0
3,0.938563,0.955621,0.966743,0.869619,0.622508,0.827367,0.753638,0.696435,0.774347,0.706845,0.647101,0.645833,0.736683,0.719352,0.773725,0.620717,0.638804,0.00472,0.001482,0.000767,0.598068,0.002419,0.002292,0.00105,0.205989,0.246481,0.265746,0.278502,0.047922,0.359016,0.053407,0.034293,0.046915,0.116559,0.143546,0.107387,0.027827,0.078168,0.128164,0.210717,0.131516,0.050244,0.023177,0.067705,0.06215,0.421707,0.332167,0.354252,0.321763,0.33417,0.396756,0.345864,0.343601,0.35559,0.425521,0.314211,0.314438,0.390267,0.300995,0.453162,0.45465,0.433491,0.439362,0.337538,0.36954,0.418368,0.427353,0.428903,0.00139,0.003221,0.000966,0.008383,0.001811,0.00226,0.032487,0.013176,0.003188,0.009431,0.014552,0.001924,0.003934,0.015973,0.002452,0.002442,0.004537,0.00143,0.002567,0.443416,0.44724,0.460637,0.46558,0.470724,0.683698,0.638922,0.497886,0.50728,0.719147,0.623692,0.343979,0.326624,0.357555,0.330571,0.397388,0.676317,0.659219,0.641427,0.689379,0.560029,0.606448,0.662518,0.625089,0.610921,0.01235,0.00252,0.08988,0.006821,0.003958,0.030881,0.000906,0.008393,0.060825,0.025972,0.045153,0.0399,0.03098,0.032565,0.034237,0.018757,0.201563,0.043669,0.036799,0.04978,1,0,0,0,0,0
4,0.51213,0.52002,0.504467,0.417654,0.503925,0.62658,0.574756,0.519651,0.742275,0.903786,0.766266,0.657113,0.276264,0.394086,0.74371,0.354766,0.448555,0.001654,0.003397,0.005484,0.006313,0.002592,0.003346,0.004351,0.006791,0.009197,0.008609,0.011971,0.300269,0.036676,0.3855,0.40311,0.389298,0.044535,0.080107,0.0707,0.405249,0.303579,0.40257,0.409871,0.478137,0.499655,0.380284,0.300245,0.381694,0.495915,0.237305,0.239348,0.215933,0.218038,0.223498,0.263457,0.324314,0.246214,0.223484,0.379698,0.384582,0.266619,0.495995,0.367181,0.280926,0.358697,0.372373,0.246187,0.284616,0.267531,0.269781,0.293731,0.000626,0.000214,0.00035,0.000164,0.000292,0.000206,0.000465,0.001782,0.023964,0.004952,0.516855,0.032397,0.024467,0.024693,0.198196,0.048549,0.19288,0.041243,0.024087,0.016058,0.004115,0.0,0.059313,0.044865,0.033168,0.020241,0.273249,0.182736,0.458311,0.330225,0.722032,0.642792,0.584955,0.643172,0.740361,0.752382,0.683698,0.608886,0.565586,0.753892,0.806584,0.736883,0.83094,0.702474,0.001369,0.003992,0.001849,0.010916,0.00734,0.010177,0.381498,0.595821,0.010644,0.010589,0.138157,0.094097,0.044848,0.0746,0.043375,0.20857,0.413413,0.387559,0.167709,0.16427,1,0,0,0,0,0
5,0.824623,0.933213,0.95865,0.978218,0.811056,0.687502,0.559662,0.594875,0.74103,0.755472,0.690685,0.860151,0.768459,0.696348,0.749855,0.635593,0.823096,0.028791,0.000493,3.6e-05,0.0,0.008019,0.318959,5e-05,0.277242,0.722164,0.0,0.043779,0.704225,0.176417,0.420903,0.365801,0.587337,0.345937,0.401936,0.038538,0.376004,0.530081,0.929269,0.178743,0.254858,0.138658,0.356693,0.190472,0.212606,0.492173,0.309136,0.32701,0.295905,0.33251,0.34644,0.302586,0.21834,0.245226,0.431639,0.245075,0.350809,0.301598,0.361927,0.339513,0.305802,0.388848,0.556433,0.343724,0.355261,0.359307,0.580226,0.315569,0.001069,0.001143,0.000446,0.000359,0.00159,0.000554,0.002695,0.002335,0.026254,0.007445,0.035676,0.002878,0.005606,0.007973,0.001977,0.029937,0.033986,0.002947,0.001694,0.422828,0.460682,0.478294,0.479491,0.478194,0.531647,0.482387,0.476058,0.455415,0.553487,0.517479,0.589942,0.60571,0.577999,0.656927,0.596954,0.640376,0.680354,0.599738,0.480587,0.65261,0.653885,0.666969,0.634427,0.380122,0.006309,0.000267,0.000748,0.091772,0.00029,0.010173,0.062493,0.034588,0.197288,0.011099,0.262977,0.224116,0.187486,0.120678,0.024654,0.055912,0.111151,0.037579,0.047366,0.071401,1,0,0,0,0,0
6,0.971724,0.959227,0.927736,0.780253,0.862783,0.948911,0.672091,0.551408,0.821362,0.581717,0.404404,0.394373,0.700211,0.747139,0.556217,0.692633,0.734175,0.000744,0.005545,0.010415,0.015716,0.0,0.0,0.000183,0.003541,0.004871,0.006856,0.270968,0.293057,0.108251,0.023105,0.063248,0.019219,0.616026,0.671008,0.385413,0.069191,0.035004,0.040936,0.273047,0.537241,0.16201,0.043408,0.044825,0.02179,0.338231,0.275549,0.256626,0.323676,0.288464,0.276468,0.340521,0.320075,0.302634,0.266907,0.351529,0.341872,0.317366,0.355665,0.404856,0.297757,0.465802,0.44192,0.380137,0.393834,0.400638,0.412476,0.417785,0.000496,0.001151,0.000552,0.000398,0.000707,0.000846,0.000447,0.00362,0.004917,0.003196,0.002982,0.000674,0.000317,0.000678,0.032732,0.066124,0.012906,0.000695,0.000702,0.497573,0.499016,0.478909,0.487464,0.49357,0.426049,0.369699,0.496556,0.488896,0.438685,0.279835,0.612017,0.625514,0.609456,0.609288,0.626353,0.641517,0.604021,0.610619,0.585436,0.621522,0.630412,0.642959,0.625973,0.594058,0.001071,0.015752,0.01723,0.001451,0.001335,0.005198,0.001192,0.002507,0.053681,0.147645,0.024184,0.016763,0.015247,0.103651,0.078377,0.00873,0.007641,0.031668,0.007609,0.02978,1,0,0,0,0,0
7,0.879924,0.92151,0.933874,0.937413,0.953897,0.692201,0.742063,0.835853,0.794099,0.815628,0.816615,0.812649,0.787179,0.823461,0.45197,0.811058,0.392251,0.000568,0.000215,0.000103,8.2e-05,0.062234,0.055124,8.9e-05,0.0,0.0,0.0,5.4e-05,0.209324,0.101333,0.174962,0.170249,0.058136,0.134294,0.147979,0.017771,0.12195,0.108364,0.135618,0.881872,0.660097,0.027848,0.055794,0.104078,0.57001,0.150228,0.116337,0.120178,0.143951,0.170405,0.172469,0.379143,0.307407,0.229218,0.214081,0.344163,0.363868,0.301001,0.355,0.431845,0.290302,0.372099,0.387572,0.350178,0.312497,0.382682,0.316934,0.403813,0.000737,0.000679,0.001511,0.001018,0.110056,0.001845,0.001641,0.001243,0.056972,0.0064,0.031309,0.017618,0.00812,0.008301,0.016955,0.190194,0.003595,0.01492,0.012767,0.395576,0.414699,0.425982,0.443438,0.449041,0.451266,0.452932,0.517177,0.459329,0.39788,0.366814,0.515779,0.582081,0.546598,0.489645,0.531725,0.538088,0.408168,0.542561,0.606638,0.540481,0.51806,0.46114,0.522846,0.582674,0.004244,0.000192,0.000594,0.007166,0.001447,0.001078,0.015975,0.00892,0.001601,0.001704,0.093378,0.063598,0.09863,0.126833,0.158958,0.197811,0.026383,0.158985,0.011507,0.083478,1,0,0,0,1,0
8,0.693053,0.723593,0.726326,0.708818,0.685148,0.836022,0.800565,0.676447,0.728756,0.742045,0.794549,0.758152,0.707332,0.66767,0.763069,0.675901,0.7614,0.003414,0.002832,0.003141,0.015131,0.002474,0.004565,0.04424,0.026063,0.134235,0.886029,0.946666,0.014787,0.661244,0.083856,0.048348,0.025221,0.139037,0.086509,0.144755,0.051564,0.056457,0.006043,0.017182,0.015913,0.003562,0.046107,0.028274,0.00782,0.00263,0.186934,0.185631,0.25679,0.228834,0.257874,0.319609,0.365734,0.341845,0.331776,0.292469,0.34406,0.355432,0.312318,0.327085,0.309266,0.3019,0.297421,0.280501,0.297572,0.29561,0.289767,0.290953,0.000301,0.000365,0.000226,0.000531,0.000214,0.019475,0.026843,0.013703,0.001673,0.013353,0.000832,0.000847,0.001292,0.000979,0.000479,0.000967,0.000198,0.000793,0.000693,0.177492,0.180936,0.177984,0.551116,0.455459,0.533514,0.581578,0.636205,0.790202,0.786959,0.611469,0.434201,0.618816,0.674573,0.43239,0.538122,0.61677,0.707226,0.704006,0.682691,0.55995,0.615372,0.685644,0.682479,0.68457,0.000881,0.001562,0.001361,0.199063,0.95385,0.987303,0.018233,0.023557,0.160402,0.258548,0.245131,0.036113,0.038227,0.057696,0.01263,0.041477,0.005034,0.036212,0.01888,0.001531,1,0,0,0,0,0
9,0.563258,0.651829,0.676059,0.691312,0.793005,0.53971,0.716394,0.719919,0.451102,0.613692,0.677802,0.682163,0.170871,0.364919,0.622453,0.078646,0.632587,0.017044,0.014728,0.013538,0.016188,0.012208,0.060437,0.064344,0.082635,0.10349,0.081565,0.141032,0.010869,0.00629,0.070482,0.030394,0.017807,0.012015,0.004373,0.000969,0.07751,0.024082,0.008281,0.01084,0.011849,0.002143,0.021853,0.007563,0.026907,0.003384,0.282305,0.278368,0.314664,0.336097,0.336907,0.352503,0.333491,0.347257,0.375446,0.379877,0.332565,0.294362,0.318992,0.301996,0.334623,0.354184,0.344177,0.263724,0.391008,0.401125,0.346591,0.350055,0.006146,0.001134,0.000417,0.000922,0.00108,0.007722,0.012133,0.008225,0.000999,0.000354,0.00163,0.006374,0.001848,0.001544,0.002851,0.001695,0.000509,0.013474,0.002373,0.014638,0.019715,0.021303,0.295044,0.318684,0.43362,0.374642,0.552603,0.605072,0.43466,0.573895,0.1945,0.360239,0.416488,0.298857,0.494733,0.535773,0.538905,0.610608,0.598956,0.612979,0.620382,0.624497,0.618581,0.599179,0.011256,0.005784,0.007726,0.831258,1.0,1.0,0.372429,0.312756,0.030122,0.05837,0.019035,0.076218,0.004935,0.071594,0.001458,0.092649,0.017026,0.02046,0.082573,0.002724,1,0,0,0,0,0
