,attr8,attr12,attr13,attr16,attr21,attr27,attr29,attr33,attr34,attr37,attr38,attr41,attr42,attr43,attr47,attr49,attr50,attr53,attr58,attr60,attr65,attr67,attr71,attr72,attr73,attr74,attr81,attr84,attr86,attr88,attr94,attr95,attr97,attr104,attr105,attr106,attr108,attr110,attr111,attr114,attr115,attr116,attr120,attr124,attr127,attr130,attr132,attr134,attr135,attr137,attr148,attr151,attr153,attr155,attr157,attr160,attr163,attr164,attr165,attr166,attr171,attr176,attr194,attr196,attr197,attr198,attr200,attr203,attr216,attr220,attr224,attr226,attr227,attr231,attr232,attr233,attr234,attr235,attr237,attr240,attr243,attr245,attr247,attr249,attr251,attr255,attr261,attr264,attr265,attr266,attr271,attr277,attr280,attr281,attr282,attr283,attr284,attr285,attr286,attr287,attr288,attr289,attr290,attr291,attr292,attr293,attr294,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.535193,0.390455,0.242458,0.428206,0.255987,0.467347,0.546262,0.653561,0.694546,0.61451,0.59045,0.800611,0.741071,0.607308,0.796168,0.842202,0.000188,0.000122,0.19772,0.174353,0.057354,0.135952,0.131084,0.131504,0.09734,0.094081,0.22216,0.460236,0.427434,0.705878,0.3263,0.542055,0.070068,0.21585,0.256125,0.137942,0.146722,0.280034,0.321427,0.003649,0.016968,0.035528,0.108224,0.072339,0.0,0.357455,0.450967,0.393896,0.52561,0.520857,0.000404,0.00058,0.031374,0.002923,0.008158,0.012518,0.0435,0.087169,0.1759,0.204866,0.042137,0.152805,0.075619,0.00649,0.212997,0.236838,0.264951,0.479871,0.380569,0.307893,0.569903,0.499351,0.519089,0.530216,0.331432,0.485518,0.603675,0.51409,0.596149,0.460268,0.558273,0.602612,0.000611,0.001927,0.084242,0.185948,0.069331,0.127585,0.249868,0.545665,0.23903,0.167601,0.092845,0.47715,0.224848,0.102568,0.329816,0.061538,0.049615,0.068962,0.653879,0.354982,0.124074,0.157332,0.247298,0.014025,0.029709,1,0,0,0,1,0
1,0.757351,0.600421,0.54234,0.624697,0.209851,0.559962,0.636677,0.596795,0.596297,0.605896,0.594992,0.620887,0.619105,0.635261,0.733633,0.702769,0.0,0.016047,0.011133,0.320434,0.242238,0.48612,0.130436,0.19999,0.344527,0.285809,0.407936,0.226144,0.380476,0.298399,0.255651,0.218179,0.060163,0.242332,0.220521,0.237174,0.239492,0.341235,0.355631,0.282881,0.347126,0.313272,0.309561,0.393443,0.380027,0.551358,0.484877,0.480514,0.538011,0.48952,0.000227,0.001758,0.017264,0.000981,0.002904,0.034294,0.034444,0.01986,0.028389,0.019469,0.165834,0.082165,0.021844,0.052414,0.3594,0.34909,0.342615,0.330146,0.53016,0.501689,0.550244,0.587281,0.592794,0.634069,0.600465,0.629831,0.568729,0.657105,0.642803,0.500693,0.617575,0.656938,0.003662,0.013929,0.050018,0.016475,0.088278,0.193839,0.283507,0.190554,0.24989,0.102932,0.046562,0.354085,0.199359,0.157326,0.051859,0.114123,0.160008,0.414088,0.361843,0.303399,0.176387,0.251454,0.137833,0.082672,0.03632,1,0,0,0,0,1
2,0.849128,0.760288,0.751835,0.857499,0.872483,0.479571,0.75462,0.633313,0.552341,0.652387,0.648123,0.566771,0.461133,0.597636,0.633658,0.438471,0.024992,0.007935,0.011574,0.003915,0.038005,0.02682,0.00718,0.003349,0.004788,0.291597,0.232278,0.36308,0.00811,0.099314,0.030036,0.094455,0.357259,0.241228,0.227119,0.29596,0.258635,0.208608,0.200706,0.250027,0.237661,0.236536,0.336406,0.388621,0.290569,0.453512,0.459582,0.354218,0.373477,0.438525,0.002093,0.003134,0.002797,0.005026,0.003633,0.002545,0.014923,0.011014,0.012962,0.011205,0.00124,0.003716,0.009633,0.018549,0.296934,0.263352,0.24707,0.202037,0.344326,0.476673,0.605654,0.38975,0.492452,0.627013,0.551206,0.615651,0.664643,0.701467,0.727154,0.628198,0.719784,0.671654,0.032027,0.023922,0.022118,0.014701,0.082237,0.052964,0.062245,0.075563,0.213608,0.073733,0.074113,0.051372,0.024035,0.015971,0.028559,0.047596,0.038082,0.079977,0.004901,0.00346,0.006049,0.017166,0.051125,0.112506,0.083924,1,0,0,0,0,0
3,0.95346,0.916497,0.622508,0.972303,0.360757,0.696435,0.782931,0.612971,0.647101,0.719352,0.643989,0.716752,0.624669,0.620717,0.638804,0.512015,0.00325,0.001482,0.002292,0.00105,0.000503,0.048455,0.146605,0.062425,0.058384,0.047922,0.116559,0.107387,0.078168,0.210717,0.067705,0.06215,0.766564,0.354252,0.359369,0.323669,0.321763,0.33417,0.396756,0.345864,0.343601,0.35559,0.314211,0.461914,0.306241,0.451022,0.470206,0.299328,0.319266,0.424554,0.00139,0.001559,0.008383,0.001811,0.00226,0.032487,5.6e-05,0.000331,0.008323,0.012827,0.003188,0.003065,0.001249,0.011834,0.436281,0.443416,0.460637,0.526961,0.629741,0.34531,0.623692,0.326624,0.357555,0.693281,0.330571,0.397388,0.525374,0.676317,0.641427,0.560029,0.718241,0.610921,0.01235,0.004585,0.08988,0.008305,0.000563,0.105665,0.060825,0.025972,0.024508,0.138788,0.034237,0.018757,0.082271,0.201563,0.043669,0.027527,0.016922,0.024174,0.036799,0.007694,0.009735,0.019267,0.03129,0.04978,0.090959,1,0,0,0,0,0
4,0.562266,0.551043,0.503925,0.539517,0.510786,0.519651,0.450048,0.834243,0.766266,0.394086,0.610411,0.916742,0.734423,0.354766,0.448555,0.559726,0.007047,0.003397,0.003346,0.004351,0.258819,0.06701,0.919451,0.414033,0.381879,0.300269,0.044535,0.0707,0.303579,0.409871,0.300245,0.381694,0.257814,0.239348,0.229863,0.217846,0.215933,0.218038,0.223498,0.263457,0.324314,0.246214,0.379698,0.20284,0.325809,0.371022,0.319719,0.276859,0.286859,0.369636,0.000626,0.000276,0.000164,0.000292,0.000206,0.000465,0.020029,0.039663,0.009103,0.001493,0.023964,0.121845,0.018212,0.030537,0.028538,0.016058,0.0,0.0,0.125358,0.559056,0.330225,0.642792,0.584955,0.531412,0.643172,0.740361,0.770934,0.752382,0.608886,0.753892,0.733875,0.702474,0.001369,0.002744,0.001849,0.009433,0.439771,0.028206,0.010644,0.010589,0.046537,0.1435,0.043375,0.20857,0.188324,0.413413,0.387559,0.15873,0.023177,0.129994,0.167709,0.22658,0.218534,0.198151,0.238796,0.16427,0.18429,1,0,0,0,0,0
5,0.867018,0.920302,0.811056,0.669714,0.942952,0.594875,0.745676,0.674828,0.690685,0.696348,0.622364,0.477832,0.726262,0.635593,0.823096,0.527031,0.013772,0.000493,0.318959,5e-05,0.40017,0.210799,0.500905,0.272976,0.651517,0.704225,0.345937,0.038538,0.530081,0.178743,0.190472,0.212606,0.095768,0.32701,0.331838,0.230604,0.295905,0.33251,0.34644,0.302586,0.21834,0.245226,0.245075,0.320178,0.313477,0.345405,0.396701,0.344698,0.332778,0.345679,0.001069,0.000521,0.000359,0.00159,0.000554,0.002695,0.079586,0.00863,0.005208,0.06544,0.026254,0.002337,0.0292,0.023731,0.368223,0.422828,0.478294,0.478663,0.577272,0.541756,0.517479,0.60571,0.577999,0.448504,0.656927,0.596954,0.620762,0.640376,0.599738,0.65261,0.680052,0.380122,0.006309,0.000419,0.000748,0.00116,0.200693,0.07807,0.197288,0.011099,0.103418,0.069426,0.024654,0.055912,0.084101,0.111151,0.037579,0.071117,0.027187,0.086379,0.047366,0.048032,0.0346,0.039862,0.07501,0.071401,0.090164,1,0,0,0,0,0
6,0.975738,0.92487,0.862783,0.980565,0.684712,0.551408,0.727681,0.509071,0.404404,0.747139,0.762474,0.591437,0.662065,0.692633,0.734175,0.55254,0.00037,0.005545,0.0,0.000183,0.00023,0.049364,0.165524,0.053451,0.180105,0.293057,0.616026,0.385413,0.035004,0.273047,0.044825,0.02179,0.205669,0.256626,0.230576,0.32511,0.323676,0.288464,0.276468,0.340521,0.320075,0.302634,0.351529,0.283868,0.377325,0.437791,0.338025,0.376818,0.389966,0.428635,0.000496,0.001064,0.000398,0.000707,0.000846,0.000447,0.000245,0.000964,0.001386,0.00238,0.004917,0.000447,0.001248,0.011999,0.500391,0.497573,0.478909,0.264895,0.444869,0.540023,0.279835,0.625514,0.609456,0.410293,0.609288,0.626353,0.647634,0.641517,0.610619,0.621522,0.640443,0.594058,0.001071,0.005844,0.01723,0.001723,0.002015,0.028211,0.053681,0.147645,0.024712,0.133785,0.078377,0.00873,0.00655,0.007641,0.031668,0.044859,0.044637,0.041734,0.007609,0.005356,0.006311,0.005127,0.007633,0.02978,0.038599,1,0,0,0,0,0
7,0.776896,0.955718,0.953897,0.792891,0.951708,0.835853,0.748273,0.467512,0.816615,0.823461,0.842671,0.735555,0.804327,0.811058,0.392251,0.71181,0.000847,0.000215,0.055124,8.9e-05,0.024876,0.030772,0.286761,0.200976,0.1527,0.209324,0.134294,0.017771,0.108364,0.881872,0.104078,0.57001,0.760678,0.120178,0.114403,0.310418,0.143951,0.170405,0.172469,0.379143,0.307407,0.229218,0.344163,0.25286,0.376989,0.385281,0.301331,0.320837,0.346824,0.39987,0.000737,0.001582,0.001018,0.110056,0.001845,0.001641,0.003762,0.025551,0.009812,0.000429,0.056972,0.019419,0.092985,0.039694,0.356962,0.395576,0.425982,0.431294,0.470288,0.436628,0.366814,0.582081,0.546598,0.481526,0.489645,0.531725,0.589104,0.538088,0.542561,0.540481,0.506419,0.582674,0.004244,0.001545,0.000594,0.001806,0.010448,0.001443,0.001601,0.001704,0.063918,0.056929,0.158958,0.197811,0.113462,0.026383,0.158985,0.120622,0.063702,0.009123,0.011507,0.011505,0.051774,0.107653,0.054291,0.083478,0.052316,1,0,0,0,1,0
8,0.756848,0.724714,0.685148,0.814144,0.491489,0.676447,0.775461,0.716052,0.794549,0.66767,0.650516,0.77843,0.761025,0.675901,0.7614,0.7148,0.003691,0.002832,0.004565,0.04424,0.021247,0.077585,0.044959,0.012735,0.024782,0.014787,0.139037,0.144755,0.056457,0.017182,0.028274,0.00782,0.000687,0.185631,0.185617,0.19976,0.25679,0.228834,0.257874,0.319609,0.365734,0.341845,0.292469,0.359945,0.28415,0.323299,0.309554,0.274774,0.290796,0.32035,0.000301,0.000192,0.000531,0.000214,0.019475,0.026843,0.01919,0.004096,0.010726,0.005291,0.001673,0.002341,0.000346,0.000227,0.179952,0.177492,0.177984,0.230173,0.647175,0.7917,0.611469,0.618816,0.674573,0.674875,0.43239,0.538122,0.592347,0.61677,0.704006,0.55995,0.689155,0.68457,0.000881,0.001147,0.001361,0.922513,0.722206,0.026183,0.160402,0.258548,0.038742,0.045627,0.01263,0.041477,0.025413,0.005034,0.036212,0.008382,0.002519,0.001543,0.01888,0.008899,0.015161,0.004409,0.001383,0.001531,0.001602,1,0,0,0,0,0
9,0.706657,0.780306,0.793005,0.735057,0.734391,0.719919,0.311235,0.65541,0.677802,0.364919,0.459874,0.68874,0.679017,0.078646,0.632587,0.64553,0.023414,0.014728,0.060437,0.064344,0.20943,0.106908,0.031013,0.05334,0.019774,0.010869,0.012015,0.000969,0.024082,0.01084,0.007563,0.026907,0.004297,0.278368,0.274973,0.296639,0.314664,0.336097,0.336907,0.352503,0.333491,0.347257,0.379877,0.301674,0.337154,0.297647,0.336886,0.272085,0.350658,0.353827,0.006146,0.001248,0.000922,0.00108,0.007722,0.012133,0.015082,0.00774,0.004625,0.004992,0.000999,0.005034,0.002931,0.000301,0.003724,0.014638,0.021303,0.028136,0.624005,0.386127,0.573895,0.360239,0.416488,0.586286,0.298857,0.494733,0.528773,0.535773,0.610608,0.612979,0.61753,0.599179,0.011256,0.009089,0.007726,1.0,0.402235,0.126664,0.030122,0.05837,0.032971,0.004167,0.001458,0.092649,0.038155,0.017026,0.02046,0.029595,0.015294,0.002416,0.082573,0.014646,0.007865,0.00796,0.007409,0.002724,0.002013,1,0,0,0,0,0
