,attr4,attr5,attr7,attr8,attr13,attr14,attr22,attr26,attr27,attr30,attr31,attr37,attr40,attr41,attr43,attr44,attr47,attr49,attr50,attr51,attr56,attr60,attr61,attr74,attr79,attr85,attr89,attr95,attr97,attr102,attr104,attr111,attr114,attr115,attr117,attr119,attr122,attr123,attr124,attr130,attr133,attr138,attr141,attr144,attr146,attr153,attr155,attr158,attr162,attr163,attr164,attr167,attr168,attr169,attr175,attr176,attr177,attr184,attr189,attr192,attr193,attr195,attr197,attr201,attr210,attr211,attr214,attr216,attr218,attr220,attr221,attr223,attr227,attr231,attr234,attr236,attr237,attr240,attr243,attr245,attr247,attr251,attr252,attr256,attr259,attr262,attr265,attr266,attr271,attr273,attr274,attr276,attr277,attr279,attr280,attr283,attr286,attr287,attr288,attr294,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.699053,0.652746,0.150309,0.535193,0.242458,0.170217,0.310109,0.508325,0.467347,0.566969,0.612951,0.61451,0.645884,0.800611,0.607308,0.589019,0.796168,0.842202,0.000188,8.3e-05,0.501902,0.174353,0.298569,0.094081,0.127081,0.081963,0.46066,0.542055,0.070068,0.141344,0.21585,0.321427,0.003649,0.016968,0.037147,0.264698,0.020604,0.024198,0.072339,0.357455,0.477202,0.448004,0.409451,0.390336,0.330857,0.031374,0.002923,0.04401,0.012115,0.0435,0.087169,0.211988,0.052651,0.079962,0.067789,0.152805,0.237036,0.255916,0.045902,0.301727,0.106168,0.008323,0.212997,0.29548,0.495247,0.175233,0.364846,0.380569,0.178129,0.307893,0.329844,0.512927,0.519089,0.530216,0.603675,0.600857,0.596149,0.460268,0.558273,0.602612,0.000611,0.084242,0.15908,0.41237,0.096029,0.136652,0.249868,0.545665,0.23903,0.090241,0.048767,0.072274,0.167601,0.258751,0.092845,0.102568,0.049615,0.068962,0.653879,0.029709,1,0,0,0,1,0
1,0.74563,0.742231,0.708416,0.757351,0.54234,0.439594,0.570696,0.653352,0.559962,0.653249,0.621813,0.605896,0.582844,0.620887,0.635261,0.67848,0.733633,0.702769,0.0,0.0,0.015581,0.320434,0.220949,0.285809,0.297579,0.278829,0.449538,0.218179,0.060163,0.240405,0.242332,0.355631,0.282881,0.347126,0.312401,0.373025,0.446379,0.462894,0.393443,0.551358,0.449931,0.484739,0.459808,0.438059,0.432647,0.017264,0.000981,0.014107,0.06171,0.034444,0.01986,0.036388,0.076316,0.082108,0.132913,0.082165,0.084646,0.18088,0.277789,0.126997,0.076152,0.045363,0.3594,0.33812,0.520889,0.437265,0.472178,0.53016,0.4098,0.501689,0.507928,0.573269,0.592794,0.634069,0.568729,0.617228,0.642803,0.500693,0.617575,0.656938,0.003662,0.050018,0.015733,0.159426,0.170231,0.097577,0.283507,0.190554,0.24989,0.073259,0.133331,0.138334,0.102932,0.126982,0.046562,0.157326,0.160008,0.414088,0.361843,0.03632,1,0,0,0,0,1
2,0.762213,0.740569,0.722677,0.849128,0.751835,0.754508,0.955915,0.716114,0.479571,0.775176,0.723823,0.652387,0.662322,0.566771,0.597636,0.636432,0.633658,0.438471,0.024992,0.020511,0.00488,0.003915,0.003488,0.291597,0.063083,0.030802,0.178453,0.094455,0.357259,0.262963,0.241228,0.200706,0.250027,0.237661,0.222922,0.224657,0.332812,0.360144,0.388621,0.453512,0.45011,0.463354,0.374026,0.417298,0.469266,0.002797,0.005026,0.003006,0.010364,0.014923,0.011014,0.011646,0.016765,0.000808,0.023752,0.003716,0.002502,0.002194,0.014068,0.000675,0.001083,0.020113,0.296934,0.218901,0.210089,0.342984,0.341318,0.344326,0.480978,0.476673,0.53981,0.624508,0.492452,0.627013,0.664643,0.700405,0.727154,0.628198,0.719784,0.671654,0.032027,0.022118,0.020369,0.013867,0.018168,0.060296,0.062245,0.075563,0.213608,0.035184,0.025505,0.353377,0.073733,0.080248,0.074113,0.015971,0.038082,0.079977,0.004901,0.083924,1,0,0,0,0,0
3,0.966743,0.968649,0.696925,0.95346,0.622508,0.530428,0.80424,0.753638,0.696435,0.774347,0.750613,0.719352,0.773725,0.716752,0.620717,0.674617,0.638804,0.512015,0.00325,0.00472,0.598068,0.00105,0.205989,0.047922,0.034293,0.027827,0.131516,0.06215,0.766564,0.330617,0.354252,0.396756,0.345864,0.343601,0.453237,0.38989,0.304492,0.390267,0.461914,0.451022,0.45465,0.433491,0.337538,0.418368,0.427353,0.008383,0.001811,0.001752,6.5e-05,5.6e-05,0.000331,0.021652,0.013176,0.004393,0.009431,0.003065,0.002216,0.003934,0.004537,0.002567,0.001719,0.009534,0.436281,0.463779,0.638922,0.496332,0.50728,0.629741,0.36214,0.34531,0.549193,0.682088,0.357555,0.693281,0.525374,0.659219,0.641427,0.560029,0.718241,0.610921,0.01235,0.08988,0.032423,0.003958,0.085017,0.008393,0.060825,0.025972,0.024508,0.045848,0.020989,0.209978,0.138788,0.032565,0.034237,0.201563,0.016922,0.024174,0.036799,0.090959,1,0,0,0,0,0
4,0.504467,0.471209,0.364292,0.562266,0.503925,0.447526,0.465298,0.574756,0.519651,0.742275,0.784539,0.394086,0.74371,0.916742,0.354766,0.42298,0.448555,0.559726,0.007047,0.001654,0.006313,0.004351,0.006791,0.300269,0.40311,0.405249,0.478137,0.381694,0.257814,0.231722,0.239348,0.223498,0.263457,0.324314,0.221379,0.224746,0.320144,0.266619,0.20284,0.371022,0.280926,0.358697,0.246187,0.267531,0.269781,0.000164,0.000292,0.000438,0.022483,0.020029,0.039663,0.002547,0.001782,0.023029,0.004952,0.121845,0.026583,0.024467,0.19288,0.024087,0.025554,0.014309,0.028538,0.0,0.020241,0.273081,0.182736,0.125358,0.598542,0.559056,0.497048,0.393485,0.584955,0.531412,0.770934,0.683698,0.608886,0.753892,0.733875,0.702474,0.001369,0.001849,0.001522,0.00734,0.007811,0.595821,0.010644,0.010589,0.046537,0.086531,0.293732,0.094467,0.1435,0.0746,0.043375,0.413413,0.023177,0.129994,0.167709,0.18429,1,0,0,0,0,0
5,0.95865,0.971749,0.978737,0.867018,0.811056,0.986031,0.532192,0.559662,0.594875,0.74103,0.30522,0.696348,0.749855,0.477832,0.635593,0.749084,0.823096,0.527031,0.013772,0.028791,0.0,5e-05,0.277242,0.704225,0.365801,0.376004,0.254858,0.212606,0.095768,0.293656,0.32701,0.34644,0.302586,0.21834,0.334122,0.304438,0.304547,0.301598,0.320178,0.345405,0.305802,0.388848,0.343724,0.359307,0.580226,0.000359,0.00159,0.000752,0.006749,0.079586,0.00863,0.04638,0.002335,0.019811,0.007445,0.002337,0.001175,0.005606,0.033986,0.001694,0.001473,0.03322,0.368223,0.478294,0.482387,0.348352,0.455415,0.577272,0.411433,0.541756,0.541823,0.550814,0.577999,0.448504,0.620762,0.680354,0.599738,0.65261,0.680052,0.380122,0.006309,0.000748,0.000117,0.00029,0.000986,0.034588,0.197288,0.011099,0.103418,0.076456,0.036478,0.10169,0.069426,0.120678,0.024654,0.111151,0.027187,0.086379,0.047366,0.090164,1,0,0,0,0,0
6,0.927736,0.858447,0.698015,0.975738,0.862783,0.794935,0.862262,0.672091,0.551408,0.821362,0.877262,0.747139,0.556217,0.591437,0.692633,0.7256,0.734175,0.55254,0.00037,0.000744,0.015716,0.000183,0.003541,0.293057,0.063248,0.069191,0.537241,0.02179,0.205669,0.293409,0.256626,0.276468,0.340521,0.320075,0.284506,0.258224,0.329102,0.317366,0.283868,0.437791,0.297757,0.465802,0.380137,0.400638,0.412476,0.000398,0.000707,0.000328,0.000675,0.000245,0.000964,0.003889,0.00362,0.004851,0.003196,0.000447,0.002887,0.000317,0.012906,0.000702,0.000367,0.005457,0.500391,0.417427,0.369699,0.505368,0.488896,0.444869,0.572207,0.540023,0.499128,0.382436,0.609456,0.410293,0.647634,0.604021,0.610619,0.621522,0.640443,0.594058,0.001071,0.01723,0.022717,0.001335,0.01195,0.002507,0.053681,0.147645,0.024712,0.047452,0.003745,0.024723,0.133785,0.103651,0.078377,0.007641,0.044637,0.041734,0.007609,0.038599,1,0,0,0,0,0
7,0.933874,0.938324,0.932117,0.776896,0.953897,0.94937,0.630596,0.742063,0.835853,0.794099,0.837846,0.823461,0.45197,0.735555,0.811058,0.814521,0.392251,0.71181,0.000847,0.000568,8.2e-05,8.9e-05,0.0,0.209324,0.170249,0.12195,0.660097,0.57001,0.760678,0.106454,0.120178,0.172469,0.379143,0.307407,0.213532,0.220953,0.322119,0.301001,0.25286,0.385281,0.290302,0.372099,0.350178,0.382682,0.316934,0.001018,0.110056,0.001925,0.00272,0.003762,0.025551,0.000582,0.001243,0.026101,0.0064,0.019419,0.040092,0.00812,0.003595,0.012767,0.020325,0.057507,0.356962,0.434112,0.452932,0.529679,0.459329,0.470288,0.442174,0.436628,0.404835,0.425702,0.546598,0.481526,0.589104,0.408168,0.542561,0.540481,0.506419,0.582674,0.004244,0.000594,0.000864,0.001447,0.000884,0.00892,0.001601,0.001704,0.063918,0.039473,0.1479,0.14701,0.056929,0.126833,0.158958,0.026383,0.063702,0.009123,0.011507,0.052316,1,0,0,0,1,0
8,0.726326,0.721621,0.679885,0.756848,0.685148,0.495086,0.773759,0.800565,0.676447,0.728756,0.781232,0.66767,0.763069,0.77843,0.675901,0.660087,0.7614,0.7148,0.003691,0.003414,0.015131,0.04424,0.026063,0.014787,0.048348,0.051564,0.015913,0.00782,0.000687,0.186481,0.185631,0.257874,0.319609,0.365734,0.352695,0.265316,0.362647,0.355432,0.359945,0.323299,0.309266,0.3019,0.280501,0.29561,0.289767,0.000531,0.000214,0.013484,0.000675,0.01919,0.004096,0.013055,0.013703,0.013199,0.013353,0.002341,0.000908,0.001292,0.000198,0.000693,0.000403,0.000197,0.179952,0.18306,0.581578,0.246422,0.790202,0.647175,0.601337,0.7917,0.788234,0.585301,0.674573,0.674875,0.592347,0.707226,0.704006,0.55995,0.689155,0.68457,0.000881,0.001361,0.390059,0.95385,0.514054,0.023557,0.160402,0.258548,0.038742,0.223048,0.068609,0.004924,0.045627,0.057696,0.01263,0.005034,0.002519,0.001543,0.01888,0.001602,1,0,0,0,0,0
9,0.676059,0.690168,0.667863,0.706657,0.793005,0.733002,0.438474,0.716394,0.719919,0.451102,0.542622,0.364919,0.622453,0.68874,0.078646,0.337504,0.632587,0.64553,0.023414,0.017044,0.016188,0.064344,0.082635,0.010869,0.030394,0.07751,0.011849,0.026907,0.004297,0.28144,0.278368,0.336907,0.352503,0.333491,0.354582,0.37107,0.293663,0.294362,0.301674,0.297647,0.334623,0.354184,0.263724,0.401125,0.346591,0.000922,0.00108,0.00793,0.020123,0.015082,0.00774,0.011751,0.008225,0.001465,0.000354,0.005034,0.001014,0.001848,0.000509,0.002373,0.001436,0.000226,0.003724,0.026615,0.374642,0.437086,0.605072,0.624005,0.170446,0.386127,0.418143,0.475085,0.416488,0.586286,0.528773,0.538905,0.610608,0.612979,0.61753,0.599179,0.011256,0.007726,0.007761,1.0,0.993722,0.312756,0.030122,0.05837,0.032971,0.002302,0.069133,0.007344,0.004167,0.071594,0.001458,0.017026,0.015294,0.002416,0.082573,0.002013,1,0,0,0,0,0
