,attr8,attr9,attr13,attr14,attr22,attr23,attr27,attr30,attr33,attr35,attr36,attr38,attr39,attr40,attr45,attr46,attr50,attr61,attr62,attr63,attr66,attr76,attr86,attr88,attr92,attr94,attr96,attr97,attr99,attr111,attr113,attr114,attr115,attr118,attr119,attr122,attr125,attr128,attr129,attr131,attr132,attr134,attr136,attr137,attr138,attr143,attr145,attr147,attr149,attr150,attr152,attr156,attr157,attr158,attr159,attr161,attr168,attr169,attr170,attr175,attr176,attr179,attr180,attr181,attr190,attr191,attr193,attr195,attr201,attr204,attr206,attr207,attr217,attr218,attr219,attr223,attr225,attr235,attr244,attr246,attr254,attr258,attr259,attr264,attr270,attr271,attr277,attr279,attr280,attr288,attr290,attr293,attr294,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.535193,0.555689,0.242458,0.170217,0.310109,0.375018,0.467347,0.566969,0.653561,0.574777,0.710196,0.59045,0.508313,0.645884,0.659741,0.692727,0.000188,0.298569,0.40135,0.378798,0.102771,0.389289,0.427434,0.705878,0.40099,0.3263,0.194235,0.070068,0.124623,0.321427,0.011811,0.003649,0.016968,0.105021,0.264698,0.020604,0.29201,0.087497,0.201934,0.447565,0.450967,0.393896,0.546694,0.520857,0.448004,0.559081,0.370412,0.326674,0.000709,0.00036,0.014357,0.00398,0.008158,0.04401,0.028383,0.011999,0.052651,0.079962,0.072072,0.067789,0.152805,0.302307,0.20256,0.176875,0.093826,0.355518,0.106168,0.008323,0.29548,0.126163,0.194579,0.372685,0.358092,0.178129,0.277878,0.512927,0.453827,0.51409,0.58803,0.001898,0.190142,0.083212,0.096029,0.127585,0.172747,0.23903,0.167601,0.258751,0.092845,0.653879,0.124074,0.014025,0.029709,1,0,0,0,1,0
1,0.757351,0.760633,0.54234,0.439594,0.570696,0.599071,0.559962,0.653249,0.596795,0.692224,0.634007,0.594992,0.65047,0.582844,0.656581,0.745513,0.0,0.220949,0.381001,0.251929,0.288524,0.292891,0.380476,0.298399,0.384122,0.255651,0.220413,0.060163,0.231433,0.355631,0.337209,0.282881,0.347126,0.349897,0.373025,0.446379,0.398868,0.44083,0.496811,0.459431,0.484877,0.480514,0.532003,0.48952,0.484739,0.478676,0.405926,0.436461,0.000246,0.000293,0.003151,0.000401,0.002904,0.014107,0.039419,0.061298,0.076316,0.082108,0.08107,0.132913,0.082165,0.216372,0.121086,0.115721,0.143118,0.089555,0.076152,0.045363,0.33812,0.389045,0.382504,0.434112,0.517445,0.4098,0.520744,0.573269,0.49395,0.657105,0.638408,0.002222,0.003633,0.138887,0.170231,0.193839,0.178064,0.24989,0.102932,0.126982,0.046562,0.361843,0.176387,0.082672,0.03632,1,0,0,0,0,1
2,0.849128,0.839607,0.751835,0.754508,0.955915,0.966291,0.479571,0.775176,0.633313,0.4179,0.622198,0.648123,0.680452,0.662322,0.620396,0.558789,0.024992,0.003488,0.003279,0.00368,0.027915,0.524229,0.00811,0.099314,0.01591,0.030036,0.229588,0.357259,0.292222,0.200706,0.260247,0.250027,0.237661,0.215652,0.224657,0.332812,0.381667,0.296632,0.339067,0.468436,0.459582,0.354218,0.417373,0.438525,0.463354,0.406296,0.448539,0.463621,0.002627,0.002476,0.003295,0.003064,0.003633,0.003006,0.002095,0.005044,0.016765,0.000808,0.000747,0.023752,0.003716,0.00875,0.015597,0.00849,0.00055,0.000529,0.001083,0.020113,0.218901,0.345131,0.291286,0.250794,0.356358,0.480978,0.480028,0.624508,0.370314,0.701467,0.726349,0.041683,0.013787,0.010121,0.018168,0.052964,0.181837,0.213608,0.073733,0.080248,0.074113,0.004901,0.006049,0.112506,0.083924,1,0,0,0,0,0
3,0.95346,0.959631,0.622508,0.530428,0.80424,0.827367,0.696435,0.774347,0.612971,0.645833,0.736683,0.643989,0.705878,0.773725,0.682563,0.663321,0.00325,0.205989,0.246481,0.265746,0.00676,0.194386,0.078168,0.210717,0.029073,0.067705,0.068329,0.766564,0.322174,0.396756,0.34572,0.345864,0.343601,0.425521,0.38989,0.304492,0.450206,0.298731,0.300995,0.453162,0.470206,0.299328,0.363416,0.424554,0.433491,0.398141,0.429513,0.428903,0.003436,0.003221,0.000966,0.002163,0.00226,0.001752,0.002613,0.03926,0.013176,0.004393,0.002705,0.009431,0.003065,0.013219,0.00699,0.009091,0.00143,0.000803,0.001719,0.009534,0.463779,0.455907,0.46558,0.470724,0.556171,0.36214,0.366613,0.682088,0.343979,0.676317,0.625089,0.007494,0.006821,0.068354,0.085017,0.105665,0.448542,0.024508,0.138788,0.032565,0.034237,0.036799,0.009735,0.04978,0.090959,1,0,0,0,0,0
4,0.562266,0.588592,0.503925,0.447526,0.465298,0.62658,0.519651,0.742275,0.834243,0.657113,0.276264,0.610411,0.698119,0.74371,0.461353,0.459486,0.007047,0.006791,0.009197,0.008609,0.229681,0.057879,0.303579,0.409871,0.300777,0.300245,0.38171,0.257814,0.230247,0.223498,0.260123,0.263457,0.324314,0.223484,0.224746,0.320144,0.165041,0.386255,0.495995,0.367181,0.319719,0.276859,0.279904,0.369636,0.358697,0.243992,0.274081,0.293731,0.000144,0.000214,0.00035,0.000248,0.000206,0.000438,0.000408,0.000279,0.001782,0.023029,0.039627,0.004952,0.121845,0.02932,0.050114,0.021184,0.041243,0.027979,0.025554,0.014309,0.0,0.090546,0.059313,0.044865,0.110149,0.598542,0.618592,0.393485,0.722032,0.752382,0.83094,0.007056,0.010916,0.013087,0.007811,0.028206,0.036629,0.046537,0.1435,0.0746,0.043375,0.167709,0.218534,0.16427,0.18429,1,0,0,0,0,0
5,0.867018,0.824065,0.811056,0.986031,0.532192,0.687502,0.594875,0.74103,0.674828,0.860151,0.768459,0.622364,0.852566,0.749855,0.857111,0.802736,0.013772,0.277242,0.722164,0.0,0.245735,0.890532,0.530081,0.178743,0.54439,0.190472,0.222042,0.095768,0.217853,0.34644,0.184225,0.302586,0.21834,0.431639,0.304438,0.304547,0.407641,0.332209,0.361927,0.339513,0.396701,0.344698,0.348738,0.345679,0.388848,0.346358,0.38332,0.315569,0.001446,0.001143,0.000446,0.021919,0.000554,0.000752,0.000886,0.000166,0.002335,0.019811,0.076666,0.007445,0.002337,0.003505,0.008434,0.064053,0.002947,0.002032,0.001473,0.03322,0.478294,0.412015,0.479491,0.478194,0.486167,0.411433,0.540336,0.550814,0.589942,0.640376,0.634427,0.020624,0.091772,0.100336,0.000986,0.07807,0.04742,0.103418,0.069426,0.120678,0.024654,0.047366,0.0346,0.071401,0.090164,1,0,0,0,0,0
6,0.975738,0.979945,0.862783,0.794935,0.862262,0.948911,0.551408,0.821362,0.509071,0.394373,0.700211,0.762474,0.713859,0.556217,0.744932,0.754131,0.00037,0.003541,0.004871,0.006856,0.098424,0.131564,0.035004,0.273047,0.04124,0.044825,0.039947,0.205669,0.333971,0.276468,0.326927,0.340521,0.320075,0.266907,0.258224,0.329102,0.248196,0.37308,0.355665,0.404856,0.338025,0.376818,0.402147,0.428635,0.465802,0.395117,0.405405,0.417785,0.00071,0.001151,0.000552,0.00028,0.000846,0.000328,0.000462,0.000765,0.00362,0.004851,0.001001,0.003196,0.000447,0.091675,0.056267,0.017869,0.000695,0.000612,0.000367,0.005457,0.417427,0.492396,0.487464,0.49357,0.356817,0.572207,0.540347,0.382436,0.612017,0.641517,0.625973,0.000786,0.001451,0.009817,0.01195,0.028211,0.023639,0.024712,0.133785,0.103651,0.078377,0.007609,0.006311,0.02978,0.038599,1,0,0,0,0,0
7,0.776896,0.873859,0.953897,0.94937,0.630596,0.692201,0.835853,0.794099,0.467512,0.812649,0.787179,0.842671,0.65261,0.45197,0.770778,0.509969,0.000847,0.0,0.0,0.0,0.055302,0.137302,0.108364,0.881872,0.047599,0.104078,1.0,0.760678,0.069472,0.172469,0.411214,0.379143,0.307407,0.214081,0.220953,0.322119,0.204712,0.418189,0.355,0.431845,0.301331,0.320837,0.390082,0.39987,0.372099,0.318882,0.3769,0.403813,0.000625,0.000679,0.001511,0.07013,0.001845,0.001925,0.001578,0.001643,0.001243,0.026101,0.044363,0.0064,0.019419,0.025622,0.150975,0.054134,0.01492,0.008853,0.020325,0.057507,0.434112,0.432076,0.443438,0.449041,0.466486,0.442174,0.461834,0.425702,0.515779,0.538088,0.522846,0.005994,0.007166,0.001175,0.000884,0.001443,0.061283,0.063918,0.056929,0.126833,0.158958,0.011507,0.051774,0.083478,0.052316,1,0,0,0,1,0
8,0.756848,0.775224,0.685148,0.495086,0.773759,0.836022,0.676447,0.728756,0.716052,0.758152,0.707332,0.650516,0.649616,0.763069,0.647769,0.742791,0.003691,0.026063,0.134235,0.886029,0.04499,0.47159,0.056457,0.017182,0.071782,0.028274,0.000234,0.000687,0.18225,0.257874,0.21142,0.319609,0.365734,0.331776,0.265316,0.362647,0.302922,0.308683,0.312318,0.327085,0.309554,0.274774,0.30941,0.32035,0.3019,0.310062,0.297209,0.290953,0.000384,0.000365,0.000226,0.006526,0.019475,0.013484,0.007149,0.026442,0.013703,0.013199,0.000987,0.013353,0.002341,0.000972,0.00117,0.001259,0.000793,0.001263,0.000403,0.000197,0.18306,0.191459,0.551116,0.455459,0.570921,0.601337,0.781703,0.585301,0.434201,0.61677,0.682479,0.00151,0.199063,0.961738,0.514054,0.026183,0.021041,0.038742,0.045627,0.057696,0.01263,0.01888,0.015161,0.001531,0.001602,1,0,0,0,0,0
9,0.706657,0.774726,0.793005,0.733002,0.438474,0.53971,0.719919,0.451102,0.65541,0.682163,0.170871,0.459874,0.536164,0.622453,0.438487,0.538002,0.023414,0.082635,0.10349,0.081565,0.13122,0.004661,0.024082,0.01084,0.107044,0.007563,0.010606,0.004297,0.337675,0.336907,0.389705,0.352503,0.333491,0.375446,0.37107,0.293663,0.32618,0.346139,0.318992,0.301996,0.336886,0.272085,0.355672,0.353827,0.354184,0.404108,0.37225,0.350055,0.002555,0.001134,0.000417,0.004979,0.007722,0.00793,0.012678,0.019806,0.008225,0.001465,0.002206,0.000354,0.005034,0.000826,0.001071,0.001496,0.013474,0.002814,0.001436,0.000226,0.026615,0.136384,0.295044,0.318684,0.637223,0.170446,0.319679,0.475085,0.1945,0.535773,0.618581,0.012438,0.831258,1.0,0.993722,0.126664,0.010232,0.032971,0.004167,0.071594,0.001458,0.082573,0.007865,0.002724,0.002013,1,0,0,0,0,0
