,attr5,attr29,attr31,attr38,attr42,attr46,attr48,attr53,attr58,attr59,attr62,attr63,attr64,attr70,attr77,attr81,attr82,attr87,attr88,attr96,attr101,attr102,attr104,attr106,attr110,attr112,attr113,attr114,attr117,attr118,attr119,attr130,attr131,attr133,attr135,attr137,attr138,attr143,attr144,attr146,attr147,attr148,attr152,attr154,attr156,attr158,attr159,attr161,attr162,attr163,attr165,attr168,attr170,attr171,attr172,attr173,attr174,attr175,attr183,attr188,attr190,attr191,attr196,attr197,attr198,attr208,attr209,attr211,attr213,attr214,attr219,attr226,attr227,attr230,attr231,attr233,attr234,attr241,attr242,attr244,attr247,attr252,attr253,attr255,attr257,attr258,attr260,attr263,attr264,attr268,attr271,attr272,attr282,attr285,attr289,attr291,attr293,Beach,Sunset,FallFoliage,Field,Mountain,Urban
0,0.652746,0.546262,0.612951,0.59045,0.741071,0.692727,0.831285,0.000122,0.19772,0.190142,0.40135,0.378798,0.021573,0.293914,0.309297,0.22216,0.236605,0.427158,0.705878,0.194235,0.136523,0.141344,0.21585,0.137942,0.280034,0.325151,0.011811,0.003649,0.037147,0.105021,0.264698,0.357455,0.447565,0.477202,0.52561,0.520857,0.448004,0.559081,0.390336,0.330857,0.326674,0.000404,0.014357,0.028827,0.00398,0.04401,0.028383,0.011999,0.012115,0.0435,0.1759,0.052651,0.072072,0.042137,0.034319,0.114163,0.102519,0.067789,0.062853,0.020486,0.093826,0.355518,0.00649,0.212997,0.236838,0.529399,0.501197,0.175233,0.229838,0.364846,0.277878,0.499351,0.519089,0.597837,0.530216,0.485518,0.603675,0.589159,0.562813,0.58803,0.000611,0.15908,0.196353,0.185948,0.204738,0.083212,0.02693,0.136285,0.127585,0.261571,0.23903,0.309251,0.224848,0.061538,0.354982,0.157332,0.014025,1,0,0,0,1,0
1,0.742231,0.636677,0.621813,0.594992,0.619105,0.745513,0.776127,0.016047,0.011133,0.048423,0.381001,0.251929,0.224343,0.323306,0.387634,0.407936,0.366136,0.392941,0.298399,0.220413,0.232627,0.240405,0.242332,0.237174,0.341235,0.343827,0.337209,0.282881,0.312401,0.349897,0.373025,0.551358,0.459431,0.449931,0.538011,0.48952,0.484739,0.478676,0.438059,0.432647,0.436461,0.000227,0.003151,0.003566,0.000401,0.014107,0.039419,0.061298,0.06171,0.034444,0.028389,0.076316,0.08107,0.165834,0.285257,0.094584,0.040344,0.132913,0.155181,0.20987,0.143118,0.089555,0.052414,0.3594,0.34909,0.522656,0.549864,0.437265,0.515007,0.472178,0.520744,0.587281,0.592794,0.585659,0.634069,0.629831,0.568729,0.594002,0.558564,0.638408,0.003662,0.015733,0.004475,0.016475,0.13157,0.138887,0.070917,0.167246,0.193839,0.111906,0.24989,0.085085,0.199359,0.114123,0.303399,0.251454,0.082672,1,0,0,0,0,1
2,0.740569,0.75462,0.723823,0.648123,0.461133,0.558789,0.539102,0.007935,0.011574,0.009064,0.003279,0.00368,0.029472,0.031957,0.32588,0.232278,0.19659,0.072214,0.099314,0.229588,0.26987,0.262963,0.241228,0.29596,0.208608,0.196783,0.260247,0.250027,0.222922,0.215652,0.224657,0.453512,0.468436,0.45011,0.373477,0.438525,0.463354,0.406296,0.417298,0.469266,0.463621,0.002093,0.003295,0.00197,0.003064,0.003006,0.002095,0.005044,0.010364,0.014923,0.012962,0.016765,0.000747,0.00124,0.015498,0.023009,0.026026,0.023752,0.005085,0.004866,0.00055,0.000529,0.018549,0.296934,0.263352,0.217112,0.204274,0.342984,0.337974,0.341318,0.480028,0.38975,0.492452,0.6979,0.627013,0.615651,0.664643,0.631497,0.627427,0.726349,0.032027,0.020369,0.04351,0.014701,0.00913,0.010121,0.064507,0.058945,0.052964,0.004046,0.213608,0.122532,0.024035,0.047596,0.00346,0.017166,0.112506,1,0,0,0,0,0
3,0.968649,0.782931,0.750613,0.643989,0.624669,0.663321,0.605012,0.001482,0.002292,0.002053,0.246481,0.265746,0.0009,0.278502,0.359016,0.116559,0.243134,0.128164,0.210717,0.068329,0.318786,0.330617,0.354252,0.323669,0.33417,0.364726,0.34572,0.345864,0.453237,0.425521,0.38989,0.451022,0.453162,0.45465,0.319266,0.424554,0.433491,0.398141,0.418368,0.427353,0.428903,0.00139,0.000966,0.00528,0.002163,0.001752,0.002613,0.03926,6.5e-05,5.6e-05,0.008323,0.013176,0.002705,0.003188,0.035269,0.002946,0.004391,0.009431,0.001924,0.002416,0.00143,0.000803,0.011834,0.436281,0.443416,0.492508,0.683698,0.496332,0.491154,0.50728,0.366613,0.326624,0.357555,0.709317,0.693281,0.397388,0.525374,0.606448,0.662518,0.625089,0.01235,0.032423,0.005544,0.008305,0.030881,0.068354,0.000906,0.093743,0.105665,0.0399,0.024508,0.024751,0.082271,0.027527,0.007694,0.019267,0.04978,1,0,0,0,0,0
4,0.471209,0.450048,0.784539,0.610411,0.734423,0.459486,0.545844,0.003397,0.003346,0.00442,0.009197,0.008609,0.293329,0.011971,0.036676,0.044535,0.150744,0.40257,0.409871,0.38171,0.229774,0.231722,0.239348,0.217846,0.218038,0.231056,0.260123,0.263457,0.221379,0.223484,0.224746,0.371022,0.367181,0.280926,0.286859,0.369636,0.358697,0.243992,0.267531,0.269781,0.293731,0.000626,0.00035,0.000444,0.000248,0.000438,0.000408,0.000279,0.022483,0.020029,0.009103,0.001782,0.039627,0.023964,0.018709,0.011583,0.006539,0.004952,0.032397,0.053977,0.041243,0.027979,0.030537,0.028538,0.016058,0.044664,0.033168,0.273081,0.396448,0.182736,0.618592,0.642792,0.584955,0.581455,0.531412,0.740361,0.770934,0.806584,0.736883,0.83094,0.001369,0.001522,0.006113,0.009433,0.010177,0.013087,0.381498,0.20769,0.028206,0.094097,0.046537,0.090652,0.188324,0.15873,0.22658,0.198151,0.16427,1,0,0,0,0,0
5,0.971749,0.745676,0.30522,0.622364,0.726262,0.802736,0.455419,0.000493,0.318959,0.000546,0.722164,0.0,0.359073,0.043779,0.176417,0.345937,0.6988,0.929269,0.178743,0.222042,0.273059,0.293656,0.32701,0.230604,0.33251,0.344012,0.184225,0.302586,0.334122,0.431639,0.304438,0.345405,0.339513,0.305802,0.332778,0.345679,0.388848,0.346358,0.359307,0.580226,0.315569,0.001069,0.000446,0.000373,0.021919,0.000752,0.000886,0.000166,0.006749,0.079586,0.005208,0.002335,0.076666,0.026254,0.00974,0.039594,0.091008,0.007445,0.002878,0.034862,0.002947,0.002032,0.023731,0.368223,0.422828,0.490908,0.531647,0.348352,0.436158,0.455415,0.540336,0.60571,0.577999,0.568896,0.448504,0.596954,0.620762,0.653885,0.666969,0.634427,0.006309,0.000117,0.013828,0.00116,0.010173,0.100336,0.062493,0.010149,0.07807,0.224116,0.103418,0.16682,0.084101,0.071117,0.048032,0.039862,0.071401,1,0,0,0,0,0
6,0.858447,0.727681,0.877262,0.762474,0.662065,0.754131,0.637862,0.005545,0.0,9.5e-05,0.004871,0.006856,0.002149,0.270968,0.108251,0.616026,0.506569,0.040936,0.273047,0.039947,0.31749,0.293409,0.256626,0.32511,0.288464,0.249492,0.326927,0.340521,0.284506,0.266907,0.258224,0.437791,0.404856,0.297757,0.389966,0.428635,0.465802,0.395117,0.400638,0.412476,0.417785,0.000496,0.000552,0.001758,0.00028,0.000328,0.000462,0.000765,0.000675,0.000245,0.001386,0.00362,0.001001,0.004917,0.018394,0.008127,0.004303,0.003196,0.000674,0.04929,0.000695,0.000612,0.011999,0.500391,0.497573,0.477445,0.426049,0.505368,0.507459,0.488896,0.540347,0.625514,0.609456,0.440475,0.410293,0.626353,0.647634,0.630412,0.642959,0.625973,0.001071,0.022717,0.001458,0.001723,0.005198,0.009817,0.001192,0.005374,0.028211,0.016763,0.024712,0.028581,0.00655,0.044859,0.005356,0.005127,0.02978,1,0,0,0,0,0
7,0.938324,0.748273,0.837846,0.842671,0.804327,0.509969,0.584213,0.000215,0.055124,0.000262,0.0,0.0,0.052469,5.4e-05,0.101333,0.134294,1.0,0.135618,0.881872,1.0,0.086523,0.106454,0.120178,0.310418,0.170405,0.172071,0.411214,0.379143,0.213532,0.214081,0.220953,0.385281,0.431845,0.290302,0.346824,0.39987,0.372099,0.318882,0.382682,0.316934,0.403813,0.000737,0.001511,0.001543,0.07013,0.001925,0.001578,0.001643,0.00272,0.003762,0.009812,0.001243,0.044363,0.056972,0.034806,0.015248,0.033348,0.0064,0.017618,0.015241,0.01492,0.008853,0.039694,0.356962,0.395576,0.45187,0.451266,0.529679,0.47617,0.459329,0.461834,0.582081,0.546598,0.490528,0.481526,0.531725,0.589104,0.51806,0.46114,0.522846,0.004244,0.000864,0.018063,0.001806,0.001078,0.001175,0.015975,0.001262,0.001443,0.063598,0.063918,0.141886,0.113462,0.120622,0.011505,0.107653,0.083478,1,0,0,0,1,0
8,0.721621,0.775461,0.781232,0.650516,0.761025,0.742791,0.747155,0.002832,0.004565,0.061788,0.134235,0.886029,0.00315,0.946666,0.661244,0.139037,0.110691,0.006043,0.017182,0.000234,0.18559,0.186481,0.185631,0.19976,0.228834,0.244383,0.21142,0.319609,0.352695,0.331776,0.265316,0.323299,0.327085,0.309266,0.290796,0.32035,0.3019,0.310062,0.29561,0.289767,0.290953,0.000301,0.000226,0.001918,0.006526,0.013484,0.007149,0.026442,0.000675,0.01919,0.010726,0.013703,0.000987,0.001673,0.000481,0.001592,0.011244,0.013353,0.000847,0.000273,0.000793,0.001263,0.000227,0.179952,0.177492,0.472983,0.533514,0.246422,0.82593,0.790202,0.781703,0.618816,0.674573,0.664352,0.674875,0.538122,0.592347,0.615372,0.685644,0.682479,0.000881,0.390059,0.001275,0.922513,0.987303,0.961738,0.018233,0.026709,0.026183,0.036113,0.038742,0.148276,0.025413,0.008382,0.008899,0.004409,0.001531,1,0,0,0,0,0
9,0.690168,0.311235,0.542622,0.459874,0.679017,0.538002,0.679157,0.014728,0.060437,0.068803,0.10349,0.081565,0.047857,0.141032,0.00629,0.012015,0.005708,0.008281,0.01084,0.010606,0.294012,0.28144,0.278368,0.296639,0.336097,0.338285,0.389705,0.352503,0.354582,0.375446,0.37107,0.297647,0.301996,0.334623,0.350658,0.353827,0.354184,0.404108,0.401125,0.346591,0.350055,0.006146,0.000417,0.001553,0.004979,0.00793,0.012678,0.019806,0.020123,0.015082,0.004625,0.008225,0.002206,0.000999,0.000623,0.001091,0.001054,0.000354,0.006374,0.000603,0.013474,0.002814,0.000301,0.003724,0.014638,0.385422,0.43362,0.437086,0.579979,0.605072,0.319679,0.360239,0.416488,0.505558,0.586286,0.494733,0.528773,0.620382,0.624497,0.618581,0.011256,0.007761,0.056329,1.0,1.0,1.0,0.372429,0.241315,0.126664,0.076218,0.032971,0.056322,0.038155,0.029595,0.014646,0.00796,0.002724,1,0,0,0,0,0
